chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,history_item,history_item_filetype,id,imported,info,input_format|reads,input_format|reads1,input_format|reads1_filetype,input_format|reads2,input_format|reads2_filetype,input_format|reads_f,input_format|reads_f_filetype,input_format|reads_filetype,input_format|reads_r,input_format|reads_r_filetype,job_runner_external_id,job_runner_name,known_splice_gtf,known_splice_gtf_filetype,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.alignment_options.__current_case__,parameters.alignment_options.alignment_options_selector,parameters.alignment_options.coefficient,parameters.alignment_options.constant_term,parameters.alignment_options.function_type,parameters.alignment_options.ignore_quals,parameters.alignment_options.skip_forward,parameters.alignment_options.skip_reverse,parameters.chromInfo,parameters.dbkey,parameters.input_format.__current_case__,parameters.input_format.input_format_selector,parameters.input_format.paired.__current_case__,parameters.input_format.paired.aligned_file,parameters.input_format.paired.paired_end_options.__current_case__,parameters.input_format.paired.paired_end_options.no_discordant,parameters.input_format.paired.paired_end_options.no_mixed,parameters.input_format.paired.paired_end_options.paired_end_options_selector,parameters.input_format.paired.paired_end_options.skip_reverse,parameters.input_format.paired.paired_selector,parameters.input_format.paired.reads.values,parameters.input_format.paired.reads_f.values,parameters.input_format.paired.reads_r.values,parameters.input_format.paired.unaligned_file,parameters.input_format|reads_f|__identifier__,parameters.input_format|reads_r|__identifier__,parameters.input_format|reads|__identifier__,parameters.input_options.__current_case__,parameters.input_options.input_options_selector,parameters.input_options.skip,parameters.input_options.stop_after,parameters.input_options.trim_five,parameters.input_options.trim_three,parameters.max_primary,parameters.max_seeds,parameters.paired_options.__current_case__,parameters.paired_options.contain,parameters.paired_options.dovetail,parameters.paired_options.maxins,parameters.paired_options.minins,parameters.paired_options.no_discordant,parameters.paired_options.no_mixed,parameters.paired_options.overlap,parameters.paired_options.paired_options_selector,parameters.reference_genome.__current_case__,parameters.reference_genome.history_item.values,parameters.reference_genome.index,parameters.reference_genome.reference_genome_source,parameters.scoring_options.__current_case__,parameters.scoring_options.ambiguous_penalty,parameters.scoring_options.coefficient,parameters.scoring_options.constant_term,parameters.scoring_options.function_type,parameters.scoring_options.match_bonus,parameters.scoring_options.max_mismatch,parameters.scoring_options.min_mismatch,parameters.scoring_options.no_softclip,parameters.scoring_options.read_extend_penalty,parameters.scoring_options.read_open_penalty,parameters.scoring_options.ref_extend_penalty,parameters.scoring_options.ref_open_penalty,parameters.scoring_options.scoring_options_selector,parameters.scoring_options.soft_clip_penalty_max,parameters.scoring_options.soft_clip_penalty_min,parameters.secondary,parameters.spliced_options.__current_case__,parameters.spliced_options.canonical_penalty,parameters.spliced_options.coefficient,parameters.spliced_options.constant_term,parameters.spliced_options.function_type,parameters.spliced_options.known_splice_gtf.values,parameters.spliced_options.max_intron,parameters.spliced_options.min_intron,parameters.spliced_options.nc_coefficient,parameters.spliced_options.nc_constant_term,parameters.spliced_options.nc_function_type,parameters.spliced_options.no_spliced_alignment_options.__current_case__,parameters.spliced_options.no_spliced_alignment_options.maxins,parameters.spliced_options.no_spliced_alignment_options.minins,parameters.spliced_options.no_spliced_alignment_options.no_spliced_alignment,parameters.spliced_options.noncanonical_penalty,parameters.spliced_options.rna_strandness,parameters.spliced_options.spliced_options_selector,parameters.spliced_options.tma,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-06-19 20:52:55.997095,slurm_multi,1497908826.0,0,,6.0,main_w3_handler2,3163622,,,16136669,False,,3219661846.0,,,,,,,fastqsanger,,,10216793,slurm,,,,132111800.0,corral-repl,,0,no,,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,fastq,2,true,,,,,,single,"[{'src': 'hda', 'id': 30085871}]",,,true,,,,0,defaults,,,,,"""""","""""",0,,,,,,,,defaults,0,,mm10,indexed,0,,,,,,,,,,,,,defaults,,,"""false""",0.0,,,,,,,,,,,,,,,,,defaults,,32.0,,38787764.0,1497908051.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.1,2.0.5.1,,2017-06-19 21:47:10.801917,107803,775.0
,,2017-06-19 08:07:14.731905,slurm_multi,1497862819.0,0,,6.0,main_w3_handler2,3145435,,,16129882,False,,,18315030611.0,fastqsanger,18315030611.0,fastqsanger,,,,,,10210244,slurm,77610612.0,gtf,,132112168.0,corral-repl,,1,yes,slurm_multi,,1,advanced,0,0,C,false,false,false,"""/galaxy-repl/localdata/chrom/dm6.len""","""dm6""",1,fastq,0,false,0.0,,,defaults,,paired_collection,"[{'src': 'dce', 'id': 745668}]",,,false,,,,1,advanced,0,0,0,0,"""""","""""",1,false,false,500,0,false,false,false,advanced,0,,dm6,indexed,0,,,,,,,,,,,,,defaults,,,"""false""",1.0,0,0,0,C,"[{'src': 'hda', 'id': 30052046}]",500000,28,1,-8,G,0.0,500,0,--no-spliced-alignment,3,R,advanced,,32.0,,37927595.0,1497860690.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.1,2.0.5.1,,2017-06-19 09:00:21.453796,104699,2129.0
,,2017-06-23 05:28:14.241016,slurm_multi,1498197841.0,0,,6.0,main_w4_handler2,3168208,1394651513.0,fasta,16170601,False,,,,,,,4348051157.0,fastqsanger,,4339640461.0,fastqsanger,10247762,slurm,109125021.0,gtf,,132111800.0,corral-repl,,0,no,,,0,defaults,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/danRer10.len""","""danRer10""",1,fastq,1,true,0.0,,,defaults,,paired,,"[{'src': 'hda', 'id': 30135965}]","[{'src': 'hda', 'id': 30135966}]",false,,,,0,defaults,,,,,"""""","""""",0,,,,,,,,defaults,1,"[{'src': 'hda', 'id': 30131305}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",1.0,0,0,0,C,"[{'src': 'hda', 'id': 30131306}]",500000,20,1,-8,G,1.0,,,,3,R,advanced,--dta-cufflinks,32.0,,38712096.0,1498196467.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.1,2.0.5.1,,2017-06-23 06:04:03.783470,106675,1374.0
,,2017-06-19 11:31:56.555957,slurm_multi,1497878089.0,0,,6.0,main_w4_handler2,3155586,,,16131084,False,,,,,,,1814288457.0,fastqsanger,,1812985559.0,fastqsanger,10211780,slurm,,,,132111800.0,corral-repl,,0,no,,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,fastq,1,false,1.0,false,false,advanced,false,paired,,"[{'src': 'hda', 'id': 30032854}]","[{'src': 'hda', 'id': 30032855}]",false,,,,0,defaults,,,,,"""""","""""",1,false,false,500,0,false,false,false,advanced,0,,hg38,indexed,0,,,,,,,,,,,,,defaults,,,"""false""",,,,,,,,,,,,,,,,,,,,32.0,,38460266.0,1497877899.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.1,2.0.5.1,,2017-06-19 13:14:50.780731,63527,190.0
35.0,len,2017-07-11 09:50:49.027181,slurm_multi,1499767707.0,0,,6.0,main_w4_handler2,3173457,472996.0,fasta,16308136,False,,,86320456.0,fastqsanger,79898856.0,fastqsanger,,,,,,10376028,slurm,,,,132112168.0,corral-repl,,0,no,,,1,advanced,0,0,C,false,false,false,"""/galaxy-repl/main/files/020/511/dataset_20511945.dat""","""gi|646227388|gb|KJ614390.1|""",1,fastq,0,false,1.0,true,true,advanced,false,paired_collection,"[{'src': 'dce', 'id': 789654}]",,,false,,,,1,advanced,0,0,0,0,"""10""","""10""",1,false,false,500,0,false,false,false,advanced,1,"[{'src': 'hda', 'id': 30299931}]",,history,0,,,,,,,,,,,,,defaults,,,"""true""",,,,,,,,,,,,,,,,,,,,32.0,,39088578.0,1499767692.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.1,2.0.5.1,,2017-07-11 10:08:28.927934,80465,15.0
35.0,len,2017-07-11 09:50:43.943518,slurm_multi,1499767119.0,0,,6.0,main_w3_handler2,3173457,472996.0,fasta,16308126,False,,,50336603.0,fastqsanger,47379739.0,fastqsanger,,,,,,10375890,slurm,,,,132112168.0,corral-repl,,0,no,,,1,advanced,0,0,C,false,false,false,"""/galaxy-repl/main/files/020/511/dataset_20511945.dat""","""gi|646227388|gb|KJ614390.1|""",1,fastq,0,false,1.0,true,true,advanced,false,paired_collection,"[{'src': 'dce', 'id': 789647}]",,,false,,,,1,advanced,0,0,0,0,"""10""","""10""",1,false,false,500,0,false,false,false,advanced,1,"[{'src': 'hda', 'id': 30299931}]",,history,0,,,,,,,,,,,,,defaults,,,"""true""",,,,,,,,,,,,,,,,,,,,32.0,,39088578.0,1499767106.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.1,2.0.5.1,,2017-07-11 09:58:41.117628,80465,13.0
35.0,len,2017-07-11 09:50:49.620128,slurm_multi,1499768164.0,0,,6.0,main_w3_handler2,3173457,472996.0,fasta,16308137,False,,,153623.0,fastqsanger,144619.0,fastqsanger,,,,,,10376080,slurm,,,,132112168.0,corral-repl,,0,no,,,1,advanced,0,0,C,false,false,false,"""/galaxy-repl/main/files/020/511/dataset_20511945.dat""","""gi|646227388|gb|KJ614390.1|""",1,fastq,0,false,1.0,true,true,advanced,false,paired_collection,"[{'src': 'dce', 'id': 789655}]",,,false,,,,1,advanced,0,0,0,0,"""10""","""10""",1,false,false,500,0,false,false,false,advanced,1,"[{'src': 'hda', 'id': 30299931}]",,history,0,,,,,,,,,,,,,defaults,,,"""true""",,,,,,,,,,,,,,,,,,,,32.0,,39088578.0,1499768156.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.1,2.0.5.1,,2017-07-11 10:16:05.758750,80465,8.0
,,2017-06-26 11:21:49.601588,slurm_multi,1498476311.0,0,,6.0,main_w3_handler2,3158784,19095911.0,fasta,16187943,False,,,,,,,706756851.0,fastqsanger,,704945303.0,fastqsanger,10264442,slurm,,,,132111800.0,corral-repl,,0,no,,,0,defaults,,,,,,,"""/galaxy-repl/main/files/017/914/dataset_17914164.dat""","""PbANKA_v29""",1,fastq,1,false,0.0,,,defaults,,paired,,"[{'src': 'hda', 'id': 30056972}]","[{'src': 'hda', 'id': 30056978}]",true,,,,0,defaults,,,,,"""1""","""0""",0,,,,,,,,defaults,1,"[{'src': 'hda', 'id': 30081068}]",,history,0,,,,,,,,,,,,,defaults,,,"""true""",,,,,,,,,,,,,,,,,,,,32.0,,38915883.0,1498476123.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.1,2.0.5.1,,2017-06-26 11:25:14.505080,90526,188.0
,,2017-06-21 01:57:27.232317,slurm_multi,1498012654.0,0,,6.0,main_w3_handler2,3165764,,,16149494,False,,,,,,,1144195211.0,fastqsanger,,1152574929.0,fastqsanger,10228605,slurm,,,,132112168.0,corral-repl,,0,no,,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,fastq,1,false,0.0,,,defaults,,paired,,"[{'src': 'hda', 'id': 30105114}]","[{'src': 'hda', 'id': 30105115}]",false,,,,0,defaults,,,,,"""""","""""",0,,,,,,,,defaults,0,,mm10,indexed,0,,,,,,,,,,,,,defaults,,,"""false""",0.0,,,,,,,,,,,,,,,,,defaults,,32.0,,38807159.0,1498012361.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.1,2.0.5.1,,2017-06-21 02:37:37.278507,107922,293.0
,,2017-06-28 09:07:07.603182,slurm_multi,1498641034.0,0,,6.0,main_w4_handler2,3158188,19095911.0,fasta,16208439,False,,,,,,,756968973.0,fastqsanger,,756877907.0,fastqsanger,10284616,slurm,,,,132112168.0,corral-repl,,0,no,,,0,defaults,,,,,,,"""/galaxy-repl/main/files/017/914/dataset_17914164.dat""","""PbANKA_v29""",1,fastq,1,false,0.0,,,defaults,,paired,,"[{'src': 'hda', 'id': 30051184}]","[{'src': 'hda', 'id': 30051185}]",true,,,,0,defaults,,,,,"""1""","""0""",0,,,,,,,,defaults,1,"[{'src': 'hda', 'id': 30168066}]",,history,0,,,,,,,,,,,,,defaults,,,"""true""",,,,,,,,,,,,,,,,,,,,32.0,,38944905.0,1498640849.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.1,2.0.5.1,,2017-06-28 09:10:36.547807,90526,185.0
