corData,corData_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.corData,parameters.corData.values,parameters.corMethod,parameters.dbkey,parameters.outFileCorMatrix,parameters.outFileFormat,parameters.plotting_type.__current_case__,parameters.plotting_type.colorMap,parameters.plotting_type.plotNumbers,parameters.plotting_type.plotTitle,parameters.plotting_type.whatToPlot,parameters.plotting_type.zMax,parameters.plotting_type.zMin,parameters.removeOutliers,parameters.skipZeros,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
8034788,deeptools_coverage_matrix,2016-04-27 14:32:21.458928,slurm_normal,1461767785.0,0,1.0,main_w2_handler1,2686682,12645471,False,,6851227.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b534c2025bb0d56917'}]","""pearson""","""mm10""","""true""","""pdf""",1,,,,scatterplot,,,"""false""","""true""",32.0,,29868533,1461767643.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.2.0,2.2.2.0,,2016-04-27 14:36:37.754464,,142.0
39936631,deeptools_coverage_matrix,2016-04-28 12:22:41.590142,slurm_normal,1461846308.0,0,1.0,main_w2_handler0,2686891,12667063,False,,6869624.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a97498894254e6c4'}]","""spearman""","""mm10""","""false""","""pdf""",0,RdYlBu,false,,heatmap,,,"""false""","""true""",32.0,,29868533,1461846189.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.2.0,2.2.2.0,,2016-04-28 12:25:11.945447,,119.0
79805628,deeptools_coverage_matrix,2016-04-28 12:59:00.407973,slurm_normal,1461848546.0,0,1.0,main_w2_handler0,2686891,12669838,False,,6870161.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ff79facdfd1ade35'}]","""spearman""","""mm10""","""false""","""pdf""",0,RdYlBu,false,,heatmap,,,"""false""","""true""",32.0,,29868533,1461848360.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.2.0,2.2.2.0,,2016-04-28 13:02:28.359450,,186.0
9476978,deeptools_coverage_matrix,2016-04-29 19:12:06.226253,slurm_normal,1461957200.0,0,1.0,main_w1_handler0,2688924,12691548,False,,6893244.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b556770138bf73bb25'}]","""spearman""","""mm9""","""false""","""png""",0,RdYlBu,false,,heatmap,,,"""false""","""false""",32.0,,29932973,1461957154.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.2.0,2.2.2.0,,2016-04-29 19:13:22.538600,,46.0
79805628,deeptools_coverage_matrix,2016-04-29 19:59:07.131085,slurm_normal,1461960175.0,0,1.0,main_w1_handler1,2686891,12691847,False,,6893909.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ff79facdfd1ade35'}]","""spearman""","""mm10""","""false""","""svg""",0,RdYlBu,false,,heatmap,,,"""false""","""true""",32.0,,29868533,1461959992.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.2.0,2.2.2.0,,2016-04-29 20:03:04.098512,,183.0
39936631,deeptools_coverage_matrix,2016-04-29 20:23:22.221664,slurm_normal,1461961584.0,0,1.0,main_w1_handler0,2686891,12692173,False,,6894670.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a97498894254e6c4'}]","""spearman""","""mm10""","""true""","""png""",0,RdYlBu,false,,heatmap,,,"""false""","""true""",32.0,,29868533,1461961455.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.2.0,2.2.2.0,,2016-04-29 20:26:27.458010,,129.0
54703610,deeptools_coverage_matrix,2016-04-29 20:34:03.023930,slurm_normal,1461962165.0,0,1.0,main_w1_handler2,2688924,12692315,False,,6894813.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b594d4e4cb28d603de'}]","""spearman""","""mm9""","""false""","""png""",0,RdYlBu,false,,heatmap,,,"""false""","""false""",32.0,,29932973,1461962084.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.2.0,2.2.2.0,,2016-04-29 20:36:06.614649,,81.0
56425620,deeptools_coverage_matrix,2016-05-01 20:22:08.587929,slurm_normal,1462134245.0,0,1.0,main_w1_handler0,2691079,12717151,False,,6921051.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cc9e601e12cb13e8'}]","""spearman""","""mm9""","""false""","""png""",0,hot,true,,heatmap,,0.7,"""false""","""false""",32.0,,29977304,1462134170.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.2.0,2.2.2.0,,2016-05-01 20:24:07.983018,57609.0,75.0
54703610,deeptools_coverage_matrix,2016-04-29 21:35:23.373730,slurm_normal,1461969325.0,0,1.0,main_w2_handler0,2688924,12693432,False,,6895752.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b594d4e4cb28d603de'}]","""spearman""","""mm9""","""false""","""png""",0,gist_ncar,false,,heatmap,,,"""false""","""false""",32.0,,29932973,1461969240.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.2.0,2.2.2.0,,2016-04-29 22:35:28.111671,,85.0
56425620,deeptools_coverage_matrix,2016-05-01 19:31:04.297054,slurm_normal,1462131164.0,0,1.0,main_w1_handler0,2691079,12717028,False,,6920462.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cc9e601e12cb13e8'}]","""spearman""","""mm9""","""true""","""png""",0,RdYlBu,false,,heatmap,,,"""false""","""false""",32.0,,29977304,1462131090.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.2.0,2.2.2.0,,2016-05-01 19:32:46.775937,57609.0,74.0
