count,count_filetype,create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,name,name_filetype,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.alignment.__current_case__,parameters.alignment.source,parameters.alignment.template.values,parameters.chromInfo,parameters.classify.__current_case__,parameters.classify.cutoff,parameters.classify.iters,parameters.classify.ksize,parameters.classify.method,parameters.classify.probs,parameters.count.values,parameters.count|__identifier__,parameters.dbkey,parameters.fasta.values,parameters.fasta|__identifier__,parameters.name.values,parameters.relabund,parameters.tax.__current_case__,parameters.tax.source2,parameters.tax.taxonomy.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,taxonomy,taxonomy_filetype,template,template_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
68334.0,mothur.count_table,2017-10-24 14:04:58.810049,slurm_normal,1508853974.0,0,16771998,mothur.align,,1.0,main_w4_handler0,3276720,17197355,False,,11256680,slurm,,132112168.0,,,corral-repl,,,1,hist,"[{'src': 'hda', 'id': 31820611}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,80,100,8,wang,true,"[{'src': 'hda', 'id': 31851284}]",,"""?""","[{'src': 'hda', 'id': 31851283}]",,,"""false""",1,hist,"[{'src': 'hda', 'id': 31851885}]",32.0,,41090485.0,1508853929.0,ok,1023996.0,1123514,mothur.seq.taxonomy,15907100,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_seqs/mothur_classify_seqs/1.36.1.0,1.36.1.0,,2017-10-24 14:06:16.075998,112972.0,45.0
51878.0,mothur.count_table,2018-03-04 23:29:50.048020,slurm_normal,1520206242.0,0,406067,fasta,7680.0,1.0,main_w3_handler1,3437115,18603894,False,,12699184,slurm,,132112168.0,,,corral-repl,,,1,hist,"[{'src': 'hda', 'id': 34205609}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,80,100,8,wang,true,"[{'src': 'hda', 'id': 34206521}]",,"""?""","[{'src': 'hda', 'id': 34206520}]",,,"""false""",1,hist,"[{'src': 'hda', 'id': 34206526}]",32.0,,44053269.0,1520206206.0,ok,1023996.0,1123514,mothur.seq.taxonomy,15907100,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_seqs/mothur_classify_seqs/1.36.1.0,1.36.1.0,,2018-03-04 23:30:46.212511,122464.0,36.0
49645.0,mothur.count_table,2017-10-30 15:53:22.195537,slurm_normal,1509378950.0,0,344619,fasta,,1.0,main_w3_handler0,3304442,17266062,False,,11325166,slurm,,132112168.0,,,corral-repl,,,1,hist,"[{'src': 'hda', 'id': 31963905}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,80,100,8,wang,true,"[{'src': 'hda', 'id': 31967019}]",,"""?""","[{'src': 'hda', 'id': 31967018}]",,,"""false""",1,hist,"[{'src': 'hda', 'id': 31967247}]",32.0,,39677360.0,1509378911.0,ok,1023996.0,1123514,mothur.seq.taxonomy,15907100,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_seqs/mothur_classify_seqs/1.36.1.0,1.36.1.0,,2017-10-30 15:56:08.448540,654.0,39.0
,,2017-11-01 08:40:19.906588,slurm_normal,1509526552.0,0,126251326,mothur.align,,1.0,main_w3_handler1,3302101,17283450,False,,11344713,slurm,,132112168.0,,,corral-repl,,,1,hist,"[{'src': 'hda', 'id': 31922237}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,0,100,8,wang,true,,,"""?""","[{'src': 'hda', 'id': 31998352}]",,,"""false""",1,hist,"[{'src': 'hda', 'id': 31922310}]",32.0,,41658202.0,1509525631.0,ok,1023996.0,19877941,mothur.seq.taxonomy,3658446741,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_seqs/mothur_classify_seqs/1.36.1.0,1.36.1.0,,2017-11-01 08:55:54.394822,72172.0,921.0
,,2017-11-01 09:25:17.185250,slurm_normal,1509530462.0,0,89988152,mothur.align,,1.0,main_w3_handler0,3302097,17283656,False,,11345072,slurm,,132112168.0,,,corral-repl,,,1,hist,"[{'src': 'hda', 'id': 31921972}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,0,100,8,wang,true,,,"""?""","[{'src': 'hda', 'id': 31999022}]",,,"""false""",1,hist,"[{'src': 'hda', 'id': 31922187}]",32.0,,41658202.0,1509529603.0,ok,1023996.0,19877941,mothur.seq.taxonomy,3658446741,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_seqs/mothur_classify_seqs/1.36.1.0,1.36.1.0,,2017-11-01 10:01:10.601012,72172.0,859.0
,,2017-11-01 09:19:16.050006,slurm_normal,1509530000.0,0,117463248,mothur.align,,1.0,main_w4_handler1,3302099,17283620,False,,11345002,slurm,,132112168.0,,,corral-repl,,,1,hist,"[{'src': 'hda', 'id': 31922147}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,0,100,8,wang,true,,,"""?""","[{'src': 'hda', 'id': 31998944}]",,,"""false""",1,hist,"[{'src': 'hda', 'id': 31922251}]",32.0,,41658202.0,1509529072.0,ok,1023996.0,19877941,mothur.seq.taxonomy,3658446741,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_seqs/mothur_classify_seqs/1.36.1.0,1.36.1.0,,2017-11-01 09:53:23.893990,72172.0,928.0
,,2017-11-01 09:28:01.942772,slurm_normal,1509531155.0,0,119454509,mothur.align,,1.0,main_w4_handler1,3302094,17283672,False,,11345149,slurm,,132112168.0,,,corral-repl,,,1,hist,"[{'src': 'hda', 'id': 31921895}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,0,100,8,wang,true,,,"""?""","[{'src': 'hda', 'id': 31999046}]",,,"""false""",1,hist,"[{'src': 'hda', 'id': 31921930}]",32.0,,41658202.0,1509530327.0,ok,1023996.0,19877941,mothur.seq.taxonomy,3658446741,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_seqs/mothur_classify_seqs/1.36.1.0,1.36.1.0,,2017-11-01 10:12:37.747411,72172.0,828.0
,,2017-11-01 10:08:04.633675,slurm_normal,1509531528.0,0,26815,fasta,,1.0,main_w4_handler1,3306806,17283904,False,,11345265,slurm,,132112168.0,,,corral-repl,,"""865c2ca2beec11e7863c005056ba55fb""",1,hist,"[{'src': 'hda', 'id': 31999368}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,0,100,8,wang,true,,,"""?""","[{'src': 'hda', 'id': 31999405}]",,,"""false""",1,hist,"[{'src': 'hda', 'id': 31999406}]",32.0,,,1509531302.0,ok,1023996.0,19877941,mothur.seq.taxonomy,3658446741,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_seqs/mothur_classify_seqs/1.36.1.0,1.36.1.0,,2017-11-01 10:18:51.554310,72172.0,226.0
,,2017-11-01 11:45:44.748387,slurm_normal,1509538175.0,0,1194705,fasta,,1.0,main_w3_handler0,3306882,17284620,False,,11346152,slurm,,132112168.0,,,corral-repl,,"""25df1bc4befa11e7b484005056ba55fb""",1,hist,"[{'src': 'hda', 'id': 32000639}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,0,100,8,wang,true,,,"""?""","[{'src': 'hda', 'id': 32000849}]",,,"""false""",1,hist,"[{'src': 'hda', 'id': 32000850}]",32.0,,,1509537774.0,ok,1023996.0,19877941,mothur.seq.taxonomy,3658446741,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_seqs/mothur_classify_seqs/1.36.1.0,1.36.1.0,,2017-11-01 12:09:38.293642,72172.0,401.0
,,2017-11-01 11:45:54.486286,slurm_normal,1509539797.0,0,2647369,fasta,,1.0,main_w4_handler1,3306883,17284623,False,,11346378,slurm,,132112168.0,,,corral-repl,,"""f2893b9cbef911e79af7005056ba55fb""",1,hist,"[{'src': 'hda', 'id': 32000656}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,0,100,8,wang,true,,,"""?""","[{'src': 'hda', 'id': 32000840}]",,,"""false""",1,hist,"[{'src': 'hda', 'id': 32000854}]",32.0,,,1509539287.0,ok,1023996.0,19877941,mothur.seq.taxonomy,3658446741,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_seqs/mothur_classify_seqs/1.36.1.0,1.36.1.0,,2017-11-01 12:36:53.391994,72172.0,510.0
