create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.infile.values,parameters.max_hets,parameters.max_unknowns,parameters.min_gt_depth,parameters.min_size,parameters.min_snps,parameters.min_total_depth,parameters.samples,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-08-04 03:11:29.874362,slurm_normal,1470280320.0,0,1.0,main_w2_handler1,2763183,13585617,False,1707018240,gemini.sqlite,,7794518.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57249eaca573b82d1'}]","""1""","""3""","""0""","""100000""","""25""","""20""","""""",32.0,,31932888.0,1470280309.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2016-08-04 03:12:02.034001,87572.0,11.0
2017-01-23 14:40:32.715697,slurm_normal,1485182541.0,0,1.0,main_w4_handler1,2965038,14847421,False,1175909376,gemini.sqlite,,9007463.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28046929}]","""1""","""3""","""0""","""100000""","""25""","""20""","""""",32.0,,35532528.0,1485182437.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2017-01-23 14:42:25.089070,,104.0
2017-06-08 01:36:04.144174,slurm_normal,1496901143.0,0,1.0,main_w4_handler1,3144521,16047204,False,2513309696,gemini.sqlite,,10138929.roundup,slurm,,132112168.0,corral-repl,,"""d258ea664bea11e7806f005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 29942988}]","""1""","""3""","""0""","""100000""","""25""","""20""","""""",32.0,,,1496901121.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2017-06-08 05:52:27.098295,42102.0,22.0
2017-06-11 13:32:49.984199,slurm_normal,1497188575.0,0,1.0,main_w3_handler1,3149447,16074466,False,11144374272,gemini.sqlite,,10162033.roundup,slurm,,132112168.0,corral-repl,,"""748cec084eaa11e7a972005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 29983065}]","""1""","""3""","""0""","""100000""","""25""","""20""","""""",32.0,,,1497187990.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2017-06-11 13:42:57.808553,42102.0,585.0
2017-06-11 13:33:35.110312,slurm_normal,1497189124.0,0,1.0,main_w4_handler1,3149448,16074477,False,14719931392,gemini.sqlite,,10162065.roundup,slurm,,132112168.0,corral-repl,,"""8eab4bf24eaa11e7a145005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 29978368}]","""1""","""3""","""0""","""100000""","""25""","""20""","""""",32.0,,,1497188631.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2017-06-11 13:52:06.397501,42102.0,493.0
2017-06-12 09:27:29.559322,slurm_normal,1497260204.0,0,1.0,main_w4_handler1,3150733,16079720,False,11450917888,gemini.sqlite,,10166550.roundup,slurm,,132112168.0,corral-repl,,"""59e5ba724f5111e789a7005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 29987934}]","""1""","""3""","""0""","""100000""","""25""","""20""","""""",32.0,,,1497259674.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2017-06-12 09:36:48.627369,42102.0,530.0
2017-06-20 06:44:06.747038,slurm_normal,1497941109.0,0,1.0,main_w3_handler1,3164373,16139718,False,2548345856,gemini.sqlite,,10219436.roundup,slurm,,132112168.0,corral-repl,,"""d97901d0558311e7935a005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30067994}]","""1""","""3""","""0""","""100000""","""25""","""20""","""""",32.0,,,1497941104.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2017-06-20 06:45:12.290628,42102.0,5.0
2017-06-16 01:59:22.910686,slurm_normal,1497578963.0,0,1.0,main_w4_handler1,3157679,16113240,False,16577393664,gemini.sqlite,,10195685.roundup,slurm,,132112168.0,corral-repl,,"""64d46d1e523711e780b3005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30048784}]","""1""","""3""","""0""","""100000""","""25""","""20""","""""",32.0,,,1497578386.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2017-06-16 02:09:26.306808,42102.0,577.0
2017-06-16 06:54:46.808778,slurm_normal,1497597967.0,0,1.0,main_w4_handler1,3157936,16114056,False,14620344320,gemini.sqlite,,10196315.roundup,slurm,,132112168.0,corral-repl,,"""a46451fa526011e7bde5005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30050144}]","""1""","""3""","""0""","""100000""","""25""","""20""","""""",32.0,,,1497597441.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2017-06-16 07:26:09.157951,42102.0,526.0
2017-06-17 02:44:59.445503,slurm_normal,1497667558.0,0,1.0,main_w3_handler1,3159255,16120891,False,2512643072,gemini.sqlite,,10202447.roundup,slurm,,132112168.0,corral-repl,,"""f28591cc530611e7adbd005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30061302}]","""1""","""3""","""0""","""100000""","""25""","""20""","""""",32.0,,,1497667554.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2017-06-17 02:46:00.965984,42102.0,4.0
