chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.cfile,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.minimum,parameters.uncommon,parameters.window,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-12-06 11:56:36.725260,slurm_normal,1449403142.0,1.0,1.0,main_w2_handler1,2530030,11102763,False,,380710511,fasta,5363321.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",22326794,,"""0.15""","""no""","""30""",32.0,,26428762,1449403024.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: syco96/5.0.0,5.0.0,,2015-12-06 11:59:05.567478,67460.0,118.0
,,2016-02-08 03:26:03.242675,slurm_normal,1454901981.0,1.0,1.0,main_w1_handler0,2591955,11740756,False,,3539,fasta,5997302.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23228644,,"""0.15""","""yes""","""30""",32.0,,27604537,1454901976.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: syco96/5.0.0,5.0.0,,2016-02-08 03:26:23.086008,77210.0,5.0
,,2016-01-21 23:37:53.407236,slurm_normal,1453419497.0,1.0,1.0,main_w1_handler0,2572896,11575624,False,,8909,fasta,5841395.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",22998909,,"""0.15""","""yes""","""30""",32.0,,27637931,1453419491.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: syco96/5.0.0,5.0.0,,2016-01-21 23:38:21.122041,77210.0,6.0
,,2016-02-11 00:25:30.349880,slurm_normal,1455150365.0,1.0,1.0,main_w2_handler1,2595884,11783596,False,,1139,fasta,6038832.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23288449,,"""0.15""","""no""","""30""",32.0,,27306001,1455150350.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: syco96/5.0.0,5.0.0,,2016-02-11 00:26:14.871026,76536.0,15.0
,,2016-03-15 00:55:00.935626,slurm_normal,1458003351.0,1.0,1.0,main_w1_handler2,2633631,12135808,False,,65972,fasta,6352994.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23839756,,"""0.15""","""no""","""30""",32.0,,27453530,1458003346.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: syco96/5.0.0,5.0.0,,2016-03-15 00:55:52.826401,76800.0,5.0
,,2016-10-19 03:53:34.851344,slurm_normal,1476849234.0,1.0,1.0,main_w4_handler0,2860131,14113981,False,,17880,fasta,8328762.roundup,slurm,,132112168.0,corral-repl,,"""Efish.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5609be223155381ae'}]","""0.15""","""no""","""30""",32.0,,33795571,1476849220.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: syco96/5.0.0,5.0.0,,2016-10-19 03:53:57.270728,,14.0
,,2017-01-11 06:59:11.597161,slurm_normal,1484117962.0,1.0,1.0,main_w4_handler0,523367,14737110,False,,2023452,fasta,8902310.roundup,slurm,,132112168.0,corral-repl,,"""Ezebrafish.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27656784}]","""0.15""","""no""","""30""",32.0,,33992011,1484117956.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: syco96/5.0.0,5.0.0,,2017-01-11 06:59:25.965440,10411.0,6.0
12.0,len,2016-10-06 17:58:22.587914,slurm_normal,1475776771.0,1.0,1.0,main_w4_handler0,2185573,14022940,False,,115641,fasta,8240898.roundup,slurm,,132112168.0,corral-repl,,"""Eath.cut""","""/galaxy-repl/main/files/017/386/dataset_17386115.dat""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b516dcf76e1fe782b9'}]","""0.15""","""no""","""30""",32.0,,32904936,1475776746.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: syco96/5.0.0,5.0.0,,2016-10-06 17:59:34.705259,28313.0,25.0
12.0,len,2016-10-06 17:59:17.243558,slurm_normal,1475777012.0,1.0,1.0,main_w4_handler0,2185573,14022957,False,,79629,fasta,8240915.roundup,slurm,,132112168.0,corral-repl,,"""Eath.cut""","""/galaxy-repl/main/files/017/386/dataset_17386115.dat""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fb437944a657b0f7'}]","""0.15""","""no""","""30""",32.0,,32904936,1475776800.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: syco96/5.0.0,5.0.0,,2016-10-06 18:03:37.809412,28313.0,212.0
12.0,len,2016-10-06 17:59:27.639847,slurm_normal,1475776860.0,1.0,1.0,main_w4_handler1,2185573,14022958,False,,127557,fasta,8240922.roundup,slurm,,132112168.0,corral-repl,,"""Eath.cut""","""/galaxy-repl/main/files/017/386/dataset_17386115.dat""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56c0c186d4a8ce2e1'}]","""0.15""","""no""","""30""",32.0,,32904936,1475776831.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: syco96/5.0.0,5.0.0,,2016-10-06 18:01:05.223843,28313.0,29.0
