chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile_control_cond1,infile_control_cond1_filetype,infile_control_cond2,infile_control_cond2_filetype,infile_pileup_cond1,infile_pileup_cond1_filetype,infile_pileup_cond2,infile_pileup_cond2_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.cutoff,parameters.dbkey,parameters.depth1,parameters.depth2,parameters.infile_control_cond1,parameters.infile_control_cond1.values,parameters.infile_control_cond2,parameters.infile_control_cond2.values,parameters.infile_pileup_cond1,parameters.infile_pileup_cond1.values,parameters.infile_pileup_cond2,parameters.infile_pileup_cond2.values,parameters.maxgap,parameters.minlen,parameters.outputs,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-01-29 16:08:15.113530,slurm_normal,1454083878.0,0,1.0,main_w1_handler0,2573669,11632717,False,196228947,bedgraph,196228947,bedgraph,146652920,bedgraph,142603626,bedgraph,,5895954.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""1.0""","""mm9""","""1""","""1""",23082188,,23082188,,23082186,,23082187,,"""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",32.0,,27867171,1454083709.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20140616.0,2.1.0.20140616.0,,2016-01-29 16:11:33.328495,28108,169.0
,,2016-02-01 19:24:09.943805,slurm_normal,1454354718.0,0,1.0,main_w2_handler0,2575879,11660885,False,139298735,bedgraph,137483903,bedgraph,121885268,bedgraph,93331516,bedgraph,,5920438.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""1.0""","""?""","""1""","""1""",23052012,,23053948,,23052011,,23053947,,"""100""","""50""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",32.0,,27997244,1454354670.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-01 19:25:28.363124,57068,48.0
,,2016-02-01 19:39:40.370719,slurm_normal,1454357064.0,0,1.0,main_w2_handler1,2557147,11661000,False,2517375882,bedgraph,1378691602,bedgraph,3475098982,bedgraph,3180171047,bedgraph,,5920646.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1.0""","""hg19""","""1""","""1""",22997315,,22997340,,22997314,,22997339,,"""100""","""200""","[""--ofile-both-conditions""]",32.0,,27781696,1454355606.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-01 20:04:29.065128,76207,1458.0
,,2016-02-03 04:16:45.660510,slurm_normal,1454474046.0,0,1.0,main_w2_handler1,2557414,11690436,False,2204110131,bedgraph,1623415133,bedgraph,1339501602,bedgraph,1937109372,bedgraph,,5947106.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""1.0""","""hg38""","""1""","""1""",22985473,,22985485,,22985472,,22985484,,"""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",32.0,,28058260,1454473048.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-03 04:34:10.948011,70833,998.0
,,2016-02-03 04:34:30.664746,slurm_normal,1454475219.0,0,1.0,main_w2_handler1,2557414,11690496,False,2204752411,bedgraph,1623439228,bedgraph,2795310083,bedgraph,2934180777,bedgraph,,5947244.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""1.0""","""hg38""","""1""","""1""",22985459,,22985468,,22985458,,22985467,,"""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",32.0,,28058260,1454474095.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-03 04:53:42.815399,70833,1124.0
,,2016-02-03 19:25:09.322757,slurm_normal,1454527563.0,0,1.0,main_w1_handler2,2171143,11704286,False,322464,bedgraph,303822,bedgraph,104508,bedgraph,117268,bedgraph,,5960410.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""1.0""","""?""","""1""","""1""",23171530,,23171558,,23171592,,23171579,,"""100""","""30""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",32.0,,28072414,1454527538.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-03 19:26:05.253528,53042,25.0
,,2016-02-04 19:50:03.665842,slurm_normal,1454615800.0,0,1.0,main_w1_handler0,2589142,11712886,False,554481466,bedgraph,497393540,bedgraph,901503745,bedgraph,618788533,bedgraph,,5970662.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/013/967/dataset_13967963.dat""","""1.0""","""dm6""","""14""","""12""",23188944,,23188948,,23189078,,23188949,,"""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",32.0,,27907924,1454615435.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-04 19:56:44.184925,59928,365.0
,,2016-02-05 20:41:14.001600,slurm_normal,1454704986.0,0,1.0,main_w1_handler2,2573669,11726396,False,196228947,bedgraph,196228947,bedgraph,146652920,bedgraph,142603626,bedgraph,,5982412.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""1.0""","""mm9""","""5""","""5""",23082188,,23082188,,23082186,,23082187,,"""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",32.0,,27833642,1454704890.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-05 20:43:10.042854,28108,96.0
,,2016-01-07 18:13:45.750079,slurm_normal,1452190635.0,0,1.0,main_w1_handler0,2186322,11408102,False,275312095,bedgraph,349844595,bedgraph,270591043,bedgraph,306340716,bedgraph,,5674410.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""1.0""","""Arabidopsis_thaliana_TAIR10""","""3000000""","""3000000""",22778035,,22778036,,22778470,,22778471,,"""100""","""20""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",32.0,,26568383,1452190455.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20140616.0,2.1.0.20140616.0,,2016-01-07 18:17:19.484007,51951,180.0
,,2016-01-07 09:15:16.271284,slurm_normal,1452158566.0,0,1.0,main_w1_handler1,2537715,11401206,False,388387199,bedgraph,1636484049,bedgraph,642903913,bedgraph,1636484049,bedgraph,,5669862.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1.0""","""hg19""","""1""","""1""",22762902,,22762903,,22760795,,22762903,,"""100""","""200""","[""--ofile-both-conditions""]",32.0,,27261433,1452158134.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20140616.0,2.1.0.20140616.0,,2016-01-07 09:22:46.879055,29502,432.0
