create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input_file.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-10-10 20:40:38.720618,slurm_normal,1507668262.0,0,1.0,main_w4_handler1,3282292,17070566,False,,607576288,fastqsanger,11128250.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31636281}]",32.0,,41116086,1507668040.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.1,1.1.1,,2017-10-10 20:44:24.129322,113022,222.0
2017-10-10 21:20:17.933561,slurm_normal,1507670571.0,0,1.0,main_w4_handler0,3282338,17070878,False,,523623206,fastqsanger,11128587.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31636745}]",32.0,,41200137,1507670421.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.1,1.1.1,,2017-10-10 21:22:55.275655,113022,150.0
2017-10-10 21:17:14.996810,slurm_normal,1507670484.0,0,1.0,main_w4_handler1,3282336,17070857,False,,703362068,fastqsanger,11128563.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31636718}]",32.0,,41116086,1507670238.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.1,1.1.1,,2017-10-10 21:21:27.872912,113022,246.0
2017-10-10 22:04:25.316214,slurm_normal,1507673221.0,0,1.0,main_w3_handler0,3282358,17071161,False,,543151112,fastqsanger,11128881.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31637134}]",32.0,,41200137,1507673069.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.1,1.1.1,,2017-10-10 22:07:04.068488,113022,152.0
2017-10-10 22:08:09.230451,slurm_normal,1507673484.0,0,1.0,main_w3_handler1,3282367,17071172,False,,521851820,fastqsanger,11128894.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31637165}]",32.0,,41116086,1507673294.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.1,1.1.1,,2017-10-10 22:11:29.451856,113022,190.0
2017-10-10 23:15:17.235978,slurm_normal,1507677479.0,0,1.0,main_w4_handler1,3282451,17071632,False,,570602164,fastqsanger,11129305.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31637895}]",32.0,,41116086,1507677320.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.1,1.1.1,,2017-10-10 23:18:01.023404,113022,159.0
2017-10-11 00:56:28.022758,slurm_normal,1507683489.0,0,1.0,main_w3_handler1,3282496,17072080,False,,353362400,fastqsanger,11129712.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31638837}]",32.0,,41116086,1507683390.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.1,1.1.1,,2017-10-11 00:58:11.933521,113022,99.0
2017-10-11 00:14:30.384258,slurm_normal,1507681008.0,0,1.0,main_w4_handler0,3282474,17071965,False,,479264780,fastqsanger,11129600.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31638672}]",32.0,,41116086,1507680873.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.1,1.1.1,,2017-10-11 00:16:51.962172,113022,135.0
2017-10-11 12:37:17.422408,slurm_normal,1507725566.0,0,1.0,main_w4_handler1,3283076,17077682,False,,449285086,fastqsanger,11133517.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31648930}]",32.0,,41216920,1507725439.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.1,1.1.1,,2017-10-11 12:39:27.972437,113022,127.0
2017-10-11 12:42:59.311710,slurm_normal,1507725918.0,0,1.0,main_w3_handler0,3283076,17077725,False,,482970512,fastqsanger,11133556.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31648990}]",32.0,,41216920,1507725786.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.1,1.1.1,,2017-10-11 12:45:24.254863,113022,132.0
