create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_bam,input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_bam|__identifier__,parameters.iterations,parameters.reference_source.__current_case__,parameters.reference_source.input_bam.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-03-02 13:00:20.247178,slurm_normal,1519996812.0,0,7680.0,1.0,main_w4_handler1,3449314,18580174,False,,447274169,bam,12674915,slurm,,132112168.0,corral-repl,,"""421490301e1811e8a55b005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""SRR2333215""","""5""",1,"[{'src': 'hda', 'id': 34168752}]",,"[{'src': 'hda', 'id': 34167979}]",history,32.0,4411540.0,fasta,,,1519996470.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.1.0.46-0,1.1.0.46-0,,2018-03-02 13:20:13.991769,87686,342.0
2018-03-02 13:00:19.037733,slurm_normal,1519995936.0,0,7680.0,1.0,main_w3_handler1,3449314,18580173,False,,118782784,bam,12674742,slurm,,132112168.0,corral-repl,,"""421490301e1811e8a55b005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""SRR2328057""","""5""",1,"[{'src': 'hda', 'id': 34168749}]",,"[{'src': 'hda', 'id': 34167979}]",history,32.0,4411540.0,fasta,,,1519995836.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.1.0.46-0,1.1.0.46-0,,2018-03-02 13:05:38.389710,87686,100.0
2018-03-02 19:08:51.770673,slurm_normal,1520018075.0,0,7680.0,1.0,main_w3_handler0,3449314,18585282,False,,118782784,bam,12680101,slurm,,132112168.0,corral-repl,,"""b27dcdb81e4b11e88896005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""SRR2328057""","""5""",1,"[{'src': 'hda', 'id': 34176985}]",,"[{'src': 'hda', 'id': 34167979}]",history,32.0,4411540.0,fasta,,,1520017976.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.1.0.46-0,1.1.0.46-0,,2018-03-02 19:14:37.401562,87686,99.0
2018-03-02 19:08:53.371783,slurm_normal,1520018961.0,0,7680.0,1.0,main_w4_handler0,3449314,18585283,False,,447277216,bam,12680217,slurm,,132112168.0,corral-repl,,"""b27dcdb81e4b11e88896005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""SRR2333215""","""5""",1,"[{'src': 'hda', 'id': 34176988}]",,"[{'src': 'hda', 'id': 34167979}]",history,32.0,4411540.0,fasta,,,1520018610.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.1.0.46-0,1.1.0.46-0,,2018-03-02 19:29:23.217874,87686,351.0
2018-03-03 07:13:22.005032,slurm_normal,1520061519.0,0,7680.0,1.0,main_w4_handler0,3450286,18589392,False,,118782785,bam,12684369,slurm,,132112168.0,corral-repl,,"""e867ae481eb011e88bfb005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""SRR2328057""","""5""",1,"[{'src': 'hda', 'id': 34183088}]",,"[{'src': 'hda', 'id': 34183046}]",history,32.0,4411540.0,fasta,,,1520061415.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.1.0.46-0,1.1.0.46-0,,2018-03-03 07:18:42.576686,87686,104.0
2018-03-03 07:13:24.055461,slurm_normal,1520062332.0,0,7680.0,1.0,main_w3_handler0,3450286,18589393,False,,447277214,bam,12684413,slurm,,132112168.0,corral-repl,,"""e867ae481eb011e88bfb005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""SRR2333215""","""5""",1,"[{'src': 'hda', 'id': 34183089}]",,"[{'src': 'hda', 'id': 34183046}]",history,32.0,4411540.0,fasta,,,1520061990.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.1.0.46-0,1.1.0.46-0,,2018-03-03 07:32:15.811945,87686,342.0
2018-03-03 08:37:19.383786,slurm_normal,1520067330.0,0,7680.0,1.0,main_w3_handler1,3450321,18589859,False,,447277215,bam,12684804,slurm,,132112168.0,corral-repl,,"""a1e27bd61ebc11e89589005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""SRR2333215""","""5""",1,"[{'src': 'hda', 'id': 34183666}]",,"[{'src': 'hda', 'id': 34183463}]",history,32.0,4411540.0,fasta,,,1520066998.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.1.0.46-0,1.1.0.46-0,,2018-03-03 08:55:32.191220,87686,332.0
2018-03-03 08:37:17.582340,slurm_normal,1520066531.0,0,7680.0,1.0,main_w4_handler1,3450321,18589858,False,,118782784,bam,12684740,slurm,,132112168.0,corral-repl,,"""a1e27bd61ebc11e89589005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""SRR2328057""","""5""",1,"[{'src': 'hda', 'id': 34183665}]",,"[{'src': 'hda', 'id': 34183463}]",history,32.0,4411540.0,fasta,,,1520066440.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.1.0.46-0,1.1.0.46-0,,2018-03-03 08:42:13.266048,87686,91.0
2018-03-03 16:30:33.130028,slurm_normal,1520098001.0,0,7680.0,1.0,main_w4_handler1,3450288,18592531,False,,239,bam,12687731,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""SRR6257074""","""5""",1,"[{'src': 'hda', 'id': 34187435}]",,"[{'src': 'hda', 'id': 34183057}]",history,32.0,4411540.0,fasta,,43588932.0,1520097996.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.1.0.46-0,1.1.0.46-0,,2018-03-03 17:26:43.706613,87686,5.0
2018-03-03 16:30:34.407852,slurm_normal,1520098032.0,0,7680.0,1.0,main_w4_handler1,3450288,18592533,False,,243,bam,12687740,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""SRR6257076""","""5""",1,"[{'src': 'hda', 'id': 34187437}]",,"[{'src': 'hda', 'id': 34183057}]",history,32.0,4411540.0,fasta,,43588932.0,1520098028.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.1.0.46-0,1.1.0.46-0,,2018-03-03 17:27:14.391987,87686,4.0
2018-03-03 16:29:51.078295,slurm_normal,1520094659.0,0,7680.0,1.0,main_w4_handler1,3450288,18592448,False,,93661460,bam,12687197,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""SRR6256970""","""5""",1,"[{'src': 'hda', 'id': 34187355}]",,"[{'src': 'hda', 'id': 34183057}]",history,32.0,4411540.0,fasta,,43588932.0,1520094597.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.1.0.46-0,1.1.0.46-0,,2018-03-03 16:31:01.785143,87686,62.0
2018-03-03 16:29:56.821848,slurm_normal,1520094818.0,0,7680.0,1.0,main_w3_handler1,3450288,18592461,False,,133490151,bam,12687215,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""SRR6256982""","""5""",1,"[{'src': 'hda', 'id': 34187366}]",,"[{'src': 'hda', 'id': 34183057}]",history,32.0,4411540.0,fasta,,43588932.0,1520094732.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.1.0.46-0,1.1.0.46-0,,2018-03-03 16:33:41.099174,87686,86.0
2018-03-03 16:30:23.127732,slurm_normal,1520097274.0,0,7680.0,1.0,main_w4_handler1,3450288,18592510,False,,239,bam,12687655,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""SRR6257052""","""5""",1,"[{'src': 'hda', 'id': 34187415}]",,"[{'src': 'hda', 'id': 34183057}]",history,32.0,4411540.0,fasta,,43588932.0,1520097270.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.1.0.46-0,1.1.0.46-0,,2018-03-03 17:14:36.483539,87686,4.0
2018-03-03 16:29:49.403307,slurm_normal,1520094641.0,0,7680.0,1.0,main_w3_handler0,3450288,18592444,False,,62431924,bam,12687196,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""SRR6256966""","""5""",1,"[{'src': 'hda', 'id': 34187351}]",,"[{'src': 'hda', 'id': 34183057}]",history,32.0,4411540.0,fasta,,43588932.0,1520094597.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.1.0.46-0,1.1.0.46-0,,2018-03-03 16:30:42.719868,87686,44.0
2018-03-03 16:30:02.435166,slurm_normal,1520094970.0,0,7680.0,1.0,main_w3_handler1,3450288,18592471,False,,243,bam,12687258,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""SRR6256998""","""5""",1,"[{'src': 'hda', 'id': 34187376}]",,"[{'src': 'hda', 'id': 34183057}]",history,32.0,4411540.0,fasta,,43588932.0,1520094965.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.1.0.46-0,1.1.0.46-0,,2018-03-03 16:36:13.231085,87686,5.0
