create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.addoverlap,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.out_format1,parameters.overlap,parameters.size,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-01-16 15:28:33.340755,slurm_normal,1516116552.0,0.0,1.0,main_w4_handler1,3210509,18049608,False,,14308815,fasta,12126912,slurm,,132112168.0,corral-repl,,,"""no""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33333254}]","""fasta""","""55""","""60""",32.0,,42637878.0,1516116519.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: splitter92/5.0.0,5.0.0,,2018-01-16 15:29:13.894286,8488.0,33.0
2018-01-17 12:03:28.833386,slurm_normal,1516190615.0,0.0,1.0,main_w3_handler0,3210509,18058995,False,,8273,fasta,12136794,slurm,,132112168.0,corral-repl,,,"""no""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33347906}]","""fasta""","""100""","""120""",32.0,,42637878.0,1516190612.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: splitter92/5.0.0,5.0.0,,2018-01-17 12:03:39.579142,8488.0,3.0
2018-01-17 11:55:31.488703,slurm_normal,1516190147.0,0.0,1.0,main_w3_handler0,3210509,18058929,False,,8273,fasta,12136736,slurm,,132112168.0,corral-repl,,,"""no""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33347906}]","""fasta""","""96""","""120""",32.0,,42637878.0,1516190136.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: splitter92/5.0.0,5.0.0,,2018-01-17 11:55:49.748305,8488.0,11.0
2017-12-06 09:56:12.302978,slurm_normal,1512554186.0,0.0,1.0,main_w3_handler1,3355124,17715506,False,,21968,fasta,11780886,slurm,,132112168.0,corral-repl,,,"""no""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32763989}]","""fasta""","""0""","""10000""",32.0,,42491399.0,1512554182.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: splitter92/5.0.0,5.0.0,,2017-12-06 09:56:32.592412,,4.0
2018-01-17 11:39:21.089644,slurm_normal,1516189168.0,0.0,1.0,main_w3_handler1,3210509,18058856,False,,2140,fasta,12136648,slurm,,132112168.0,corral-repl,,,"""no""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33347795}]","""fasta""","""24""","""120""",32.0,,42637878.0,1516189165.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: splitter92/5.0.0,5.0.0,,2018-01-17 11:39:30.641497,8488.0,3.0
2018-01-17 11:56:03.852275,slurm_normal,1516190191.0,0.0,1.0,main_w3_handler1,3210509,18058935,False,,2140,fasta,12136738,slurm,,132112168.0,corral-repl,,,"""no""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33347904}]","""fasta""","""96""","""120""",32.0,,42637878.0,1516190170.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: splitter92/5.0.0,5.0.0,,2018-01-17 11:56:33.729968,8488.0,21.0
2018-01-17 12:00:00.367546,slurm_normal,1516190410.0,0.0,1.0,main_w4_handler1,3210509,18058957,False,,2140,fasta,12136758,slurm,,132112168.0,corral-repl,,,"""no""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33347904}]","""fasta""","""95""","""120""",32.0,,42637878.0,1516190406.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: splitter92/5.0.0,5.0.0,,2018-01-17 12:00:12.787726,8488.0,4.0
2018-01-17 12:00:52.119334,slurm_normal,1516190459.0,0.0,1.0,main_w4_handler0,3210509,18058967,False,,2140,fasta,12136768,slurm,,132112168.0,corral-repl,,,"""no""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33347904}]","""fasta""","""100""","""120""",32.0,,42637878.0,1516190455.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: splitter92/5.0.0,5.0.0,,2018-01-17 12:00:59.998800,8488.0,4.0
2018-01-17 12:25:27.338225,slurm_normal,1516191933.0,0.0,1.0,main_w4_handler1,3210509,18059173,False,,2140,fasta,12136997,slurm,,132112168.0,corral-repl,,,"""no""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33347904}]","""fasta""","""90""","""120""",32.0,,42637878.0,1516191930.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: splitter92/5.0.0,5.0.0,,2018-01-17 12:25:35.462834,8488.0,3.0
2018-01-17 14:00:05.013718,slurm_normal,1516197611.0,0.0,1.0,main_w4_handler0,3210509,18060156,False,,12214,fasta,12138050,slurm,,132112168.0,corral-repl,,,"""no""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33350876}]","""fasta""","""100""","""120""",32.0,,42637878.0,1516197607.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: splitter92/5.0.0,5.0.0,,2018-01-17 14:00:13.237621,8488.0,4.0
