chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,fastq1,fastq1_filetype,fastq2,fastq2_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.fastq1,parameters.fastq1.values,parameters.fastq1|__identifier__,parameters.fastq2,parameters.fastq2.values,parameters.fastq2|__identifier__,parameters.invariant,parameters.taglen,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-01-19 15:03:29.944314,reserved,1453218619.0,0,11255074162,fastqsanger,11297727042,fastqsanger,1.0,main_w1_handler0,2570434,11549937,False,,5813421.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22955859,,,22955860,,,"""5""","""12""",32.0,,26662391.0,1453215844.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-01-19 15:50:41.526569,621.0,2775.0
,,2016-03-11 22:09:03.250520,slurm_normal,1457734602.0,0,457195736,fastqsanger,456892956,fastqsanger,1.0,main_w1_handler1,2630550,12110981,False,,6334417.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23803846,,,23803845,,,"""5""","""12""",32.0,,28920883.0,1457734550.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-03-11 22:16:47.567910,80372.0,52.0
,,2016-01-27 12:52:18.117754,slurm_normal,1453899189.0,0,84034130,fastq,84034130,fastq,1.0,main_w2_handler1,2442115,11614224,False,,5878807.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22284048,,,22284048,,,"""5""","""12""",32.0,,27820998.0,1453899153.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-01-27 12:53:11.591499,69506.0,36.0
,,2016-01-27 14:35:08.940025,slurm_normal,1453905326.0,0,33029,fastqsanger,33029,fastqsanger,1.0,main_w1_handler1,2556879,11614948,False,,5879510.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23056127,,,23056127,,,"""0""","""6""",32.0,,27292110.0,1453905319.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-01-27 14:35:28.477520,13758.0,7.0
,,2016-02-12 20:35:20.717932,slurm_normal,1455309748.0,0,2011695867,fastqsanger,2013107015,fastqsanger,1.0,main_w1_handler0,2585439,11813790,False,,6062157.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23325474,,,23325475,,,"""5""","""12""",32.0,,28349835.0,1455309346.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-02-12 20:42:30.736118,58640.0,402.0
,,2016-02-12 20:34:54.027616,slurm_normal,1455310004.0,0,2038155190,fastqsanger,2039118344,fastqsanger,1.0,main_w1_handler2,2585439,11813786,False,,6062150.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23325471,,,23325473,,,"""5""","""12""",32.0,,28349835.0,1455309325.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-02-12 20:46:47.655009,58640.0,679.0
14.0,len,2016-02-14 04:17:28.841433,slurm_normal,1455423831.0,0,2038155190,fastq,2039118344,fastq,1.0,main_w1_handler2,2598978,11819058,False,,6068511.roundup,slurm,,132112168.0,corral-repl,,"""dafe494cd2d111e5baca005056a51846""","""/galaxy-repl/main/files/014/350/dataset_14350748.dat""","""?""",23124100,,,23124102,,,"""5""","""12""",32.0,,28358959.0,1455423477.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-02-14 04:23:53.791127,58640.0,354.0
,,2016-10-12 21:43:27.414648,slurm_normal,1476308668.0,0,195546202,fastqsanger,196347304,fastqsanger,1.0,main_w3_handler0,2852682,14067419,False,,8284567.roundup,slurm,,132112168.0,corral-repl,,"""e88204f890c411e695dd005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b505fd2fb1068fe47a'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57321ec94e2eea31f'}]",,"""5""","""12""",32.0,,33640361.0,1476308615.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-10-12 21:44:38.060443,61346.0,53.0
,,2016-02-17 18:46:57.778224,slurm_normal,1455734945.0,0,6742214,fastqsanger,6742214,fastqsanger,1.0,main_w2_handler1,2533404,11859890,False,,6101010.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23390886,,,23390886,,,"""5""","""12""",32.0,,28453609.0,1455734936.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-02-17 18:49:11.434287,75052.0,9.0
,,2016-06-20 18:16:01.927521,slurm_normal,1466446581.0,0,2093471,fastq,1822749,fastq,1.0,main_w2_handler1,2743471,13213588,False,,7398157.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50ad165f7a160bf66'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55d0f02f192ec4881'}]",,"""20""","""22""",32.0,,30952259.0,1466446578.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-06-20 18:16:24.189688,86313.0,3.0
