create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.coil,parameters.dbkey,parameters.frame,parameters.input1,parameters.input1.values,parameters.other,parameters.window,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-04-11 18:08:24.158362,slurm_normal,1428775724.0,0.0,,1.0,main_w1_handler1,2267012,9202094,False,,80540,fasta,3484674.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""","""yes""",19239064,,"""yes""","""28""",32.0,,22396159,1428775714.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2015-04-11 18:08:47.710626,,10.0
2015-09-09 18:27:32.250229,slurm_normal,1441823274.0,0.0,,1.0,main_w1_handler1,2433627,10289075,False,,1105,fasta,4574416.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""","""yes""",21061648,,"""yes""","""28""",32.0,,25091318,1441823270.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2015-09-09 18:27:58.684134,,4.0
2015-10-06 16:36:49.410869,slurm_normal,1444149432.0,0.0,,1.0,main_w1_handler1,2461771,10511236,False,,1046,fasta,4786638.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""","""yes""",21414777,,"""yes""","""28""",32.0,,25527158,1444149426.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2015-10-06 16:37:18.339821,36889.0,6.0
2016-02-05 20:38:40.904432,slurm_normal,1454704809.0,0.0,,1.0,main_w1_handler2,2590539,11726388,False,,559932,fasta,5982384.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/oryza_sativa_japonica_nipponbare_IRGSP4.0.len""","""yes""","""oryza_sativa_japonica_nipponbare_IRGSP4.0""","""yes""",23210349,,"""yes""","""28""",32.0,,28140119,1454704759.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2016-02-05 20:40:11.156196,45857.0,50.0
2016-02-06 04:33:37.714180,slurm_normal,1454733378.0,0.0,,1.0,main_w1_handler2,2590616,11727389,False,,559932,fasta,5984069.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""","""yes""",23210571,,"""yes""","""28""",32.0,,28140119,1454733329.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2016-02-06 04:36:21.674160,45857.0,49.0
2016-02-05 20:38:33.447293,slurm_normal,1454704811.0,0.0,,1.0,main_w1_handler2,2590539,11726383,False,,682541,fasta,5982381.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/oryza_sativa_japonica_nipponbare_IRGSP4.0.len""","""yes""","""oryza_sativa_japonica_nipponbare_IRGSP4.0""","""yes""",23210215,,"""yes""","""28""",32.0,,28140119,1454704751.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2016-02-05 20:40:17.351901,45857.0,60.0
2016-02-06 04:33:41.457845,slurm_normal,1454733366.0,0.0,,1.0,main_w1_handler2,2590616,11727393,False,,530516,fasta,5984073.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""","""yes""",23210638,,"""yes""","""28""",32.0,,28140119,1454733321.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2016-02-06 04:36:10.394796,45857.0,45.0
2016-02-06 04:33:42.001924,slurm_normal,1454733355.0,0.0,,1.0,main_w1_handler0,2590616,11727394,False,,418714,fasta,5984072.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""","""yes""",23210651,,"""yes""","""28""",32.0,,28140119,1454733308.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2016-02-06 04:35:57.564904,45857.0,47.0
2016-02-06 04:33:38.578623,slurm_normal,1454733312.0,0.0,,1.0,main_w1_handler0,2590616,11727390,False,,486514,fasta,5984071.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""","""yes""",23210583,,"""yes""","""28""",32.0,,28140119,1454733272.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2016-02-06 04:35:14.848485,45857.0,40.0
2016-02-06 04:33:42.399352,slurm_normal,1454733439.0,0.0,,1.0,main_w1_handler0,2590616,11727395,False,,737356,fasta,5984077.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""","""yes""",23210700,,"""yes""","""28""",32.0,,28140119,1454733363.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2016-02-06 04:37:24.927358,45857.0,76.0
