chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.allow_different_units,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.mono_threshold,parameters.non_mono_threshold,parameters.separation,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2014-11-19 17:50:12.070889,rodeo_normal,1416419473.0,0,1.0,main_w1_handler0,2107009,8204280,False,,4670,fasta,262555.rodeo,slurm,,16332532.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17607844,,"""4""","""4""","""5""",2.0,,17980116,1416419465.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-11-19 17:51:18.374928,54213.0,8.0
,,2014-11-20 13:06:54.301429,rodeo_normal,1416488826.0,0,1.0,main_w2_handler1,1796439,8210351,False,,5473,fasta,2065350.roundup,slurm,,132112068.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/phiX.len""","""phiX""",17546363,,"""1""","""1""","""1""",32.0,,19612517,1416488824.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-11-20 13:07:07.864665,21457.0,2.0
,,2014-11-21 13:48:09.844220,rodeo_normal,1416577698.0,0,1.0,main_w1_handler1,2107009,8218901,False,,4667,fasta,281630.rodeo,slurm,,16332532.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17437793,,"""4""","""4""","""5""",2.0,,17980116,1416577695.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-11-21 13:48:21.708655,54213.0,3.0
,,2014-11-21 14:56:04.391343,rodeo_normal,1416581774.0,0,1.0,main_w2_handler0,2107009,8219698,False,,849,fasta,282899.rodeo,slurm,,16332532.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17440877,,"""3""","""4""","""5""",2.0,,17980116,1416581770.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-11-21 14:56:19.453884,54213.0,4.0
,,2014-11-21 14:53:47.898684,rodeo_normal,1416703031.0,0,1.0,main_w1_handler1,2107009,8219678,False,,565272147,fasta,282806.rodeo,slurm,,16332532.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17426831,,"""9""","""4""","""10""",2.0,,17980116,1416581642.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-11-23 00:37:15.225669,54213.0,121389.0
,,2014-11-21 14:54:26.387137,rodeo_normal,1416581680.0,0,1.0,main_w2_handler1,2107009,8219685,False,,4667,fasta,2077483.roundup,slurm,,132112068.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17437793,,"""3""","""4""","""5""",32.0,,17980116,1416581678.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-11-21 14:54:41.959132,54213.0,2.0
,,2014-11-21 14:59:05.836820,rodeo_normal,1416581955.0,0,1.0,main_w1_handler1,2111526,8219793,False,,849,fasta,2077692.roundup,slurm,,132112264.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17464725,,"""9""","""4""","""10""",32.0,,17980116,1416581953.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-11-21 14:59:16.523547,54213.0,2.0
,,2014-11-21 14:57:26.095782,rodeo_normal,1416581875.0,0,1.0,main_w2_handler0,2111526,8219712,False,,4670,fasta,282974.rodeo,slurm,,8059880.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17634872,,"""5""","""4""","""10""",1.0,,17980116,1416581872.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-11-21 14:57:58.239628,54213.0,3.0
,,2014-11-21 14:57:50.631138,rodeo_normal,1416581901.0,0,1.0,main_w1_handler0,2111526,8219737,False,,534,fasta,282998.rodeo,slurm,,16332532.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17634897,,"""5""","""3""","""5""",2.0,,17980116,1416581896.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-11-21 14:58:25.779520,54213.0,5.0
,,2014-11-21 14:59:20.308014,rodeo_normal,1416581975.0,0,1.0,main_w1_handler0,2111526,8219806,False,,4667,fasta,283082.rodeo,slurm,,8059880.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17464723,,"""9""","""4""","""10""",1.0,,17980116,1416581971.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-11-21 14:59:45.968813,54213.0,4.0
