chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input1,input10,input10_filetype,input11,input11_filetype,input12,input12_filetype,input13,input13_filetype,input14,input14_filetype,input15,input15_filetype,input16,input16_filetype,input17,input17_filetype,input18,input18_filetype,input19,input19_filetype,input1_filetype,input2,input20,input20_filetype,input21,input21_filetype,input22,input22_filetype,input23,input23_filetype,input24,input24_filetype,input25,input25_filetype,input26,input26_filetype,input27,input27_filetype,input28,input28_filetype,input29,input29_filetype,input2_filetype,input3,input30,input30_filetype,input31,input31_filetype,input32,input32_filetype,input33,input33_filetype,input34,input34_filetype,input3_filetype,input4,input4_filetype,input5,input5_filetype,input6,input6_filetype,input7,input7_filetype,input8,input8_filetype,input9,input9_filetype,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.combine_inputs,parameters.dbkey,parameters.root_name,parameters.type_of_data.__current_case__,parameters.type_of_data.input.values,parameters.type_of_data.max_rank,parameters.type_of_data.type_of_data_selector,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-06-07 13:57:21.016190,slurm_normal,1496843888.0,0,,1.0,main_w3_handler1,3142626,16040749,False,,445137,445137,,,,,,,,,,,,,,,,,,,,,taxonomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,taxonomy,10130788.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",1,"[{'src': 'hda', 'id': 29918368}]",,text,32.0,,38486253.0,1496843883.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.1,2.6.1,,2017-06-07 13:58:15.494137,,5.0
,,2017-06-07 15:10:52.779159,slurm_normal,1496848277.0,0,,1.0,main_w3_handler1,3142626,16041417,False,,445137,445137,,,,,,,,,,,,,,,,,,,,,taxonomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,taxonomy,10131522.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",0,"[{'src': 'hda', 'id': 29933450}]",8,taxonomy,32.0,,38486253.0,1496848272.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.1,2.6.1,,2017-06-07 15:11:23.773841,,5.0
,,2017-06-19 13:06:39.103661,slurm_normal,1497877620.0,0,,1.0,main_w3_handler1,3155119,16131592,False,,390,390,,,,,,,,,,,,,,,,,,,,,taxonomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,taxonomy,10211735.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",0,"[{'src': 'hda', 'id': 30078956}]",14,taxonomy,32.0,,38666151.0,1497877616.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.1,2.6.1,,2017-06-19 13:07:03.834125,107681.0,4.0
,,2017-06-08 23:09:20.354155,slurm_normal,1496963380.0,0,,1.0,main_w4_handler1,3108022,16058432,False,,605362,605362,,,,,,,,,,,,,,,,,,,,,taxonomy,641040.0,,,,,,,,,,,,,,,,,,,,,taxonomy,660365.0,,,,,,,,,,,taxonomy,535809.0,taxonomy,,,,,,,,,,,taxonomy,10147795.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",0,"[{'src': 'hda', 'id': 29945756}, {'src': 'hda', 'id': 29945757}, {'src': 'hda', 'id': 29945758}, {'src': 'hda', 'id': 29945759}]",8,taxonomy,32.0,,38363318.0,1496963375.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.1,2.6.1,,2017-06-08 23:09:43.773667,105723.0,5.0
,,2017-05-08 17:31:30.584445,slurm_normal,1494264699.0,0,,1.0,main_w3_handler1,2316593,15782390,False,,402864,402864,,,,,,,,,,,,,,,,,,,,,taxonomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,taxonomy,9888707.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",0,"[{'src': 'hda', 'id': 29474362}]",8,taxonomy,32.0,,36003039.0,1494264694.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.1,2.6.1,,2017-05-08 17:31:40.322108,21457.0,5.0
,,2017-06-28 15:56:41.291423,slurm_normal,1498666156.0,0,,1.0,main_w3_handler0,3155119,16214059,False,,1676063,1676063,,,,,,,,,,,,,,,,,,,,,taxonomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,taxonomy,10290088.roundup,slurm,,132112168.0,corral-repl,,"""590d26d25c1a11e7805a005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",0,"[{'src': 'hda', 'id': 30203761}]",8,taxonomy,32.0,,,1498666149.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.1,2.6.1,,2017-06-28 16:09:20.257542,107681.0,7.0
,,2017-06-12 23:35:02.743512,slurm_normal,1497310527.0,0,,1.0,main_w3_handler1,3029774,16086784,False,,19324469,19324469,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,10172997.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",1,"[{'src': 'hda', 'id': 30003986}]",,text,32.0,,36668425.0,1497310517.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.1,2.6.1,,2017-06-12 23:35:32.577610,101427.0,10.0
,,2017-05-10 04:13:27.578811,slurm_normal,1494389619.0,0,,1.0,main_w4_handler0,3104872,15799363,False,,4864,4864,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,9904240.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",1,"[{'src': 'hda', 'id': 29544924}]",,text,32.0,,37867525.0,1494389614.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.1,2.6.1,,2017-05-10 04:13:41.326080,99655.0,5.0
,,2017-05-10 04:04:07.827962,slurm_normal,1494389063.0,0,,1.0,main_w3_handler0,3104872,15799343,False,,4517,4517,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,9904120.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",1,"[{'src': 'hda', 'id': 29544923}]",,text,32.0,,37867525.0,1494389058.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.1,2.6.1,,2017-05-10 04:04:28.195709,99655.0,5.0
,,2017-05-10 20:40:55.823165,slurm_normal,1494452900.0,0,,1.0,main_w3_handler1,3009812,15805672,False,,482088157,482088157,,,,,,,,,,,,,,,,,,,,,tabular,483846677.0,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,,,tabular,9910627.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",1,"[{'src': 'hda', 'id': 29554290}, {'src': 'hda', 'id': 29554291}]",,text,32.0,,36267880.0,1494452748.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.1,2.6.1,,2017-05-10 21:48:21.995795,99644.0,152.0
