create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.wordsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-12-16 01:24:05.255915,slurm_normal,1481851452.0,0.0,,1.0,main_w4_handler0,523367,14589250,False,,1488,fasta,8768049.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27654685}]","""6""",32.0,,33992011.0,1481851449.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: wordcount109/5.0.0,5.0.0,,2016-12-16 01:24:15.254807,10411.0,3.0
2018-02-02 01:52:16.741791,slurm_normal,1517536370.0,0.0,,1.0,main_w3_handler1,3410787,18231177,False,,2251618,fasta,12311336,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/pyrAer1.len""","""pyrAer1""",,"[{'src': 'hda', 'id': 33624393}]","""8""",32.0,,43555886.0,1517536347.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: wordcount109/5.0.0,5.0.0,,2018-02-02 01:52:51.100429,120931.0,23.0
2017-02-22 13:58:16.466119,slurm_normal,1487772070.0,0.0,,1.0,main_w3_handler0,3005520,15107062,False,,2686549,fasta,9261915.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28461131}]","""4""",32.0,,36220116.0,1487771902.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: wordcount109/5.0.0,5.0.0,,2017-02-22 14:01:16.070159,,168.0
2017-02-22 13:58:03.440319,slurm_normal,1487772010.0,0.0,,1.0,main_w3_handler1,2976444,15107051,False,,2686549,fasta,9261910.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28461130}]","""4""",32.0,,35721465.0,1487771893.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: wordcount109/5.0.0,5.0.0,,2017-02-22 14:00:12.420803,,117.0
2017-03-24 06:01:54.393994,slurm_normal,1490335357.0,0.0,,1.0,main_w3_handler1,3035068,15382919,False,,31235994,fasta,9520266.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38Patch2.len""","""hg38Patch2""",,"[{'src': 'hda', 'id': 28800095}]","""4""",32.0,,36829198.0,1490335323.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: wordcount109/5.0.0,5.0.0,,2017-03-24 06:02:39.115357,93395.0,34.0
2017-02-12 23:17:20.660875,slurm_normal,1486941449.0,0.0,,1.0,main_w4_handler0,1169632,15018911,False,,61439,fasta,9175368.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28318174}]","""4""",32.0,,35124011.0,1486941444.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: wordcount109/5.0.0,5.0.0,,2017-02-12 23:17:30.720529,551.0,5.0
2014-12-08 17:10:24.792159,rodeo_normal,1418058636.0,0.0,,1.0,main_w2_handler1,1428144,8373553,False,,5482259,fasta,502142.rodeo,slurm,,8059880.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17869877,,"""18""",1.0,,19897145.0,1418058630.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: wordcount109/5.0.0,5.0.0,,2014-12-08 17:10:39.277347,49.0,6.0
2014-11-10 16:20:17.950604,rodeo_normal,1415636429.0,0.0,,1.0,main_w1_handler1,1908687,8136183,False,,226935,fasta,1973358.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17484836,,"""4""",32.0,,17192791.0,1415636426.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: wordcount109/5.0.0,5.0.0,,2014-11-10 16:20:35.768849,11898.0,3.0
2014-11-10 16:20:29.305864,rodeo_normal,1415636440.0,0.0,,1.0,main_w2_handler1,1908687,8136184,False,,225960,fasta,1973360.roundup,slurm,,132112068.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17484833,,"""4""",32.0,,17192791.0,1415636437.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: wordcount109/5.0.0,5.0.0,,2014-11-10 16:20:44.155890,11898.0,3.0
2015-01-20 12:15:51.179324,rodeo_normal,1421756177.0,0.0,,1.0,main_w1_handler1,2179044,8573655,False,,10722350,fasta,2513091.roundup,slurm,,132112068.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18249964,,"""4""",32.0,,20572734.0,1421756167.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: wordcount109/5.0.0,5.0.0,,2015-01-20 12:16:20.354333,,10.0
