create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.calc,parameters.chromInfo,parameters.countends,parameters.cutoff,parameters.dbkey,parameters.fasta.values,parameters.output,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-04-06 06:14:11.394221,slurm_normal,1491459325.0,0,50001,filter,1.0,main_w4_handler0,3050702,15502751,False,,9630050.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""0.0""","""?""","[{'src': 'hda', 'id': 28982221}]","""""",32.0,,36907121,1491459255.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_dist_seqs/1.20.0,1.20.0,,2017-04-06 06:15:27.897024,80831.0,70.0
2017-03-13 04:50:05.270130,slurm_normal,1489381595.0,0,20686355,fasta,1.0,main_w4_handler0,3028823,15277538,False,,9422135.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""0.03""","""?""","[{'src': 'hda', 'id': 28730489}]","""lt""",32.0,,36583425,1489380707.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_dist_seqs/1.20.0,1.20.0,,2017-03-13 05:33:30.939412,101903.0,888.0
2017-03-13 13:25:42.139316,reserved,1489413901.0,0,20686355,fasta,1.0,main_w4_handler0,3029344,15281670,False,,9425914.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""0.03""","""?""","[{'src': 'hda', 'id': 28736264}]","""square""",32.0,,36196859,1489411639.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_dist_seqs/1.20.0,1.20.0,,2017-03-13 14:25:45.058664,5254.0,2262.0
2017-04-19 15:12:17.092401,slurm_normal,1492614905.0,0,1056094,fasta,1.0,main_w3_handler1,3079208,15626425,False,,9745064.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""0.15""","""?""","[{'src': 'hda', 'id': 29279219}]","""""",32.0,,37404525,1492614888.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_dist_seqs/1.20.0,1.20.0,,2017-04-19 15:16:33.901503,104295.0,17.0
2017-04-19 15:45:43.197032,slurm_normal,1492616771.0,0,1056094,fasta,1.0,main_w3_handler1,3079208,15626727,False,,9745413.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""0.0""","""?""","[{'src': 'hda', 'id': 29279219}]","""lt""",32.0,,37404525,1492616759.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_dist_seqs/1.20.0,1.20.0,,2017-04-19 15:46:16.544710,104295.0,12.0
2017-04-25 19:27:33.714200,slurm_normal,1493174614.0,0,193897532,fasta,1.0,main_w4_handler0,3084684,15675249,False,,9790534.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""0.03""","""?""","[{'src': 'hda', 'id': 29356933}]","""lt""",32.0,,37528117,1493148473.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_dist_seqs/1.20.0,1.20.0,,2017-04-26 05:14:50.531607,,26141.0
2017-05-03 17:29:45.489917,slurm_normal,1493832673.0,0,6549532,fasta,1.0,main_w4_handler0,3093574,15738086,False,,9847807.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""0.0""","""?""","[{'src': 'hda', 'id': 29454546}]","""lt""",32.0,,37686114,1493832588.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_dist_seqs/1.20.0,1.20.0,,2017-05-03 17:31:51.121852,31855.0,85.0
2017-05-08 18:54:09.869752,slurm_normal,1494269664.0,0,3589,interval,1.0,main_w4_handler1,3102831,15783144,False,,9889492.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""0.0""","""?""","[{'src': 'hda', 'id': 29522100}]","""""",32.0,,37837475,1494269655.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_dist_seqs/1.20.0,1.20.0,,2017-05-08 18:54:26.531512,105501.0,9.0
2017-05-08 18:55:55.099824,slurm_normal,1494269767.0,0,4179,fasta,1.0,main_w4_handler0,3102831,15783168,False,,9889519.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""0.0""","""?""","[{'src': 'hda', 'id': 29521908}]","""""",32.0,,37837475,1494269759.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_dist_seqs/1.20.0,1.20.0,,2017-05-08 18:56:09.249508,105501.0,8.0
2017-05-09 07:01:33.245750,slurm_normal,1494313303.0,0,370098,fasta,1.0,main_w3_handler0,3102232,15787033,False,,9893102.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""0.2""","""?""","[{'src': 'hda', 'id': 29528309}]","""""",32.0,,36746733,1494313298.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_dist_seqs/1.20.0,1.20.0,,2017-05-09 07:01:44.326678,,5.0
2017-05-09 07:14:24.240915,slurm_normal,1494314072.0,0,370098,fasta,1.0,main_w4_handler1,3102232,15787072,False,,9893146.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""0.2""","""?""","[{'src': 'hda', 'id': 29528309}]","""""",32.0,,36746733,1494314068.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_dist_seqs/1.20.0,1.20.0,,2017-05-09 07:14:35.726462,,4.0
