create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.report,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-04-20 15:37:24.391082,slurm_normal,1429544769.0,0,1.0,main_w2_handler1,1636949,9279601,False,,8638,tabular,3581428.roundup,slurm,,132112168.0,corral-repl,,"""1f4cc6aae77311e48ad6005056a51846""","""/galaxy-repl/localdata/chrom/oryCun2.len""","""oryCun2""",19386185,,"""True""",32.0,,22591883,1429544758.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2015-04-20 15:46:11.202886,39900,11.0
2015-04-20 15:30:16.348443,slurm_normal,1429544008.0,0,1.0,main_w2_handler1,1636949,9279557,False,,97750,tabular,3581156.roundup,slurm,,132112168.0,corral-repl,,"""20ff437ae77211e485c8005056a52a46""","""/galaxy-repl/localdata/chrom/oryCun2.len""","""oryCun2""",19386009,,"""True""",32.0,,22591883,1429543999.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2015-04-20 15:33:32.059710,39900,9.0
2015-04-20 15:58:33.940122,slurm_normal,1429545692.0,0,1.0,main_w1_handler0,1636949,9279738,False,,97383,tabular,3581850.roundup,slurm,,132112168.0,corral-repl,,"""1412fa86e77611e48c69005056a52a46""","""/galaxy-repl/localdata/chrom/oryCun2.len""","""oryCun2""",19386381,,"""True""",32.0,,22591883,1429545656.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2015-04-20 16:01:38.186200,39900,36.0
2015-04-20 16:21:33.833744,slurm_normal,1429547548.0,0,1.0,main_w2_handler0,1636949,9279857,False,,3652,tabular,3582282.roundup,slurm,,132112168.0,corral-repl,,"""4c54e7b2e77911e4bb9d005056a52a46""","""/galaxy-repl/localdata/chrom/oryCun2.len""","""oryCun2""",19386536,,"""True""",32.0,,22591883,1429547533.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2015-04-20 16:32:33.674795,39900,15.0
2015-04-20 16:43:54.006298,slurm_normal,1429548750.0,0,1.0,main_w1_handler1,1636949,9280031,False,,4373,tabular,3582584.roundup,slurm,,132112168.0,corral-repl,,"""67f0b4e4e77c11e49e4e005056a51846""","""/galaxy-repl/localdata/chrom/oryCun2.len""","""oryCun2""",19387055,,"""True""",32.0,,22591883,1429548741.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2015-04-20 16:52:34.490008,39900,9.0
2015-04-20 17:05:53.671114,slurm_normal,1429550287.0,0,1.0,main_w1_handler0,1636949,9280259,False,,3869,tabular,3582985.roundup,slurm,,132112168.0,corral-repl,,"""7d93aa9ce77f11e4b20f005056a51846""","""/galaxy-repl/localdata/chrom/oryCun2.len""","""oryCun2""",19387567,,"""True""",32.0,,22591883,1429550268.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2015-04-20 17:18:12.338051,39900,19.0
2016-06-22 00:49:43.801350,slurm_normal,1466556722.0,0,1.0,main_w1_handler1,2712926,13230758,False,,2106,tabular,7415864.roundup,slurm,,132112168.0,corral-repl,,"""33d8f2fa381311e685a1005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52fdcf32ba589bde7'}]","""true""",32.0,,30362146,1466556708.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2016-06-22 00:52:05.529954,4594,14.0
2016-06-22 02:13:25.177126,slurm_normal,1466561737.0,0,1.0,main_w1_handler1,2712926,13231293,False,,2106,tabular,7416392.roundup,slurm,,132112168.0,corral-repl,,"""e58999b8381e11e698a6005056a51846""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e2814d3d7e3e83e8'}]","""true""",32.0,,30362146,1466561730.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2016-06-22 02:15:39.757260,4594,7.0
2014-09-30 09:56:59.195554,roundup_single,1412071040.0,0,1.0,main_w2_handler0,2017564,7899575,False,,41338,tabular,1880159,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16989836,,"""True""",32.0,,17303185,1412071029.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-09-30 09:57:21.595091,45745,11.0
2014-11-07 17:56:31.983740,rodeo_normal,1415403311.0,0,1.0,main_w2_handler0,2111144,8122543,False,,350,tabular,152556.rodeo,slurm,,16332532.0,corral-repl,,"""61da530466a711e48936005056a51846""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",17459836,,"""True""",2.0,,18037820,1415403298.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-11-07 23:35:14.862074,29829,13.0
2014-11-07 17:56:33.819987,rodeo_normal,1415403323.0,0,1.0,main_w2_handler0,2111144,8122544,False,,10396,tabular,1960678.roundup,slurm,,132112264.0,corral-repl,,"""61da530466a711e48936005056a51846""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",17459838,,"""True""",32.0,,18037820,1415403319.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-11-07 23:35:24.774915,29829,4.0
