create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.cols,parameters.dbkey,parameters.group,parameters.inputA,parameters.inputA.values,parameters.operation,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-01-31 11:20:57.504382,slurm_normal,1454239270.0,0,1.0,main_w1_handler1,2583842,11644497,False,,232626,bed,5907399.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""2""","""?""","""1,2,3""",23099766,,"""count""",32.0,,27967571.0,1454239267.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_groupbybed/2.22.0,2.22.0,,2016-01-31 11:21:14.315205,77782,3.0
2016-02-01 14:33:15.991813,slurm_normal,1454337328.0,0,1.0,main_w2_handler0,2584806,11658162,False,,89455,bed,5917443.roundup,slurm,,132112168.0,corral-repl,,"""acd074f4c8f011e584a3005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""10""","""hg19""","""1-6""",23115925,,"""first""",32.0,,27992077.0,1454337321.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_groupbybed/2.22.0,2.22.0,,2016-02-01 14:35:36.134254,62362,7.0
2016-04-27 09:10:04.145977,slurm_normal,1461748332.0,0,1.0,main_w2_handler0,2686382,12640560,False,,1354700,bed,6844632.roundup,slurm,,132112168.0,corral-repl,,"""cdaedd000c5711e699d6005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""10""","""hg19""","""1-6""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51a1704900b18dba5'}]","""first""",32.0,,29831234.0,1461748329.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_groupbybed/2.22.0,2.22.0,,2016-04-27 09:12:25.717041,78027,3.0
2016-02-05 18:55:21.733737,slurm_normal,1454698762.0,0,1.0,main_w1_handler0,2590459,11725148,False,,41129,bed,5981265.roundup,slurm,,132112168.0,corral-repl,,"""f69cc5a0cc3911e5be2b005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""10""","""?""","""1-6""",23208772,,"""first""",32.0,,28137263.0,1454698759.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_groupbybed/2.22.0,2.22.0,,2016-02-05 18:59:29.197453,77870,3.0
2016-02-05 19:44:21.277866,slurm_normal,1454701726.0,0,1.0,main_w1_handler1,2590522,11725423,False,,104289,bed,5981776.roundup,slurm,,132112168.0,corral-repl,,"""d3be60c8cc4011e5b253005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""10""","""hg19""","""1-6""",23209237,,"""first""",32.0,,28137263.0,1454701718.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_groupbybed/2.22.0,2.22.0,,2016-02-05 19:48:51.105647,77870,8.0
2016-02-05 19:44:56.993906,slurm_normal,1454701818.0,0,1.0,main_w1_handler2,2590525,11725455,False,,229999,bed,5981801.roundup,slurm,,132112168.0,corral-repl,,"""e7d4d768cc4011e5b253005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""10""","""hg19""","""1-6""",23209275,,"""first""",32.0,,28137263.0,1454701814.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_groupbybed/2.22.0,2.22.0,,2016-02-05 19:50:26.086846,77870,4.0
2016-02-08 08:38:04.818175,slurm_normal,1454920816.0,0,1.0,main_w2_handler0,2592198,11741594,False,,53124,bed,5998099.roundup,slurm,,132112168.0,corral-repl,,"""380f76d4ce3f11e5b15d005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""10""","""hg19""","""1-6""",23229891,,"""first""",32.0,,28137263.0,1454920813.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_groupbybed/2.22.0,2.22.0,,2016-02-08 08:40:22.618987,77870,3.0
2016-02-08 08:38:54.813373,slurm_normal,1454921022.0,0,1.0,main_w2_handler1,2592199,11741624,False,,74443,bed,5998154.roundup,slurm,,132112168.0,corral-repl,,"""5d8e6244ce3f11e5b15d005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""10""","""hg19""","""1-6""",23229929,,"""first""",32.0,,28137263.0,1454921018.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_groupbybed/2.22.0,2.22.0,,2016-02-08 08:43:49.016989,77870,4.0
2016-02-08 08:39:40.277679,slurm_normal,1454921093.0,0,1.0,main_w2_handler1,2592202,11741683,False,,63237,bed,5998180.roundup,slurm,,132112168.0,corral-repl,,"""77dbd6fece3f11e5b15d005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""10""","""hg19""","""1-6""",23230001,,"""first""",32.0,,28137263.0,1454921088.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_groupbybed/2.22.0,2.22.0,,2016-02-08 08:45:07.791664,77870,5.0
2016-02-08 08:40:41.084624,slurm_normal,1454921562.0,0,1.0,main_w1_handler2,2592205,11741742,False,,102505,bed,5998328.roundup,slurm,,132112168.0,corral-repl,,"""9986dec0ce3f11e5b15d005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""10""","""hg19""","""1-6""",23230072,,"""first""",32.0,,28137263.0,1454921559.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_groupbybed/2.22.0,2.22.0,,2016-02-08 08:52:44.822629,77870,3.0
