chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.complete_blocks,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1_chromCol,parameters.input1_dbkey,parameters.input1_endCol,parameters.input1_species,parameters.input1_startCol,parameters.input1_strandCol,parameters.species,parameters.species.__class__,parameters.species.value,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-01-27 14:28:45.934095,slurm_normal,1453904947.0,0.0,,1.0,main_w2_handler0,2579810.0,11614916,False,,1385,maf,5879474.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""partial_allowed""","""?""",23057774,,,,,,,,"[""HSA"", ""PTR"", ""MML""]",,,32.0,,27822933.0,1453904940.0,ok,1023996.0,MAF_To_BED1,1.0.0,,2016-01-27 14:29:20.221574,,7.0
,,2016-02-17 21:12:06.640809,slurm_normal,1455743616.0,0.0,,1.0,main_w1_handler2,1439812.0,11861059,False,,199324866,maf,6102238.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/012/552/dataset_12552653.dat""","""partial_allowed""","""mrap""",23395897,,,,,,,,"[""muni"", ""mrap"", ""mell""]",,,32.0,,28456882.0,1455743579.0,ok,1023996.0,MAF_To_BED1,1.0.0,,2016-02-17 21:14:01.578745,34613.0,37.0
,,2016-02-17 21:11:59.102098,slurm_normal,1455743616.0,0.0,,1.0,main_w1_handler0,1439812.0,11861058,False,,208633930,maf,6102239.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/012/565/dataset_12565572.dat""","""partial_allowed""","""muni""",23395900,,,,,,,,"[""muni"", ""mrap"", ""mell""]",,,32.0,,28456882.0,1455743580.0,ok,1023996.0,MAF_To_BED1,1.0.0,,2016-02-17 21:13:58.563120,34613.0,36.0
,,2016-02-17 21:12:19.088783,slurm_normal,1455743622.0,0.0,,1.0,main_w1_handler1,1439812.0,11861062,False,,238530257,maf,6102241.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/012/565/dataset_12565569.dat""","""partial_allowed""","""mell""",23395896,,,,,,,,"[""muni"", ""mrap"", ""mell""]",,,32.0,,28456882.0,1455743588.0,ok,1023996.0,MAF_To_BED1,1.0.0,,2016-02-17 21:14:01.694626,34613.0,34.0
,,2016-02-19 13:51:07.316215,slurm_normal,1455889902.0,0.0,,1.0,main_w1_handler2,2605576.0,11877246,False,,1111840,maf,6117491.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""partial_allowed""","""?""",23419995,,,,,,,,"[""GCA_000746605""]",,,32.0,,28496947.0,1455889891.0,ok,1023996.0,MAF_To_BED1,1.0.0,,2016-02-19 13:51:48.950486,,11.0
,,2016-02-19 13:38:57.748046,slurm_normal,1455889197.0,0.0,,1.0,main_w2_handler0,2605576.0,11877191,False,,1111840,maf,6117437.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""partial_allowed""","""?""",23419995,,,,,,,,,,,32.0,,28496947.0,1455889174.0,ok,1023996.0,MAF_To_BED1,1.0.0,,2016-02-19 13:40:25.368490,,23.0
,,2016-02-19 13:40:01.148537,slurm_normal,1455889248.0,0.0,,1.0,main_w2_handler0,2605576.0,11877196,False,,1111840,maf,6117444.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""partial_allowed""","""?""",23419995,,,,,,,,"[""GCA_000746605"", ""GCA_000786735"", ""GCF_000018445"", ""GCF_000021145"", ""GCF_000021245"", ""GCF_000226275"", ""GCF_000419385"", ""GCF_000419405"", ""GCF_000419425"", ""GCF_000746645"", ""GCF_000761175"", ""GCF_000830055"", ""GCF_000963815"", ""GCF_001026965"", ""GCF_001077655"", ""GCF_001077675""]",,,32.0,,28496947.0,1455889233.0,ok,1023996.0,MAF_To_BED1,1.0.0,,2016-02-19 13:41:34.629845,,15.0
,,2016-02-18 21:25:50.912675,slurm_normal,1455836259.0,0.0,,1.0,main_w1_handler1,1439812.0,11872299,False,,229887321,maf,6113355.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/012/565/dataset_12565569.dat""","""partial_allowed""","""mell""",23411743,,,,,,,,"[""muni"", ""mrap"", ""mell""]",,,32.0,,28456882.0,1455836249.0,ok,1023996.0,MAF_To_BED1,1.0.0,,2016-02-18 22:57:49.610896,34613.0,10.0
,,2016-02-19 04:08:11.093636,slurm_normal,1455854928.0,0.0,,1.0,main_w2_handler0,1439812.0,11874779,False,,193559042,maf,6115027.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/012/552/dataset_12552653.dat""","""partial_allowed""","""mrap""",23412042,,,,,,,,"[""muni"", ""mrap"", ""mell""]",,,32.0,,27058920.0,1455854918.0,ok,1023996.0,MAF_To_BED1,1.0.0,,2016-02-19 04:08:54.904681,34613.0,10.0
,,2016-02-19 04:07:59.374287,slurm_normal,1455854917.0,0.0,,1.0,main_w1_handler1,1439812.0,11874778,False,,202807913,maf,6115025.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/012/565/dataset_12565572.dat""","""partial_allowed""","""muni""",23412066,,,,,,,,"[""muni"", ""mrap"", ""mell""]",,,32.0,,27058920.0,1455854904.0,ok,1023996.0,MAF_To_BED1,1.0.0,,2016-02-19 04:08:46.778912,34613.0,13.0
