create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.globaldifferences,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.out_format1,parameters.out_format2,parameters.out_format3,parameters.wordsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-04-08 02:56:43.381187,slurm_normal,1428461826.0,0.0,,1.0,main_w2_handler0,2262969,9167806,False,,84042,fasta,84042,fasta,3447548.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""no""",19186454,,19186454,,"""diffseq""","""gff""","""gff""","""20""",32.0,,22310896,1428461822.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: diffseq22/5.0.0,5.0.0,,2015-04-08 02:57:10.878522,,4.0
2015-04-08 03:00:31.962810,slurm_normal,1428462081.0,0.0,,1.0,main_w2_handler0,2262969,9167819,False,,84042,fasta,115493,fasta,3447578.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""no""",19186454,,19186453,,"""diffseq""","""gff""","""gff""","""20""",32.0,,22310896,1428462062.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: diffseq22/5.0.0,5.0.0,,2015-04-08 03:01:25.952020,,19.0
2015-06-29 11:49:22.659197,slurm_normal,1435578588.0,0.0,,1.0,main_w1_handler0,2344298,9757247,False,,79622898,fasta,79622898,fasta,4060611.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""no""",20173796,,20173796,,"""diffseq""","""gff""","""gff""","""20""",32.0,,23700688,1435578580.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: diffseq22/5.0.0,5.0.0,,2015-06-29 11:49:51.443859,64926.0,8.0
2015-10-14 21:43:08.232840,slurm_normal,1444859173.0,0.0,,1.0,main_w2_handler1,2471131,10575231,False,,1652,fasta,1652,fasta,4846121.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/eschColi_K12.len""","""eschColi_K12""","""no""",21521896,,21522426,,"""diffseq""","""gff""","""gff""","""20""",32.0,,25684143,1444859136.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: diffseq22/5.0.0,5.0.0,,2015-10-14 21:46:15.769840,27530.0,37.0
2015-10-14 21:59:51.309026,slurm_normal,1444860311.0,0.0,,1.0,main_w1_handler2,2471131,10575299,False,,1652,fasta,1652,fasta,4846260.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/eschColi_K12.len""","""eschColi_K12""","""no""",21522506,,21521896,,"""table""","""gff""","""gff""","""20""",32.0,,25684143,1444860032.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: diffseq22/5.0.0,5.0.0,,2015-10-14 22:05:18.528063,27530.0,279.0
2015-10-14 22:39:51.546518,slurm_normal,1444862429.0,0.0,,1.0,main_w1_handler1,2471131,10575763,False,,5269,fasta,5269,fasta,4846576.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/eschColi_K12.len""","""eschColi_K12""","""no""",21523271,,21523271,,"""diffseq""","""gff""","""gff""","""20""",32.0,,25684143,1444862420.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: diffseq22/5.0.0,5.0.0,,2015-10-14 22:40:34.478628,27530.0,9.0
2015-10-14 22:42:19.643624,slurm_normal,1444862659.0,0.0,,1.0,main_w2_handler0,2471131,10575776,False,,1652,fasta,1652,fasta,4846591.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/eschColi_K12.len""","""eschColi_K12""","""no""",21522506,,21521896,,"""diffseq""","""gff""","""gff""","""20""",32.0,,25684143,1444862564.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: diffseq22/5.0.0,5.0.0,,2015-10-14 22:44:25.322929,27530.0,95.0
2015-10-17 16:31:34.044613,slurm_normal,1445099515.0,0.0,,1.0,main_w1_handler1,2472426,10614629,False,,1652,fasta,1652,fasta,4883425.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""no""",21582867,,21582863,,"""diffseq""","""gff""","""gff""","""20""",32.0,,25742659,1445099506.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: diffseq22/5.0.0,5.0.0,,2015-10-17 16:32:00.865696,71356.0,9.0
2015-10-16 07:31:09.221642,slurm_normal,1444980706.0,0.0,,1.0,main_w2_handler1,2472407,10591599,False,,1652,fasta,1652,fasta,4862590.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""no""",21550549,,21550554,,"""diffseq""","""gff""","""gff""","""20""",32.0,,25719706,1444980701.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: diffseq22/5.0.0,5.0.0,,2015-10-16 07:31:50.887913,71349.0,5.0
2015-10-16 07:33:23.840983,slurm_normal,1444980831.0,0.0,,1.0,main_w1_handler1,2472407,10591605,False,,1652,fasta,1652,fasta,4862595.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""no""",21550554,,21550549,,"""diffseq""","""gff""","""gff""","""20""",32.0,,25719706,1444980827.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: diffseq22/5.0.0,5.0.0,,2015-10-16 07:33:55.120213,71349.0,4.0
