chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.filter_type.__current_case__,parameters.filter_type.filter,parameters.filter_type.read_list_file.values,parameters.inputFile,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.validation_stringency,processor_count,read_list_file,read_list_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-11-09 18:10:25.081502,slurm_normal,1478715423.0,0,1.0,main_w4_handler1,2887559,14298107,False,,1154601417,sam,8506118.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",0,includeAligned,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bef912d1c19077be'}]",,"""LENIENT""",32.0,,,,34166813,1478715028.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FilterSamReads/1.136.0,1.136.0,,2016-11-09 18:17:09.154677,31505,395.0
,,2017-01-13 22:13:23.566897,slurm_normal,1484345618.0,0,1.0,main_w3_handler1,2954869,14764646,False,,255,bam,8928514.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,includeAligned,,,"[{'src': 'hda', 'id': 27914532}]",,"""LENIENT""",32.0,,,,35202307,1484345609.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FilterSamReads/1.136.0,1.136.0,,2017-01-13 22:13:41.259149,58555,9.0
28.0,len,2016-11-15 18:13:36.356647,slurm_normal,1479233666.0,0,1.0,main_w3_handler1,2878234,14347202,False,,17417829,bam,8553272.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/017/722/dataset_17722451.dat""","""?""",0,includeAligned,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b500fc6c30f19bbfbe'}]",,"""LENIENT""",32.0,,,,34266708,1479233621.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FilterSamReads/1.136.0,1.136.0,,2016-11-15 18:14:28.227252,67979,45.0
28.0,len,2016-11-15 18:12:56.610154,slurm_normal,1479233717.0,0,1.0,main_w4_handler1,2878234,14347199,False,,17770464,bam,8553270.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/017/722/dataset_17722451.dat""","""?""",0,includeAligned,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b510affdcce141eac0'}]",,"""LENIENT""",32.0,,,,34266708,1479233587.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FilterSamReads/1.136.0,1.136.0,,2016-11-15 18:15:20.926228,67979,130.0
,,2016-11-18 10:45:43.135908,slurm_normal,1479467792.0,0,1.0,main_w3_handler1,2897566,14375428,False,,2188128467,sam,8581027.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",0,includeAligned,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55131c3a2469ff3f5'}]",,"""LENIENT""",32.0,,,,34325313,1479466705.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FilterSamReads/1.136.0,1.136.0,,2016-11-18 11:16:35.799409,80827,1087.0
,,2016-11-18 10:45:46.891846,slurm_normal,1479469361.0,0,1.0,main_w3_handler0,2897566,14375435,False,,2901321599,sam,8581176.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",0,includeAligned,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d051119ac46fa84b'}]",,"""LENIENT""",32.0,,,,34325313,1479467875.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FilterSamReads/1.136.0,1.136.0,,2016-11-18 11:42:44.065197,80827,1486.0
,,2016-11-18 10:45:45.528974,slurm_normal,1479467873.0,0,1.0,main_w3_handler1,2897566,14375432,False,,2926646461,sam,8581048.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",0,includeAligned,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b510925ab1a9f51a14'}]",,"""LENIENT""",32.0,,,,34325313,1479466746.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FilterSamReads/1.136.0,1.136.0,,2016-11-18 11:17:57.061428,80827,1127.0
,,2017-03-21 18:47:32.858623,slurm_normal,1490125518.0,0,1.0,main_w3_handler0,3024260,15358082,False,,35004773787,sam,9496545.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,includeAligned,,,"[{'src': 'hda', 'id': 28858770}]",,"""SILENT""",32.0,,,,36757543,1490122055.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FilterSamReads/1.136.0,1.136.0,,2017-03-21 19:45:21.515205,101691,3463.0
,,2016-11-18 10:45:44.736973,slurm_normal,1479467573.0,0,1.0,main_w4_handler0,2897566,14375431,False,,2983848112,sam,8581052.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",0,includeAligned,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dd7c519b500b40c2'}]",,"""LENIENT""",32.0,,,,34325313,1479466776.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FilterSamReads/1.136.0,1.136.0,,2016-11-18 11:12:57.280349,80827,797.0
,,2016-11-18 10:45:47.412655,slurm_normal,1479468183.0,0,1.0,main_w3_handler0,2897566,14375436,False,,1362332755,sam,8581178.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",0,includeAligned,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59a8f11c421ac8ea4'}]",,"""LENIENT""",32.0,,,,34325313,1479467830.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FilterSamReads/1.136.0,1.136.0,,2016-11-18 11:23:05.450863,80827,353.0
,,2016-11-18 10:45:40.979435,slurm_normal,1479466698.0,0,1.0,main_w3_handler1,2897566,14375423,False,,2414335890,sam,8580962.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",0,includeAligned,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56571531388a68a11'}]",,"""LENIENT""",32.0,,,,34325313,1479465944.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FilterSamReads/1.136.0,1.136.0,,2016-11-18 10:58:21.327810,80827,754.0
