create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.effective_genome_size_options.__current_case__,parameters.effective_genome_size_options.effective_genome_size_options_selector,parameters.effective_genome_size_options.gsize,parameters.infile.values,parameters.infile|__identifier__,parameters.keep_dup_options.__current_case__,parameters.keep_dup_options.keep_dup_options_selector,parameters.keep_dup_options.user_keepdup,parameters.pvalue,parameters.tsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-10-28 20:03:11.396091,slurm_normal,1509221284.0,0,,1.0,main_w3_handler0,3303282,17251154,False,1112330303,bam,,11311220,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",1,2150570000,,"[{'src': 'hda', 'id': 31940679}]",,1,1,,"""1e-5""","""""",32.0,,41440323,1509221011.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-28 20:08:09.452978,47016.0,273.0
2017-10-28 20:43:25.108779,slurm_normal,1509223675.0,0,,1.0,main_w3_handler1,3303282,17251282,False,1080988017,bam,,11311367,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",1,2150570000,,"[{'src': 'hda', 'id': 31940899}]",,1,1,,"""1e-5""","""""",32.0,,41440323,1509223414.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-28 20:47:57.415422,47016.0,261.0
2017-10-28 21:53:05.205051,slurm_normal,1509227835.0,0,,1.0,main_w3_handler1,3303282,17251571,False,890473762,bam,,11311689,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",1,2150570000,,"[{'src': 'hda', 'id': 31941355}]",,1,1,,"""1e-5""","""""",32.0,,41440323,1509227593.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-28 21:57:19.221700,47016.0,242.0
2017-10-28 21:49:33.543102,slurm_normal,1509227645.0,0,,1.0,main_w3_handler0,3303282,17251561,False,914643103,bam,,11311654,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",1,2150570000,,"[{'src': 'hda', 'id': 31941346}]",,1,1,,"""1e-5""","""""",32.0,,41440323,1509227400.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-28 21:54:15.645976,47016.0,245.0
2017-10-28 23:50:43.184841,slurm_normal,1509234882.0,0,,1.0,main_w3_handler1,3303282,17251897,False,952187909,bam,,11312147,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",1,2150570000,,"[{'src': 'hda', 'id': 31941793}]",,1,1,,"""1e-5""","""""",32.0,,41440323,1509234649.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-28 23:54:46.390564,47016.0,233.0
2017-10-28 23:54:20.838473,slurm_normal,1509235170.0,0,,1.0,main_w3_handler1,3303282,17251906,False,1161577610,bam,,11312154,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",1,2150570000,,"[{'src': 'hda', 'id': 31941788}]",,1,1,,"""1e-5""","""""",32.0,,41440323,1509234874.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-28 23:59:34.458537,47016.0,296.0
2017-10-29 00:20:20.125809,slurm_normal,1509236725.0,0,,1.0,main_w3_handler1,3303282,17251963,False,1130007825,bam,,11312228,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",1,2150570000,,"[{'src': 'hda', 'id': 31941837}]",,1,1,,"""1e-5""","""""",32.0,,41597882,1509236434.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-29 00:25:27.805073,47016.0,291.0
2017-11-06 09:09:49.681125,slurm_normal,1509959477.0,0,,1.0,main_w3_handler0,2894607,17342630,False,481988,bed,,11405730,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,2451960000,,"[{'src': 'hda', 'id': 32088086}]",,1,1,,"""1e-5""","""""",32.0,,41777429,1509959464.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-06 09:11:23.189454,94854.0,13.0
2017-11-07 05:25:29.736780,slurm_normal,1510032394.0,0,,1.0,main_w4_handler0,2894607,17354520,False,111723,bed,,11418086,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,2451960000,,"[{'src': 'hda', 'id': 32106493}]",,1,1,,"""1e-5""","""""",32.0,,41777429,1510032387.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-07 05:26:41.172405,94854.0,7.0
2017-11-08 05:30:12.937820,slurm_normal,1510119100.0,0,,1.0,main_w3_handler1,3238461,17377005,False,132572,bed,,11438422,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,2451960000,,"[{'src': 'hda', 'id': 32142329}]",,1,1,,"""1e-5""","""""",32.0,,41832238,1510119093.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-08 05:32:16.178413,94854.0,7.0
