create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,otu,otu_filetype,param_filename,parameters.chromInfo,parameters.dbkey,parameters.fontsize,parameters.input.__current_case__,parameters.input.calc,parameters.input.groups,parameters.input.label,parameters.input.otu.values,parameters.input.source,parameters.nseqs,parameters.otu|__identifier__,parameters.permute,parameters.sharedotus,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-10-16 05:56:24.656187,slurm_normal,1508133395.0,0,,1.0,main_w4_handler0,3288291,17107997,False,,11165167.roundup,slurm,,132112168.0,corral-repl,311677,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",0.0,"['sharedsobs', 'sharedchao', 'sharedace']","['SAMPLE-1', 'SAMPLE-2', 'SAMPLE-3', 'SAMPLE-4', 'SAMPLE-5', 'SAMPLE-6', 'SAMPLE-7', 'SAMPLE-8', 'SAMPLE-9']",['0.03'],"[{'src': 'hda', 'id': 31698366}]",shared,"""true""",,"""4""","""true""",32.0,,41306609,1508133387.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2017-10-16 05:57:46.692783,,8.0
2017-11-09 04:49:34.688591,slurm_normal,1510205999.0,0,,1.0,main_w4_handler1,3307905,17392129,False,,11453352,slurm,,132112168.0,corral-repl,72350,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,41627267,1510202996.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2017-11-09 07:26:32.059289,36706.0,3003.0
2017-11-09 04:48:58.628257,slurm_normal,1510205872.0,0,,1.0,main_w3_handler0,3307905,17392128,False,,11453345,slurm,,132112168.0,corral-repl,72350,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,41627267,1510202959.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2017-11-09 06:23:53.971820,36706.0,2913.0
2017-11-09 04:44:08.273742,slurm_normal,1510205523.0,0,,1.0,main_w4_handler1,3307905,17392107,False,,11453283,slurm,,132112168.0,corral-repl,72350,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,41627267,1510202669.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2017-11-09 07:16:42.567298,36706.0,2854.0
2017-11-09 20:12:55.287891,slurm_normal,1510261291.0,0,,1.0,main_w3_handler1,3307905,17402158,False,,11463836,slurm,,132112168.0,corral-repl,72350,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,41627267,1510258387.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2017-11-09 21:34:17.791175,36706.0,2904.0
2017-11-09 23:29:48.178159,slurm_normal,1510313485.0,0,,1.0,main_w4_handler1,3315882,17404763,False,,11465913,slurm,,132112168.0,corral-repl,81981,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""","""0.03""","""4""","""true""",32.0,,40487806,1510270209.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2017-11-10 12:11:02.672573,110860.0,43276.0
2017-11-09 23:30:20.210851,slurm_normal,1510312917.0,0,,1.0,main_w4_handler1,3315882,17404765,False,,11465917,slurm,,132112168.0,corral-repl,81981,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""","""0.03""","""4""","""true""",32.0,,40487806,1510270239.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2017-11-10 11:54:41.030045,110860.0,42678.0
2017-11-09 23:30:46.020659,slurm_normal,1510313124.0,0,,1.0,main_w4_handler0,3315882,17404767,False,,11465922,slurm,,132112168.0,corral-repl,81981,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""","""0.03""","""4""","""true""",32.0,,40487806,1510270260.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2017-11-10 12:04:50.580397,110860.0,42864.0
2017-11-09 23:31:59.744007,slurm_normal,1510314161.0,0,,1.0,main_w4_handler1,3315882,17404774,False,,11465940,slurm,,132112168.0,corral-repl,81981,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""","""0.03""","""4""","""true""",32.0,,40487806,1510270337.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2017-11-10 12:18:50.429001,110860.0,43824.0
2017-11-10 15:45:36.118733,slurm_normal,1510328744.0,0,,1.0,main_w4_handler1,3318049,17411533,False,,11473399,slurm,,132112168.0,corral-repl,52475,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,41889938,1510328739.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2017-11-10 15:45:46.530265,112972.0,5.0
