chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1_file,input1_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1_file.values,parameters.input1_file|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-03-02 13:21:55.577020,slurm_normal,1520006402.0,0,7680.0,1.0,main_w4_handler0,3443870,18580425,False,Job output deleted by user before job completed.,2506574022,fastqsanger.gz,12675106,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34164106}]","""forward""",32.0,,44185016.0,1519996977.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_splitter/fastq_paired_end_splitter/1.1.1,1.1.1,,2018-03-02 16:00:04.178003,122875.0,9425.0
,,2018-01-22 15:05:29.628166,slurm_normal,1516633579.0,0,,1.0,main_w3_handler0,3400777,18119456,False,,5597103,fastqsanger,12199144,slurm,,132112168.0,corral-repl,,"""ad3d072cff8511e7adb3005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38Patch11.len""","""hg38Patch11""","[{'src': 'hda', 'id': 33442404}]",,32.0,,,1516633573.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_splitter/fastq_paired_end_splitter/1.1.1,1.1.1,,2018-01-22 15:06:21.087951,99458.0,6.0
,,2018-02-05 11:54:13.083807,slurm_normal,1517831680.0,0,,1.0,main_w3_handler1,3417210,18257155,False,,30445664,fastqsanger,12338867,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33673306}]",,32.0,,43627884.0,1517831668.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_splitter/fastq_paired_end_splitter/1.1.1,1.1.1,,2018-02-05 11:54:42.157730,42087.0,12.0
,,2018-03-02 13:21:53.246912,slurm_normal,1520011177.0,0,7680.0,1.0,main_w4_handler1,3443870,18580421,False,Job output deleted by user before job completed.,3565685166,fastqsanger.gz,12675107,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34164091}]","""reverse""",32.0,,44185016.0,1519996977.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_splitter/fastq_paired_end_splitter/1.1.1,1.1.1,,2018-03-02 17:19:39.532331,122875.0,14200.0
,,2017-12-19 10:46:26.556511,slurm_normal,1513689584.0,0,,1.0,main_w4_handler0,3370285,17846750,False,Job output deleted by user before job completed.,2082829413,fastqsanger.gz,11921037,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33000361}]",,32.0,,42261475.0,1513680507.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_splitter/fastq_paired_end_splitter/1.1.1,1.1.1,,2017-12-19 13:19:45.933020,117259.0,9077.0
,,2017-10-09 14:14:26.301293,slurm_normal,1507579209.0,0,,1.0,main_w4_handler0,3280339,17055940,False,,18656091648,fastqsanger,11115209.roundup,slurm,,132112168.0,corral-repl,,"""26527a70acfc11e79f4a005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31611425}]",,32.0,,,1507574789.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_splitter/fastq_paired_end_splitter/1.1.1,1.1.1,,2017-10-09 20:00:11.086334,112600.0,4420.0
,,2018-01-22 10:42:42.208105,slurm_normal,1516617776.0,0,,1.0,main_w3_handler1,3397716,18117252,False,,5052700,fastqsanger,12196924,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38Patch11.len""","""hg38Patch11""","[{'src': 'hda', 'id': 33438547}]",,32.0,,43344675.0,1516617769.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_splitter/fastq_paired_end_splitter/1.1.1,1.1.1,,2018-01-22 10:42:58.571502,99458.0,7.0
,,2017-12-21 22:04:11.028804,slurm_normal,1513898939.0,0,,1.0,main_w4_handler1,3367135,17874985,False,,16826914237,fastqsanger.gz,11947969,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33042578}]",,32.0,,42681438.0,1513893863.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_splitter/fastq_paired_end_splitter/1.1.1,1.1.1,,2017-12-21 23:29:01.595828,118715.0,5076.0
,,2017-10-10 17:10:26.350925,slurm_normal,1507655434.0,0,,1.0,main_w4_handler1,3280430,17068439,False,,111893,fastqsanger,11125729.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31633110}]",,32.0,,41162118.0,1507655430.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_splitter/fastq_paired_end_splitter/1.1.1,1.1.1,,2017-10-10 17:10:34.985305,,4.0
,,2017-10-10 17:09:36.795072,slurm_normal,1507655383.0,0,,1.0,main_w4_handler0,3280430,17068431,False,,111893,fastqsanger,11125720.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31633110}]",,32.0,,41162118.0,1507655379.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_splitter/fastq_paired_end_splitter/1.1.1,1.1.1,,2017-10-10 17:09:44.857892,,4.0
,,2017-10-10 17:42:10.153765,slurm_normal,1507657338.0,0,,1.0,main_w3_handler1,3280430,17068757,False,,109616,fastqsanger,11126041.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31633765}]",,32.0,,41162118.0,1507657334.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_splitter/fastq_paired_end_splitter/1.1.1,1.1.1,,2017-10-10 17:42:24.777270,,4.0
,,2017-10-10 17:47:26.013661,slurm_normal,1507657657.0,0,,1.0,main_w4_handler1,3280430,17068809,False,,27946,fastqsanger,11126111.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31633853}]",,32.0,,41162118.0,1507657651.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_splitter/fastq_paired_end_splitter/1.1.1,1.1.1,,2017-10-10 17:47:44.863932,,6.0
,,2017-10-10 18:19:27.250412,slurm_normal,1507660146.0,0,,1.0,main_w4_handler0,3282119,17069081,False,,2180557128,fastqsanger,11126508.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31634249}]",,32.0,,41195675.0,1507659570.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_splitter/fastq_paired_end_splitter/1.1.1,1.1.1,,2017-10-10 18:29:16.057902,66697.0,576.0
,,2017-10-10 16:05:32.896369,slurm_normal,1507677091.0,0,,1.0,main_w4_handler0,3281702,17067676,False,,29045204172,fastqsanger,11128455.roundup,slurm,,132112168.0,corral-repl,,"""d6355894add411e7b2a7005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31632201}]",,32.0,,,1507669335.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_splitter/fastq_paired_end_splitter/1.1.1,1.1.1,,2017-10-10 23:11:35.862793,112600.0,7756.0
,,2017-10-11 13:56:42.582860,slurm_normal,1507733161.0,0,,1.0,main_w4_handler1,3276849,17078295,False,,4554658236,fastqsanger,11134485.roundup,slurm,,132112168.0,corral-repl,,"""0040aa5aae8c11e7b8e3005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31650038}]",,32.0,,,1507732125.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_splitter/fastq_paired_end_splitter/1.1.1,1.1.1,,2017-10-11 14:46:04.637623,112600.0,1036.0
