create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_interval_repeat_0|input_intervals,input_interval_repeat_0|input_intervals_filetype,input_recal,input_recal_filetype,input_tranches,input_tranches_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.gatk_param_type.__current_case__,parameters.gatk_param_type.baq,parameters.gatk_param_type.baq_gap_open_penalty,parameters.gatk_param_type.default_base_qualities,parameters.gatk_param_type.disable_experimental_low_memory_sharding,parameters.gatk_param_type.downsampling_type.__current_case__,parameters.gatk_param_type.downsampling_type.downsampling_type_selector,parameters.gatk_param_type.gatk_param_type_selector,parameters.gatk_param_type.input_exclude_interval_repeat,parameters.gatk_param_type.input_interval_repeat,parameters.gatk_param_type.interval_merging,parameters.gatk_param_type.interval_set_rule,parameters.gatk_param_type.non_deterministic_random_seed,parameters.gatk_param_type.pedigree,parameters.gatk_param_type.pedigree_string_repeat,parameters.gatk_param_type.pedigree_validation_type,parameters.gatk_param_type.read_filter,parameters.gatk_param_type.read_group_black_list_repeat,parameters.gatk_param_type.use_original_qualities,parameters.gatk_param_type.validation_strictness,parameters.ignore_filters,parameters.mode,parameters.reference_source.__current_case__,parameters.reference_source.input_recal,parameters.reference_source.input_recal.values,parameters.reference_source.input_tranches,parameters.reference_source.input_tranches.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.reference_source.variants,parameters.ts_filter_level,processor_count,ref_file,ref_file_filetype,reference_source|variants_0|input_variants,reference_source|variants_0|input_variants_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,variants_0|input_variants,variants_0|input_variants_filetype,runtime
2015-07-28 12:00:12.628675,slurm_normal,1438084994.0,0,1.0,main_w1_handler0,2390338,10015630,False,,,,8546049,gatk_recal,582,gatk_tranche,4297649.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,[],"""SNP""",1,20593665.0,,20593666.0,,20574863.0,,history,"[{'__index__': 0, 'input_variants': 20590305}]","""99.0""",32.0,3199905909,fasta,,,,24351537,1438084841.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/variant_apply_recalibration/gatk_variant_apply_recalibration/0.0.4,0.0.4,,2015-07-28 12:03:54.160673,64864,45497643.0,vcf,153.0
2015-07-29 17:49:28.368113,slurm_normal,1438204025.0,0,1.0,main_w2_handler1,2393948,10027569,False,,,,8283209,gatk_recal,581,gatk_tranche,4310176.roundup,slurm,,132112168.0,corral-repl,,"""23b46a2c361a11e58345005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,[],"""SNP""",1,20616099.0,,20616100.0,,20606852.0,,history,"[{'__index__': 0, 'input_variants': 20616097}]","""99.0""",32.0,3199905909,fasta,,,,24378028,1438203871.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/variant_apply_recalibration/gatk_variant_apply_recalibration/0.0.4,0.0.4,,2015-07-29 21:07:09.584490,64864,44564677.0,vcf,154.0
2015-08-02 13:54:15.029147,slurm_normal,1438533880.0,0,1.0,main_w1_handler0,2396344,10050480,False,,,,6922719,gatk_recal,580,gatk_tranche,4330644.roundup,slurm,,132112168.0,corral-repl,,"""f2faca96391d11e59662005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,[],"""SNP""",1,20665655.0,,20665656.0,,20641652.0,,history,"[{'__index__': 0, 'input_variants': 20665653}]","""99.0""",32.0,3199905909,fasta,,,,24425709,1438533708.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/variant_apply_recalibration/gatk_variant_apply_recalibration/0.0.4,0.0.4,,2015-08-02 16:44:42.412845,64864,36971439.0,vcf,172.0
2015-07-19 18:43:51.691862,slurm_normal,1437341688.0,0,1.0,main_w1_handler1,2381756,9908837,False,,,,35464,gatk_recal,543,gatk_tranche,4198448.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,[],"""SNP""",1,20422624.0,,20422625.0,,20422081.0,,history,"[{'__index__': 0, 'input_variants': 20422528}]","""99.0""",32.0,3157608038,fasta,,,,24148243,1437341569.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/variant_apply_recalibration/gatk_variant_apply_recalibration/0.0.4,0.0.4,,2015-07-19 21:34:50.446885,63364,271306.0,vcf,119.0
2015-07-19 23:36:27.423675,slurm_normal,1437349672.0,0,1.0,main_w1_handler2,2381756,9910670,False,,,,2739,gatk_recal,528,gatk_tranche,4199016.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,[],"""INDEL""",1,20425023.0,,20425024.0,,20422081.0,,history,"[{'__index__': 0, 'input_variants': 20424930}]","""99.0""",32.0,3157608038,fasta,,,,24148243,1437349576.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/variant_apply_recalibration/gatk_variant_apply_recalibration/0.0.4,0.0.4,,2015-07-19 23:47:58.142848,63364,25472.0,vcf,96.0
2015-07-20 01:49:04.040192,slurm_normal,1437357043.0,0,1.0,main_w1_handler1,2381756,9911513,False,,,,35464,gatk_recal,543,gatk_tranche,4199598.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,[],"""SNP""",1,20422624.0,,20422625.0,,20422081.0,,history,"[{'__index__': 0, 'input_variants': 20426337}]","""99.0""",32.0,3157608038,fasta,,,,24148243,1437356970.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/variant_apply_recalibration/gatk_variant_apply_recalibration/0.0.4,0.0.4,,2015-07-20 01:50:46.780575,63364,7170.0,vcf,73.0
2015-07-22 22:24:11.382131,slurm_normal,1437605202.0,0,1.0,main_w2_handler1,2385206,9947906,False,,,,44030,gatk_recal,544,gatk_tranche,4232991.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,[],"""SNP""",1,20487828.0,,20487829.0,,20475018.0,,history,"[{'__index__': 0, 'input_variants': 20487740}]","""99.0""",32.0,3157608038,fasta,,,,24148243,1437605071.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/variant_apply_recalibration/gatk_variant_apply_recalibration/0.0.4,0.0.4,,2015-07-22 22:46:45.330126,63364,331118.0,vcf,131.0
2015-07-22 23:47:34.744694,slurm_normal,1437609646.0,0,1.0,main_w1_handler2,2385206,9948365,False,,,,2780,gatk_recal,528,gatk_tranche,4233463.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,[],"""INDEL""",1,20488779.0,,20488780.0,,20475018.0,,history,"[{'__index__': 0, 'input_variants': 20488767}]","""99.0""",32.0,3157608038,fasta,,,,24148243,1437609516.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/variant_apply_recalibration/gatk_variant_apply_recalibration/0.0.4,0.0.4,,2015-07-23 00:00:48.622698,63364,27906.0,vcf,130.0
2015-07-23 00:47:21.544679,slurm_normal,1437630490.0,0,1.0,main_w2_handler1,2386171,9948739,False,,,,2780,gatk_recal,528,gatk_tranche,4235256.roundup,slurm,,132112168.0,corral-repl,,"""420d8cc430d411e5b907005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,[],"""INDEL""",1,20489283.0,,20489284.0,,20475018.0,,history,"[{'__index__': 0, 'input_variants': 20489276}]","""99.0""",32.0,3157608038,fasta,,,,24148243,1437630366.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/variant_apply_recalibration/gatk_variant_apply_recalibration/0.0.4,0.0.4,,2015-07-23 05:48:13.066299,63364,27906.0,vcf,124.0
2015-07-23 00:47:19.660515,slurm_normal,1437629839.0,0,1.0,main_w1_handler0,2386171,9948738,False,,,,44030,gatk_recal,544,gatk_tranche,4235214.roundup,slurm,,132112168.0,corral-repl,,"""420d8cc430d411e5b907005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,[],"""SNP""",1,20489278.0,,20489279.0,,20475018.0,,history,"[{'__index__': 0, 'input_variants': 20489274}]","""99.0""",32.0,3157608038,fasta,,,,24148243,1437629773.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/variant_apply_recalibration/gatk_variant_apply_recalibration/0.0.4,0.0.4,,2015-07-23 05:37:24.133245,63364,331118.0,vcf,66.0
