create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.hardmask,parameters.infile,parameters.infile.values,parameters.infile|__identifier__,parameters.qmask,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-09-03 20:47:20.915467,slurm_normal,1504552121.0,0.0,,1.0,main_w4_handler1,3241195.0,16726345.0,False,15062787.0,fastqsanger,,10800931.roundup,slurm,,132112168.0,corral-repl,,"""4d6f021c90e711e7ac58005056ba2773""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""",,"[{'src': 'hda', 'id': 31094810}]","""b45daaa3f09ccc023adda55ec74893aa_unmapped.bam""","""dust""",32.0,,,1504552115.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_masking/1.9.7.0,1.9.7.0,,2017-09-04 19:26:48.555347,79386.0,6.0
2017-09-03 20:47:51.363054,slurm_normal,1504578052.0,0.0,,1.0,main_w4_handler1,3241195.0,16726411.0,False,17949491.0,fastqsanger,,10802827.roundup,slurm,,132112168.0,corral-repl,,"""4d6f021c90e711e7ac58005056ba2773""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""",,"[{'src': 'hda', 'id': 31094875}]","""27e1f711d1faa761c224510de47b429a_unmapped.bam""","""dust""",32.0,,,1504578043.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_masking/1.9.7.0,1.9.7.0,,2017-09-05 02:41:13.281856,79386.0,9.0
2017-09-03 20:47:58.795305,slurm_normal,1504572037.0,0.0,,1.0,main_w4_handler1,3241195.0,16726422.0,False,19518271.0,fastqsanger,,10802162.roundup,slurm,,132112168.0,corral-repl,,"""4d6f021c90e711e7ac58005056ba2773""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""",,"[{'src': 'hda', 'id': 31094886}]","""8eb07fe2ffe15aad197f0305f69bf485_unmapped.bam""","""dust""",32.0,,,1504572027.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_masking/1.9.7.0,1.9.7.0,,2017-09-05 00:59:28.336266,79386.0,10.0
2017-09-03 20:47:21.511364,slurm_normal,1504552860.0,0.0,,1.0,main_w3_handler0,3241195.0,16726347.0,False,26804105.0,fastqsanger,,10800971.roundup,slurm,,132112168.0,corral-repl,,"""4d6f021c90e711e7ac58005056ba2773""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""",,"[{'src': 'hda', 'id': 31094811}]","""b5c069f1a92f91f74f31f569f2487184_unmapped.bam""","""dust""",32.0,,,1504552850.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_masking/1.9.7.0,1.9.7.0,,2017-09-04 19:26:12.834178,79386.0,10.0
2017-09-07 00:39:17.119588,slurm_normal,1505196352.0,0.0,,1.0,main_w4_handler1,3244026.0,16755021.0,False,28197069.0,fastqsanger,,10860690.roundup,slurm,,132112168.0,corral-repl,,"""83d77cb4936011e7a5e8005056ba55fb""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""",,"[{'src': 'hda', 'id': 31135570}]","""e29bee49be2a361d0414b3d226f3e30f_unmapped.bam""","""dust""",32.0,,,1505196341.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_masking/1.9.7.0,1.9.7.0,,2017-09-12 06:28:09.587160,79386.0,11.0
2017-09-07 00:39:46.255858,slurm_normal,1505255089.0,0.0,,1.0,main_w4_handler0,3244026.0,16755081.0,False,44133726.0,fastqsanger,,10868228.roundup,slurm,,132112168.0,corral-repl,,"""83d77cb4936011e7a5e8005056ba55fb""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""",,"[{'src': 'hda', 'id': 31135630}]","""b05c2ab29f8034b1e9854c134506f2ab_unmapped.bam""","""dust""",32.0,,,1505255068.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_masking/1.9.7.0,1.9.7.0,,2017-09-12 22:37:07.461372,79386.0,21.0
2017-09-07 00:39:01.956328,slurm_normal,1505172251.0,0.0,,1.0,main_w4_handler1,3244026.0,16754991.0,False,16447093.0,fastqsanger,,10859190.roundup,slurm,,132112168.0,corral-repl,,"""83d77cb4936011e7a5e8005056ba55fb""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""",,"[{'src': 'hda', 'id': 31135542}]","""fdac6eb702b99c391c092e25c35ea594_unmapped.bam""","""dust""",32.0,,,1505172243.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_masking/1.9.7.0,1.9.7.0,,2017-09-11 23:37:28.280762,79386.0,8.0
2017-09-07 00:41:19.656875,slurm_normal,1505364490.0,0.0,,1.0,main_w3_handler0,3244026.0,16755266.0,False,9159673.0,fastqsanger,,10883904.roundup,slurm,,132112168.0,corral-repl,,"""83d77cb4936011e7a5e8005056ba55fb""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""",,"[{'src': 'hda', 'id': 31135829}]","""2b8cc5be54ac4ba96b9229dbb772a36c_unmapped.bam""","""dust""",32.0,,,1505364484.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_masking/1.9.7.0,1.9.7.0,,2017-09-14 04:59:27.977319,79386.0,6.0
2017-09-07 00:39:34.090092,slurm_normal,1505135281.0,0.0,,1.0,main_w4_handler0,3244026.0,16755058.0,False,7503377.0,fastqsanger,,10855335.roundup,slurm,,132112168.0,corral-repl,,"""83d77cb4936011e7a5e8005056ba55fb""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""",,"[{'src': 'hda', 'id': 31135607}]","""c17e09ba770c24147a900fc60c2e26e8_unmapped.bam""","""dust""",32.0,,,1505135274.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_masking/1.9.7.0,1.9.7.0,,2017-09-11 13:40:54.123326,79386.0,7.0
2017-09-07 00:40:24.962543,slurm_normal,1505332336.0,0.0,,1.0,main_w3_handler1,3244026.0,16755162.0,False,82799121.0,fastqsanger,,10878653.roundup,slurm,,132112168.0,corral-repl,,"""83d77cb4936011e7a5e8005056ba55fb""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""",,"[{'src': 'hda', 'id': 31135709}]","""85fc675501c8b64071e9d30e4bec5e03_unmapped.bam""","""dust""",32.0,,,1505332273.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_masking/1.9.7.0,1.9.7.0,,2017-09-13 20:00:52.113743,79386.0,63.0
