chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,file,file_filetype,file_list,file_list_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.adv.alignments,parameters.adv.clip,parameters.adv.matepairDist,parameters.adv.maxID,parameters.adv.minID,parameters.adv.minlen,parameters.adv.readfilter,parameters.adv.region,parameters.adv.skip_technical,parameters.adv.split,parameters.adv.spotgroups,parameters.chromInfo,parameters.dbkey,parameters.input.__current_case__,parameters.input.accession,parameters.input.file.values,parameters.input.file_list.values,parameters.input.input_select,parameters.outputformat,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-10-20 20:09:27.940098,slurm_normal,1476998579.0,3,,,,,1.0,main_w4_handler1,2814579,14134552,False,,8348778.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR2036396,,,accession_number,"""fastqsanger""",32.0,,32869444.0,1476994235.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-20 21:23:03.644367,89856.0,4344.0
,,2016-10-20 20:02:00.273641,slurm_normal,1476998531.0,3,,,,,1.0,main_w4_handler1,2844540,14134492,False,,8348729.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR2052337,,,accession_number,"""fastqsanger""",32.0,,33831549.0,1476993933.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-20 21:22:13.224675,89805.0,4598.0
,,2016-10-20 20:10:09.713694,slurm_normal,1476999523.0,0,,,,,1.0,main_w4_handler1,2829842,14134556,False,,8348782.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR2052341,,,accession_number,"""fastqsanger""",32.0,,33108172.0,1476994268.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-20 21:38:47.508114,90826.0,5255.0
,,2016-10-20 21:36:55.081010,slurm_normal,1476999669.0,0,,,,,1.0,main_w4_handler0,2739968,14134967,False,,8349184.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR191578,,,accession_number,"""fastqsanger""",32.0,,33257177.0,1476999454.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-20 21:41:12.637717,86153.0,215.0
,,2016-10-20 20:10:14.562074,slurm_normal,1476999784.0,3,,,,,1.0,main_w3_handler0,2814579,14134557,False,,8349014.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR2036398,,,accession_number,"""fastqsanger""",32.0,,32869444.0,1476997290.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-20 21:43:05.933957,89856.0,2494.0
,,2016-10-20 22:09:33.614838,slurm_normal,1477009736.0,0,,,,,1.0,main_w4_handler0,2862896,14135212,False,,8349634.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR408602,,,accession_number,"""fastqsanger""",32.0,,33835321.0,1477004905.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-21 00:29:00.298404,,4831.0
,,2016-10-20 19:39:20.278381,slurm_normal,1477012915.0,1,,,55.0,txt,1.0,main_w3_handler1,2844540,14134360,False,,8348605.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d1c1915af3053ed0'}]",file_list,"""fastqsanger""",32.0,,33491976.0,1476992409.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-21 01:59:16.526160,,20506.0
,,2016-10-20 20:09:53.518171,slurm_normal,1477015490.0,0,,,,,1.0,main_w4_handler1,2814579,14134555,False,,8348780.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR2036397,,,accession_number,"""fastqsanger""",32.0,,32869444.0,1476994265.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-21 02:04:53.598661,89856.0,21225.0
,,2016-10-20 23:41:28.366818,slurm_normal,1477018877.0,0,,,,,1.0,main_w4_handler1,2862967,14135620,False,,8349789.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR3179588,,,accession_number,"""fastqsanger""",32.0,,33600972.0,1477006921.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-21 03:01:25.009305,2855.0,11956.0
,,2016-10-20 20:08:38.383360,slurm_normal,1477020228.0,0,,,,,1.0,main_w3_handler0,2814579,14134546,False,,8348779.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR2036395,,,accession_number,"""fastqsanger""",32.0,,32869444.0,1476994240.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-21 03:23:51.932586,89856.0,25988.0
