chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.addition.__current_case__,parameters.addition.addition_select,parameters.addition.b,parameters.addition.l,parameters.addition.r,parameters.chromInfo,parameters.dbkey,parameters.genome.values,parameters.input.values,parameters.input|__identifier__,parameters.pct,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-06-20 21:58:34.358474,slurm_normal,1466459932.0,0,1.0,29445,bed,main_w1_handler0,2693274,13216565,False,,29445,bed,7401060.roundup,slurm,,132112168.0,corral-repl,,0,b,60,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b54d47a4568cc8ec98'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b54d47a4568cc8ec98'}]",,"""false""","""false""",32.0,,30016348,1466459929.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_flankbed/2.24.0,2.24.0,,2016-06-20 21:58:55.140879,288.0,3.0
,,2016-06-26 20:43:17.319745,slurm_normal,1466973832.0,0,1.0,1971,gg,main_w1_handler0,2750198,13263229,False,,79294876,bed,7451151.roundup,slurm,,132112168.0,corral-repl,,0,b,1000,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5978459ae1ea80b73'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d5af75d0ff17c718'}]",,"""false""","""false""",32.0,,31090361,1466973816.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_flankbed/2.24.0,2.24.0,,2016-06-26 20:43:54.472034,77870.0,16.0
,,2016-07-08 17:36:25.287160,slurm_normal,1467999427.0,0,1.0,16747,bed,main_w2_handler1,2134620,13363437,False,,16747,bed,7573300.roundup,slurm,,132112168.0,corral-repl,,0,b,100000,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b599f74f27bdceecef'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b599f74f27bdceecef'}]",,"""false""","""false""",32.0,,31349142,1467999423.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_flankbed/2.24.0,2.24.0,,2016-07-08 17:37:11.210323,51539.0,4.0
,,2016-07-09 14:54:33.828753,slurm_normal,1468076220.0,0,1.0,12583,bed,main_w2_handler1,2759380,13366825,False,,631953,bed,7577141.roundup,slurm,,132112168.0,corral-repl,,0,b,500,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ed0576bd09f2711a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b51126c9d5b7652335'}]","""corr_GSM1527024_hg38.bed""","""false""","""false""",32.0,,31313312,1468076214.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_flankbed/2.24.0,2.24.0,,2016-07-09 14:57:02.490007,,6.0
,,2016-07-09 14:54:46.118046,slurm_normal,1468076187.0,0,1.0,12583,bed,main_w2_handler0,2759380,13366837,False,,89211,bed,7577139.roundup,slurm,,132112168.0,corral-repl,,0,b,500,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ed0576bd09f2711a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b54274009bb0e069e0'}]","""corr_GSM353641_hg38.bed""","""false""","""false""",32.0,,31313312,1468076183.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_flankbed/2.24.0,2.24.0,,2016-07-09 14:56:30.302402,,4.0
,,2016-09-16 18:11:01.961110,slurm_normal,1474049525.0,0,1.0,584,gg,main_w3_handler0,2822426,13867931,False,,257450539,bed,8091267.roundup,slurm,,132112168.0,corral-repl,,0,b,15,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b3d46ab48c7bd167'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b558163ed664006425'}]",,"""false""","""false""",32.0,,32939202,1474049479.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_flankbed/2.24.0,2.24.0,,2016-09-16 18:12:07.401319,90109.0,46.0
,,2016-09-16 18:11:28.262341,slurm_normal,1474049526.0,0,1.0,584,gg,main_w4_handler0,2822426,13867934,False,,65335902,bed,8091272.roundup,slurm,,132112168.0,corral-repl,,0,b,15,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b3d46ab48c7bd167'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b550fde4eeebbc3c56'}]",,"""false""","""false""",32.0,,32939202,1474049504.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_flankbed/2.24.0,2.24.0,,2016-09-16 18:12:09.911881,90109.0,22.0
,,2016-09-16 18:10:24.480880,slurm_normal,1474049492.0,0,1.0,584,gg,main_w3_handler0,2822426,13867927,False,Job output deleted by user before job completed.,257450539,bed,8091261.roundup,slurm,,132112168.0,corral-repl,,0,b,2,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b3d46ab48c7bd167'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b558163ed664006425'}]",,"""true""","""false""",32.0,,32939202,1474049434.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_flankbed/2.24.0,2.24.0,,2016-09-16 18:11:34.727977,90109.0,58.0
,,2016-07-08 17:39:11.999398,slurm_normal,1467999596.0,0,1.0,16747,bed,main_w1_handler0,2134620,13363477,False,,16747,bed,7573328.roundup,slurm,,132112168.0,corral-repl,,1,lr,,100000,100000,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b599f74f27bdceecef'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b599f74f27bdceecef'}]",,"""false""","""false""",32.0,,31349142,1467999594.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_flankbed/2.24.0,2.24.0,,2016-07-08 17:40:01.544179,51539.0,2.0
,,2016-07-08 17:41:26.473487,slurm_normal,1467999717.0,0,1.0,257903,bed,main_w2_handler0,2134620,13363485,False,,257903,bed,7573342.roundup,slurm,,132112168.0,corral-repl,,1,lr,,100000,100000,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e9ba0d7b63e52a6f'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e9ba0d7b63e52a6f'}]",,"""false""","""false""",32.0,,31349142,1467999714.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_flankbed/2.24.0,2.24.0,,2016-07-08 17:41:59.598667,51539.0,3.0
