chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__current_case__,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-08-01 14:41:18.387428,slurm_normal,1470062900.0,0,,1.0,main_w1_handler0,2769889,13553048,False,,412412063,bam,7761903.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5da8e787e22827b07'}]",32.0,,31563938,1470062795.0,ok,1023996.0,CONVERTER_sam_to_bigwig_0,1.0.0,,2016-08-01 14:48:25.124288,48464.0,105.0
,,2016-08-01 14:41:54.110369,slurm_normal,1470063573.0,0,,1.0,main_w1_handler1,2769889,13553064,False,,860727821,bam,7761970.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5efcf30fc240450fd'}]",32.0,,31563938,1470063261.0,ok,1023996.0,CONVERTER_sam_to_bigwig_0,1.0.0,,2016-08-01 14:59:37.691466,48464.0,312.0
,,2016-08-01 14:42:20.351447,slurm_normal,1470064525.0,0,,1.0,main_w2_handler1,2769889,13553069,False,,1412767616,bam,7762054.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bbc694871cfc7e6d'}]",32.0,,31563938,1470063892.0,ok,1023996.0,CONVERTER_sam_to_bigwig_0,1.0.0,,2016-08-01 15:15:28.056635,48464.0,633.0
,,2016-10-20 21:05:07.871959,slurm_normal,1476997590.0,0,,1.0,main_w4_handler0,2854046,14134829,False,,25743954,bam,8349034.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b31e52423e38ee21'}]",32.0,,33830657,1476997517.0,ok,1023996.0,CONVERTER_sam_to_bigwig_0,1.0.0,,2016-10-20 21:06:32.656117,40000.0,73.0
,,2016-08-03 23:48:53.644274,slurm_normal,1470268257.0,0,,1.0,main_w1_handler0,2566191,13583974,False,,59796008,bam,7793224.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a9b28949d084bb9f'}]",32.0,,31946218,1470268225.0,ok,1023996.0,CONVERTER_sam_to_bigwig_0,1.0.0,,2016-08-03 23:51:00.434907,76857.0,32.0
,,2016-08-03 23:55:49.985395,slurm_normal,1470268736.0,0,,1.0,main_w2_handler0,2566191,13584014,False,,83312197,bam,7793277.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54e2186f42a5ee3d5'}]",32.0,,31946218,1470268677.0,ok,1023996.0,CONVERTER_sam_to_bigwig_0,1.0.0,,2016-08-03 23:58:57.283099,76857.0,59.0
,,2016-09-28 08:03:21.563613,slurm_normal,1475052887.0,0,,1.0,main_w3_handler0,2832719,13963095,False,,1547956557,bam,8182530.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d3ecfbb7701ab6f5'}]",32.0,,33241354,1475052127.0,ok,1023996.0,CONVERTER_sam_to_bigwig_0,1.0.0,,2016-09-28 08:54:52.349334,15710.0,760.0
,,2016-09-28 08:23:08.851177,slurm_normal,1475052984.0,0,,1.0,main_w4_handler0,2830418,13963162,False,,900157937,bam,8182544.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b8e22f2083dd58b7'}]",32.0,,33241354,1475052374.0,ok,1023996.0,CONVERTER_sam_to_bigwig_0,1.0.0,,2016-09-28 08:56:29.325699,15710.0,610.0
,,2016-09-28 08:03:36.985072,slurm_normal,1475053034.0,0,,1.0,main_w3_handler0,2832719,13963099,False,,2099693613,bam,8182526.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f10488d608a005cf'}]",32.0,,33241354,1475052073.0,ok,1023996.0,CONVERTER_sam_to_bigwig_0,1.0.0,,2016-09-28 08:57:18.112485,15710.0,961.0
,,2016-09-28 08:04:04.949312,slurm_normal,1475052374.0,0,,1.0,main_w4_handler0,2832719,13963103,False,,1251970653,bam,8182505.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58bdf94676fde23aa'}]",32.0,,33241354,1475051769.0,ok,1023996.0,CONVERTER_sam_to_bigwig_0,1.0.0,,2016-09-28 08:46:17.790140,15710.0,605.0
