create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.alternatives,parameters.chromInfo,parameters.dbkey,parameters.gapextend,parameters.gapopen,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.out_format1,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-15 04:11:31.270870,slurm_normal,1518667911.0,0.0,7680.0,1.0,main_w3_handler0,3410809,18392333,False,,350,fasta,350,fasta,12477282,slurm,,132112168.0,corral-repl,,"""1""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""4""","""16""",,"[{'src': 'hda', 'id': 33869075}]",,"[{'src': 'hda', 'id': 33869075}]","""markx0""",32.0,,43555931,1518667908.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: matcher52/5.0.0,5.0.0,,2018-02-15 04:11:54.709598,120947.0,3.0
2018-02-15 18:50:10.562415,slurm_normal,1518720675.0,0.0,7680.0,1.0,main_w4_handler1,3429921,18401338,False,,33623152,fasta,33623152,fasta,12487231,slurm,,132112168.0,corral-repl,,"""1""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""4""","""16""",,"[{'src': 'hda', 'id': 33882917}]",,"[{'src': 'hda', 'id': 33882820}]","""markx0""",32.0,,43932217,1518720672.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: matcher52/5.0.0,5.0.0,,2018-02-15 18:51:16.963396,,3.0
2018-02-20 15:38:56.354367,slurm_normal,1519141162.0,0.0,7680.0,1.0,main_w3_handler0,3436120,18448298,False,,60494,fasta,60494,fasta,12543275,slurm,,132112168.0,corral-repl,,"""1""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""4""","""16""",,"[{'src': 'hda', 'id': 33959808}]",,"[{'src': 'hda', 'id': 33959808}]","""markx0""",32.0,,44035461,1519141155.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: matcher52/5.0.0,5.0.0,,2018-02-20 15:39:23.821940,,7.0
2015-03-17 12:26:58.857245,rodeo_normal,1426595234.0,0.0,,1.0,main_w2_handler1,2235262,8965915,False,,2039145,fasta,924,fasta,3199613.roundup,slurm,,132112168.0,corral-repl,,"""1""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""4""","""16""",18881944,,18881942,,"""markx0""",32.0,,21746725,1426595230.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: matcher52/5.0.0,5.0.0,,2015-03-17 12:27:16.648987,,4.0
2015-03-24 10:40:28.564910,rodeo_normal,1427193643.0,0.0,,1.0,main_w2_handler1,2247063,9022319,False,,120,fasta,124,fasta,3305745.roundup,slurm,,132112168.0,corral-repl,,"""1""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""4""","""16""",18972896,,18972897,,"""markx0""",32.0,,21836086,1427193640.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: matcher52/5.0.0,5.0.0,,2015-03-24 10:40:46.848659,,3.0
2015-03-24 10:38:35.406704,rodeo_normal,1427193535.0,0.0,,1.0,main_w2_handler0,2247063,9022313,False,,120,fasta,124,fasta,3305741.roundup,slurm,,132112168.0,corral-repl,,"""1""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""4""","""16""",18972896,,18972897,,"""markx0""",32.0,,21836086,1427193532.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: matcher52/5.0.0,5.0.0,,2015-03-24 10:38:59.846521,,3.0
2015-04-06 20:31:23.459106,slurm_normal,1428352296.0,0.0,,1.0,main_w2_handler1,2261325,9152265,False,,1660,fasta,130186,fasta,3434975.roundup,slurm,,132112168.0,corral-repl,,"""1""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""4""","""16""",19163930,,19163768,,"""markx0""",32.0,,22276338,1428352292.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: matcher52/5.0.0,5.0.0,,2015-04-06 20:31:40.630289,39896.0,4.0
2015-08-02 02:03:06.793835,slurm_normal,1438481043.0,0.0,,1.0,main_w1_handler2,2398396,10049093,False,,27903,fasta,928,fasta,4329089.roundup,slurm,,132112168.0,corral-repl,,"""1""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""4""","""16""",20662444,,20662442,,"""markx0""",32.0,,23939325,1438481007.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: matcher52/5.0.0,5.0.0,,2015-08-02 02:04:07.897147,,36.0
2015-08-18 03:11:32.035242,slurm_normal,1439867518.0,0.0,,1.0,main_w1_handler0,2411199,10138447,False,,809,fasta,824,fasta,4409431.roundup,slurm,,132112168.0,corral-repl,,"""1""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""4""","""16""",20807456,,20807457,,"""markx0""",32.0,,24695213,1439867513.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: matcher52/5.0.0,5.0.0,,2015-08-18 03:12:00.438683,65190.0,5.0
2015-10-16 06:23:32.173361,slurm_normal,1444976641.0,0.0,,1.0,main_w1_handler0,2473716,10591356,False,,3364778,fasta,3001046,fasta,4862277.roundup,slurm,,132112168.0,corral-repl,,"""1""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""4""","""16""",21550044,,21550045,,"""fasta""",32.0,,25719001,1444976635.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: matcher52/5.0.0,5.0.0,,2015-10-16 06:24:05.234909,,6.0
2016-02-02 15:21:18.144127,slurm_normal,1454426879.0,0.0,,1.0,main_w1_handler1,2586260,11681876,False,,143054,fasta,96745,fasta,5935747.roundup,slurm,,132112168.0,corral-repl,,"""1""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""4""","""16""",23143458,,23143457,,"""markx0""",32.0,,26724650,1454426495.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: matcher52/5.0.0,5.0.0,,2016-02-02 15:28:06.460256,67110.0,384.0
2016-02-02 15:43:18.120857,slurm_normal,1454428226.0,0.0,,1.0,main_w1_handler0,2586260,11682075,False,,143054,fasta,96745,fasta,5936140.roundup,slurm,,132112168.0,corral-repl,,"""1""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""4""","""16""",23143458,,23143457,,"""markx2""",32.0,,26724650,1454427839.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: matcher52/5.0.0,5.0.0,,2016-02-02 15:50:34.308733,67110.0,387.0
2016-02-05 21:56:29.062404,slurm_normal,1454709423.0,0.0,,1.0,main_w2_handler0,2107480,11726638,False,,1190261,fasta,36437451,fasta,5983169.roundup,slurm,,132112168.0,corral-repl,,"""1""","""/galaxy-repl/localdata/chrom/Tb927_V8.1.len""","""Tb927_V8.1""","""4""","""16""",18899643,,17919810,,"""markx0""",32.0,,26276007,1454709417.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: matcher52/5.0.0,5.0.0,,2016-02-05 21:57:06.782262,55442.0,6.0
2016-09-08 08:35:46.750624,slurm_normal,1473323766.0,0.0,,1.0,main_w3_handler1,2813126,13804188,False,,6597349685,fasta,1352199,fasta,8024704.roundup,slurm,,132112168.0,corral-repl,,"""1""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""5""","""20""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b556e47e2efdc67c75'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e2f60e6ceb25a7b8'}]","""markx0""",32.0,,32835125,1473323761.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: matcher52/5.0.0,5.0.0,,2016-09-08 08:36:09.204985,53323.0,5.0
2016-02-08 20:46:54.405914,slurm_normal,1454964445.0,0.0,,1.0,main_w2_handler0,2586782,11753012,False,,461,fasta,456,fasta,6008717.roundup,slurm,,132112168.0,corral-repl,,"""1""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""4""","""16""",23241781,,23241844,,"""markx0""",32.0,,28072838,1454964441.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: matcher52/5.0.0,5.0.0,,2016-02-08 20:47:34.813824,77955.0,4.0
2016-10-14 11:45:49.508426,slurm_normal,1476445578.0,0.0,,1.0,main_w4_handler0,2830486,14081379,False,,338,fasta,345,fasta,8297806.roundup,slurm,,132112168.0,corral-repl,,"""1""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""4""","""16""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55cbe16015be92b87'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51ee3abbad5fd5edc'}]","""markx0""",32.0,,33683965,1476445575.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: matcher52/5.0.0,5.0.0,,2016-10-14 11:46:20.970558,90317.0,3.0
2016-10-14 11:55:34.516234,slurm_normal,1476446159.0,0.0,,1.0,main_w4_handler1,2830486,14081446,False,,338,fasta,345,fasta,8297880.roundup,slurm,,132112168.0,corral-repl,,"""1""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""","""10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55cbe16015be92b87'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51ee3abbad5fd5edc'}]","""markx0""",32.0,,33683965,1476446156.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: matcher52/5.0.0,5.0.0,,2016-10-14 11:56:01.623271,90317.0,3.0
2016-10-14 12:32:09.114577,slurm_normal,1476448373.0,0.0,,1.0,main_w3_handler1,2830486,14081671,False,,124,fasta,121,fasta,8298065.roundup,slurm,,132112168.0,corral-repl,,"""1""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""42""","""10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5da8a0e56c24d7a22'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56d65888790a80164'}]","""markx0""",32.0,,33683965,1476448368.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: matcher52/5.0.0,5.0.0,,2016-10-14 12:32:53.885926,90317.0,5.0
