chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.complement,parameters.count,parameters.dbkey,parameters.infile,parameters.infile.values,parameters.infile|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-04-26 16:14:02.836994,slurm_normal,1461687262.0,0,,1.0,main_w2_handler1,2685073,12624998,False,3480042637,fastq,,6828358.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""""","""1000""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b16c77ac07c7de4d'}]",,32.0,,29835677.0,1461687258.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-26 16:14:27.410128,55351.0,4.0
,,2016-03-10 13:31:54.907209,slurm_normal,1457616736.0,0,,1.0,main_w2_handler1,2628799,12095456,False,151411,tabular,,6319840.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""""","""5""","""hg38""",23778526,,,32.0,,28919069.0,1457616733.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-03-10 13:32:19.792177,80361.0,3.0
,,2016-03-10 13:53:22.096945,slurm_normal,1457618198.0,0,,1.0,main_w1_handler1,2628851,12095657,False,28428,tabular,,6320059.roundup,slurm,,132112168.0,corral-repl,,"""7234f3dee6c711e586a3005056a52a46""","""/galaxy-repl/localdata/chrom/hg38.len""","""""","""5""","""hg38""",23778950,,,32.0,,28919073.0,1457618193.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-03-10 13:56:40.081459,80362.0,5.0
,,2016-03-10 13:29:40.364416,slurm_normal,1457616608.0,0,,1.0,main_w2_handler0,2628800,12095437,False,165317,tabular,,6319825.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""""","""5""","""hg38""",23778528,,,32.0,,28919073.0,1457616603.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-03-10 13:30:10.530391,80362.0,5.0
,,2016-03-10 14:07:43.280239,slurm_normal,1457618992.0,0,,1.0,main_w2_handler1,2628884,12095825,False,12333,tabular,,6320212.roundup,slurm,,132112168.0,corral-repl,,"""7410794ce6c911e58c03005056a51846""","""/galaxy-repl/localdata/chrom/hg38.len""","""""","""20""","""hg38""",23779166,,,32.0,,28919069.0,1457618987.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-03-10 14:09:55.231323,80361.0,5.0
,,2016-10-12 09:33:12.609490,slurm_normal,1476264799.0,0,,1.0,main_w3_handler1,2851890,14062448,False,150609,tabular,,8279082.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""""","""5""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51a94505b72196efa'}]",,32.0,,33624045.0,1476264795.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-10-12 09:33:24.544784,,4.0
,,2016-04-27 00:35:57.824145,slurm_normal,1461717374.0,0,,1.0,main_w1_handler0,2685759,12635959,False,151411,tabular,,6836403.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""""","""5""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55a91eb5b274cfcc5'}]",,32.0,,29854755.0,1461717371.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-27 00:36:16.654414,83368.0,3.0
,,2016-04-27 00:57:18.964262,slurm_normal,1461719638.0,0,,1.0,main_w1_handler1,2685835,12636244,False,1223218,tabular,,6837348.roundup,slurm,,132112168.0,corral-repl,,"""fc255be00c1211e6a4f5005056a52a46""","""/galaxy-repl/localdata/chrom/hg38.len""","""""","""20""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dab3ac7726ffc328'}]",,32.0,,29854755.0,1461719633.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-27 01:14:00.140391,83368.0,5.0
,,2016-04-27 00:55:47.265597,slurm_normal,1461718569.0,0,,1.0,main_w1_handler1,2685618,12636213,False,710788107,bedgraph,,6836955.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""""","""1000000""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f888c13c114b2ea8'}]",,32.0,,29851072.0,1461718563.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-27 00:56:14.224506,,6.0
,,2016-10-12 09:35:41.095076,slurm_normal,1476264951.0,0,,1.0,main_w4_handler1,2851906,14062548,False,148755,tabular,,8279159.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""""","""10""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a3d6d0ffa2fd85ca'}]",,32.0,,33624089.0,1476264946.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-10-12 09:35:53.721856,92079.0,5.0
