count,count_filetype,create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,name,name_filetype,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.count.values,parameters.count|__identifier__,parameters.dbkey,parameters.fasta.values,parameters.fasta|__identifier__,parameters.name.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
1423667.0,mothur.count_table,2017-10-06 10:51:46.492892,slurm_normal,1507287691.0,0,221283382,mothur.align,,1.0,main_w3_handler0,3277547,17038415,False,,11095570.roundup,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31581794}]",,"""?""","[{'src': 'hda', 'id': 31581804}]",,,32.0,,39823809.0,1507287680.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_summary_seqs/mothur_summary_seqs/1.36.1.0,1.36.1.0,,2017-10-06 11:01:36.748902,29532.0,11.0
1948196.0,mothur.count_table,2018-03-02 05:04:03.419600,slurm_normal,1519967166.0,0,3416164489,mothur.align,7680.0,1.0,main_w4_handler0,3447749,18576399,False,,12670677,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 34162855}]",,"""?""","[{'src': 'hda', 'id': 34162890}]",,,32.0,,44116570.0,1519967053.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_summary_seqs/mothur_summary_seqs/1.36.1.0,1.36.1.0,,2018-03-02 05:06:09.194647,122045.0,113.0
883601.0,mothur.count_table,2018-03-02 05:13:41.608359,slurm_normal,1519967676.0,0,1549573424,mothur.align,7680.0,1.0,main_w4_handler0,3447749,18576471,False,,12670740,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 34163104}]",,"""?""","[{'src': 'hda', 'id': 34163102}]",,,32.0,,44116570.0,1519967629.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_summary_seqs/mothur_summary_seqs/1.36.1.0,1.36.1.0,,2018-03-02 05:14:38.696869,122045.0,47.0
,,2018-03-02 04:39:34.726073,slurm_normal,1519965598.0,0,46856912,fasta,7680.0,1.0,main_w3_handler0,3447749,18576261,False,,12670536,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",,,"""?""","[{'src': 'hda', 'id': 34162732}]",,,32.0,,44116570.0,1519965587.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_summary_seqs/mothur_summary_seqs/1.36.1.0,1.36.1.0,,2018-03-02 04:40:00.029164,122045.0,11.0
,,2017-12-15 17:50:04.775462,slurm_normal,1513360342.0,0,45758248,fasta,,1.0,main_w4_handler0,3268793,17820796,False,,11889525,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",,,"""?""","[{'src': 'hda', 'id': 32953102}]",,,32.0,,42683667.0,1513360332.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_summary_seqs/mothur_summary_seqs/1.36.1.0,1.36.1.0,,2017-12-15 17:52:24.069594,52013.0,10.0
,,2017-10-03 04:42:48.315128,slurm_normal,1507005801.0,0,29037076,fasta,,1.0,main_w4_handler0,3271892,17000505,False,,11061443.roundup,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",,,"""?""","[{'src': 'hda', 'id': 31497560}]",,,32.0,,40978701.0,1507005794.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_summary_seqs/mothur_summary_seqs/1.36.1.0,1.36.1.0,,2017-10-03 04:43:31.044099,112551.0,7.0
,,2017-12-17 08:45:18.298975,slurm_normal,1513500337.0,0,45758248,fasta,,1.0,main_w3_handler1,3368213,17828482,False,,11901979,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",,,"""?""","[{'src': 'hda', 'id': 32969487}]",,,32.0,,42702488.0,1513500329.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_summary_seqs/mothur_summary_seqs/1.36.1.0,1.36.1.0,,2017-12-17 08:45:40.111007,97420.0,8.0
530996813.0,mothur.count_table,2017-10-09 06:46:07.052935,slurm_normal,1507531853.0,0,1396229657,fasta,,1.0,main_w3_handler0,3235019,17053656,False,,11110624.roundup,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31607334}]",,"""?""","[{'src': 'hda', 'id': 31607221}]",,,32.0,,41153493.0,1507531753.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_summary_seqs/mothur_summary_seqs/1.36.1.0,1.36.1.0,,2017-10-09 06:51:03.046258,72172.0,100.0
,,2017-10-05 02:40:03.282567,slurm_normal,1507171223.0,0,45758248,fasta,,1.0,main_w3_handler0,3268793,17028074,False,,11084207.roundup,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",,,"""?""","[{'src': 'hda', 'id': 31565127}]",,,32.0,,40817377.0,1507171214.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_summary_seqs/mothur_summary_seqs/1.36.1.0,1.36.1.0,,2017-10-05 02:40:31.461066,52013.0,9.0
229292.0,mothur.count_table,2017-12-18 19:50:47.731165,reserved_normal,1513626664.0,0,1110368,fasta,,1.0,main_w4_handler1,3280912,17841198,False,,11915466.roundup,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 32992706}]",,"""?""","[{'src': 'hda', 'id': 32992705}]",,,32.0,,42691248.0,1513626659.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_summary_seqs/mothur_summary_seqs/1.36.1.0,1.36.1.0,,2017-12-18 19:51:07.571997,5254.0,5.0
