chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.gap,parameters.input1,parameters.input1.values,parameters.match,parameters.maxrepeat,parameters.mismatch,parameters.threshold,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-06-14 19:53:56.139517,slurm_normal,1465934085.0,0.0,1.0,main_w2_handler1,2738568,13163115,False,,5526769,fasta,7347126.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f228176a98554a2d'}]","""3""","""2000""","""-4""","""50""",32.0,,30828883,1465934048.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2016-06-14 19:54:52.810602,78661.0,37.0
,,2016-06-14 19:56:38.574563,slurm_normal,1465934250.0,0.0,1.0,main_w2_handler1,2738568,13163134,False,,5526769,fasta,7347150.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f228176a98554a2d'}]","""3""","""2000""","""-4""","""100""",32.0,,30828883,1465934213.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2016-06-14 19:57:36.477631,78661.0,37.0
,,2016-06-14 20:10:12.607004,slurm_normal,1465935027.0,0.0,1.0,main_w2_handler0,2738568,13163230,False,,5526769,fasta,7347254.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f228176a98554a2d'}]","""3""","""150""","""-4""","""50""",32.0,,30828883,1465935020.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2016-06-14 20:10:30.361606,78661.0,7.0
,,2016-09-04 03:51:39.228008,slurm_normal,1472961119.0,0.0,1.0,main_w4_handler1,2796298,13777300,False,,630417,fasta,7998909.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b146a654ee7981c8'}]","""3""","""2000""","""-4""","""50""",32.0,,32367503,1472961109.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2016-09-04 03:52:01.549627,88711.0,10.0
,,2016-09-06 05:07:34.792337,slurm_normal,1473138629.0,0.0,1.0,main_w4_handler0,2796298,13785261,False,,24261216,fasta,8006848.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""12""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b509b21c80a778637c'}]","""3""","""2000""","""-4""","""50""",32.0,,32367503,1473138469.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2016-09-06 05:10:31.024362,88711.0,160.0
,,2017-03-20 19:41:55.207617,slurm_normal,1490051852.0,0.0,1.0,main_w3_handler1,2998379,15346981,False,,14714,fasta,9487999.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 28847240}]","""3""","""14000""","""-4""","""50""",32.0,,36087294,1490051845.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2017-03-20 23:17:37.198879,,7.0
,,2016-11-16 21:52:27.800005,slurm_normal,1479333172.0,0.0,1.0,main_w4_handler0,2806430,14360528,False,,2328968,fasta,8566422.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b500989ee6360fd536'}]","""3""","""2000""","""-4""","""50""",32.0,,32668600,1479333150.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2016-11-16 21:52:53.347968,,22.0
,,2016-11-17 08:23:13.451371,slurm_normal,1479371000.0,0.0,1.0,main_w3_handler0,439835,14363695,False,,1397,fasta,8569676.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b508fa30f3d813dbf6'}]","""3""","""2000""","""-4""","""50""",32.0,,32838140,1479370996.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2016-11-17 08:23:23.280558,7139.0,4.0
,,2016-11-17 08:24:39.602717,slurm_normal,1479371091.0,0.0,1.0,main_w3_handler1,439835,14363706,False,,1397,fasta,8569684.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""8""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b508fa30f3d813dbf6'}]","""3""","""20000""","""-4""","""50""",32.0,,32838140,1479371082.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2016-11-17 08:24:52.270180,7139.0,9.0
,,2017-03-23 15:35:45.338761,slurm_normal,1490283357.0,0.0,1.0,main_w4_handler0,3042864,15376906,False,,353,fasta,9514884.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 28895500}]","""3""","""2000""","""-4""","""50""",32.0,,36812531,1490283349.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2017-03-23 15:35:59.669885,,8.0
14.0,len,2014-09-19 16:49:55.726988,roundup_single,1411145431.0,0.0,1.0,main_w1_handler0,2051529,7818895,False,,155555,fasta,1803459,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/main/files/009/223/dataset_9223144.dat""","""?""","""12""",16936595,,"""3""","""28000""","""-4""","""50""",32.0,,17000981,1411145400.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2014-09-19 16:50:31.856168,52881.0,31.0
,,2014-09-26 16:32:03.895689,roundup_single,1411749140.0,0.0,1.0,main_w2_handler0,2064608,7870031,False,,412270,fasta,1849814,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""12""",17041173,,"""3""","""2000""","""-4""","""50""",32.0,,15584133,1411749134.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2014-09-26 16:32:22.623018,50714.0,6.0
,,2017-02-18 07:23:50.879239,slurm_normal,1487532231.0,0.0,1.0,main_w4_handler1,3000680,15073002,False,,630615,fasta,9235733.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 28407945}]","""3""","""2000""","""-4""","""50""",32.0,,36135907,1487532222.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2017-02-19 19:23:52.786119,,9.0
,,2014-11-10 21:57:20.373094,rodeo_normal,1415656718.0,0.0,1.0,main_w1_handler0,1908687,8138724,False,,278541,fasta,1976818.roundup,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""12""",17484839,,"""3""","""2000""","""-4""","""50""",32.0,,17192791,1415656650.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2014-11-10 21:58:41.511403,11898.0,68.0
,,2014-10-15 16:15:28.176018,rodeo_normal,1413389750.0,0.0,1.0,main_w1_handler1,2086663,7986935,False,,86619,fasta,27036.rodeo,slurm,,16332532.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""12""",17239135,,"""3""","""2000""","""-4""","""50""",2.0,,17624559,1413389735.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2014-10-15 16:15:52.114514,,15.0
,,2014-11-12 19:02:25.529289,rodeo_normal,1415818963.0,0.0,1.0,main_w2_handler0,2116367,8152154,False,,16228,Sequences,1994101.roundup,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""12""",17515926,,"""3""","""2000""","""-4""","""50""",32.0,,18498884,1415818958.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2014-11-12 19:02:44.496375,,5.0
,,2014-11-12 19:08:12.354431,rodeo_normal,1415819402.0,0.0,1.0,main_w2_handler0,2116367,8152233,False,,16228,Sequences,1994189.roundup,slurm,,132112068.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""12""",17515926,,"""3""","""2000""","""-4""","""50""",32.0,,18498884,1415819304.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2014-11-12 19:10:04.261493,,98.0
,,2014-11-13 12:34:57.756849,rodeo_normal,1415882128.0,0.0,1.0,main_w2_handler0,2117217,8158404,False,,2268652,fasta,2001747.roundup,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",17525224,,"""3""","""2000""","""-4""","""50""",32.0,,18523383,1415882104.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2014-11-13 12:35:30.456146,2289.0,24.0
,,2014-11-13 12:40:05.972291,rodeo_normal,1415882434.0,0.0,1.0,main_w1_handler0,2117217,8158423,False,,2268652,fasta,198049.rodeo,slurm,,8059880.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""20""",17525224,,"""3""","""2000""","""-5""","""50""",1.0,,18523383,1415882410.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2014-11-13 12:40:37.512874,2289.0,24.0
,,2014-11-13 12:44:35.459416,rodeo_normal,1415882702.0,0.0,1.0,main_w1_handler1,2117217,8158441,False,,2268652,fasta,198084.rodeo,slurm,,8059880.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""20""",17525224,,"""3""","""2000""","""-5""","""70""",1.0,,18523383,1415882679.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2014-11-13 12:45:05.119343,2289.0,23.0
,,2014-12-09 13:07:01.082422,rodeo_normal,1418130434.0,0.0,1.0,main_w1_handler1,2142661,8379797,False,,1334,fasta,511452.rodeo,slurm,,8059880.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""12""",17877676,,"""3""","""2000""","""-4""","""50""",1.0,,19785640,1418130432.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2014-12-09 13:07:18.214916,10514.0,2.0
