create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,inputA,inputA_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.add_bed.__current_case__,parameters.add_bed.add_bed_select,parameters.allow_beyond,parameters.bedpe,parameters.chrom,parameters.chromInfo,parameters.chromfirst,parameters.dbkey,parameters.genome_file_opts.__current_case__,parameters.genome_file_opts.genome,parameters.genome_file_opts.genome.values,parameters.genome_file_opts.genome_file_opts_selector,parameters.inputA.values,parameters.maxtries,parameters.no_overlap,parameters.seed.__current_case__,parameters.seed.seed_choose,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-03-02 15:38:51.629442,slurm_normal,1520005258.0,0,7680.0,1.0,,,main_w4_handler1,3438891,18582739,False,,2418488,bed,12677288,slurm,,132112168.0,corral-repl,,0,no,"""false""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""false""","""hg38""",0,hg19_rCRS_pUC18_phiX174,,loc,"[{'src': 'hda', 'id': 34167344}]","""1000""","""true""",1,False,32.0,,43954832,1520005250.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_shufflebed/2.27.0.0,2.27.0.0,,2018-03-02 15:41:08.832956,122118,8.0
2018-03-02 15:39:33.422076,slurm_normal,1520005284.0,0,7680.0,1.0,,,main_w4_handler0,3438891,18582747,False,,4293183,bed,12677311,slurm,,132112168.0,corral-repl,,0,no,"""false""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""false""","""hg38""",0,hg19_rCRS_pUC18_phiX174,,loc,"[{'src': 'hda', 'id': 34167345}]","""1000""","""true""",1,False,32.0,,43954832,1520005273.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_shufflebed/2.27.0.0,2.27.0.0,,2018-03-02 15:41:25.337907,122118,11.0
2018-03-02 15:38:32.072437,slurm_normal,1520005130.0,0,7680.0,1.0,,,main_w3_handler1,3438891,18582736,False,,4293183,bed,12677280,slurm,,132112168.0,corral-repl,,0,no,"""false""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""false""","""hg38""",0,hg19_rCRS_pUC18_phiX174,,loc,"[{'src': 'hda', 'id': 34167345}]","""1000""","""true""",1,False,32.0,,43954832,1520005121.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_shufflebed/2.27.0.0,2.27.0.0,,2018-03-02 15:38:53.101089,122118,9.0
2018-03-01 10:39:39.321767,slurm_normal,1519925829.0,0,7680.0,1.0,,,main_w4_handler0,3050777,18561901,False,,1071178,bed,12661392,slurm,,132112168.0,corral-repl,,0,no,"""false""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""true""","""hg38""",0,hg19_rCRS_pUC18_phiX174,,loc,"[{'src': 'hda', 'id': 34139151}]","""1000""","""true""",1,False,32.0,,44254243,1519925823.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_shufflebed/2.27.0.0,2.27.0.0,,2018-03-01 17:37:22.919508,98715,6.0
2018-03-05 12:37:45.249911,slurm_normal,1520253478.0,0,7680.0,1.0,,,main_w3_handler1,3443261,18609411,False,,512355,bed,12704799,slurm,,132112168.0,corral-repl,,0,no,"""false""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""false""","""hg38""",0,hg19_rCRS_pUC18_phiX174,,loc,"[{'src': 'hda', 'id': 34214560}]","""1000""","""true""",1,False,32.0,,44172620,1520253473.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_shufflebed/2.27.0.0,2.27.0.0,,2018-03-05 12:38:01.077869,122118,5.0
2018-03-05 12:46:27.984952,slurm_normal,1520254002.0,0,7680.0,1.0,,,main_w3_handler1,3443261,18609608,False,,1362070,bed,12704985,slurm,,132112168.0,corral-repl,,0,no,"""false""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""false""","""hg38""",0,hg19_rCRS_pUC18_phiX174,,loc,"[{'src': 'hda', 'id': 34214563}]","""1000""","""true""",1,False,32.0,,44172620,1520253996.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_shufflebed/2.27.0.0,2.27.0.0,,2018-03-05 12:46:44.022659,122118,6.0
2018-02-23 21:41:11.343575,slurm_normal,1519422371.0,0,7680.0,1.0,331.0,gg,main_w4_handler1,2654891,18502964,False,,834203,bed,12598641,slurm,,132112168.0,corral-repl,,0,no,"""false""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""false""","""mm9""",1,,"[{'src': 'hda', 'id': 25363000}]",hist,"[{'src': 'hda', 'id': 34041822}]","""1000""","""false""",1,False,32.0,,42333787,1519422365.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_shufflebed/2.27.0.0,2.27.0.0,,2018-02-23 21:46:14.685307,8309,6.0
2018-02-24 23:12:55.868475,slurm_normal,1519514009.0,0,7680.0,1.0,,,main_w4_handler0,3437284,18508860,False,,946399,bed,12605065,slurm,,132112168.0,corral-repl,,0,no,"""false""","""false""","""true""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""true""","""hg19""",0,hg19_rCRS_pUC18_phiX174,,loc,"[{'src': 'hda', 'id': 34046459}]","""1000""","""true""",1,False,32.0,,43861720,1519513982.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_shufflebed/2.27.0.0,2.27.0.0,,2018-02-24 23:13:30.681553,70484,27.0
2018-02-24 23:11:16.832232,slurm_normal,1519513893.0,0,7680.0,1.0,,,main_w4_handler1,3437284,18508855,False,,19718,bed,12605057,slurm,,132112168.0,corral-repl,,0,no,"""false""","""false""","""true""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""true""","""hg19""",0,hg19_rCRS_pUC18_phiX174,,loc,"[{'src': 'hda', 'id': 34046440}]","""1000""","""true""",1,False,32.0,,43861720,1519513886.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_shufflebed/2.27.0.0,2.27.0.0,,2018-02-24 23:11:34.530496,70484,7.0
2018-03-01 10:43:27.493358,slurm_normal,1519901021.0,0,7680.0,1.0,,,main_w3_handler1,3050777,18561921,False,,1071178,bed,12658738,slurm,,132112168.0,corral-repl,,0,no,"""false""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""true""","""hg38""",0,hg19_rCRS_pUC18_phiX174,,loc,"[{'src': 'hda', 'id': 34139151}]","""1000""","""true""",1,False,32.0,,44254243,1519901014.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_shufflebed/2.27.0.0,2.27.0.0,,2018-03-01 10:43:44.177842,98715,7.0
