bamfiles,bamfiles1,bamfiles10,bamfiles10_filetype,bamfiles11,bamfiles11_filetype,bamfiles12,bamfiles12_filetype,bamfiles13,bamfiles13_filetype,bamfiles14,bamfiles14_filetype,bamfiles15,bamfiles15_filetype,bamfiles16,bamfiles16_filetype,bamfiles17,bamfiles17_filetype,bamfiles18,bamfiles18_filetype,bamfiles19,bamfiles19_filetype,bamfiles1_filetype,bamfiles2,bamfiles20,bamfiles20_filetype,bamfiles21,bamfiles21_filetype,bamfiles22,bamfiles22_filetype,bamfiles23,bamfiles23_filetype,bamfiles24,bamfiles24_filetype,bamfiles25,bamfiles25_filetype,bamfiles26,bamfiles26_filetype,bamfiles27,bamfiles27_filetype,bamfiles28,bamfiles28_filetype,bamfiles29,bamfiles29_filetype,bamfiles2_filetype,bamfiles3,bamfiles30,bamfiles30_filetype,bamfiles31,bamfiles31_filetype,bamfiles32,bamfiles32_filetype,bamfiles33,bamfiles33_filetype,bamfiles34,bamfiles34_filetype,bamfiles35,bamfiles35_filetype,bamfiles36,bamfiles36_filetype,bamfiles3_filetype,bamfiles4,bamfiles4_filetype,bamfiles5,bamfiles5_filetype,bamfiles6,bamfiles6_filetype,bamfiles7,bamfiles7_filetype,bamfiles8,bamfiles8_filetype,bamfiles9,bamfiles9_filetype,bamfiles_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.centerReads,parameters.advancedOpt.doExtendCustom.__current_case__,parameters.advancedOpt.doExtendCustom.doExtend,parameters.advancedOpt.doExtendCustom.extendReadsValue,parameters.advancedOpt.ignoreDuplicates,parameters.advancedOpt.minMappingQuality,parameters.advancedOpt.numberOfSamples,parameters.advancedOpt.plotTitle,parameters.advancedOpt.region,parameters.advancedOpt.samFlagExclude,parameters.advancedOpt.samFlagInclude,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipZeros,parameters.bamfiles.values,parameters.chromInfo,parameters.dbkey,parameters.outFileFormat,parameters.outRawCounts,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
673008900,673008900.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,2016-06-17 14:16:12.754876,slurm_multi,1466176889.0,0,6.0,main_w1_handler2,2738610,13193204,False,,7378310,slurm,,132112168.0,corral-repl,,0,no,,"""0b0ad076349611e69c0f005056a51846""",0,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5044eb4409fc30110'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""png""","""false""",32.0,,30907016,1466176733.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.3.0,2.2.3.0,,2016-06-17 15:21:30.976326,86099,156.0
1140445128,1140445128.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,2016-06-17 14:15:08.707616,slurm_multi,1466173994.0,0,6.0,main_w2_handler2,2738610,13193178,False,,7378018,slurm,,132112168.0,corral-repl,,0,no,,"""e51a1930349511e68967005056a51846""",0,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b2497b8528eb7d83'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""png""","""false""",32.0,,30907016,1466173859.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.3.0,2.2.3.0,,2016-06-17 14:36:38.779832,86099,135.0
731677912,731677912.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,2016-06-17 14:17:19.699093,slurm_multi,1466178161.0,0,6.0,main_w2_handler2,2738610,13193235,False,,7378458,slurm,,132112168.0,corral-repl,,0,no,,"""31c187e6349611e6b4f4005056a51846""",0,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b585d33abb8ff9fbc4'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""png""","""false""",32.0,,30907016,1466178098.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.3.0,2.2.3.0,,2016-06-17 15:42:43.382039,86099,63.0
727265368,727265368.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,2016-06-17 14:15:25.044130,slurm_multi,1466173987.0,0,6.0,main_w1_handler2,2738610,13193183,False,,7378016,slurm,,132112168.0,corral-repl,,0,no,,"""ee909782349511e686f0005056a51846""",0,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52f9e5f87149f204e'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""png""","""false""",32.0,,30907016,1466173856.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.3.0,2.2.3.0,,2016-06-17 14:33:08.925534,86099,131.0
833939984,833939984.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,2016-06-17 14:15:36.822404,slurm_multi,1466174346.0,0,6.0,main_w2_handler2,2738610,13193188,False,,7378044,slurm,,132112168.0,corral-repl,,0,no,,"""f5f680a4349511e69736005056a51846""",0,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b98d827f436c8f00'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""png""","""false""",32.0,,30907016,1466174207.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.3.0,2.2.3.0,,2016-06-17 14:39:09.870723,86099,139.0
800912968,800912968.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,2016-06-17 14:16:24.231385,slurm_multi,1466175038.0,0,6.0,main_w2_handler2,2738610,13193209,False,,7378098,slurm,,132112168.0,corral-repl,,0,no,,"""120b978e349611e69a45005056a51846""",0,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b592a8acfdaa09e43f'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""png""","""false""",32.0,,30907016,1466174862.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.3.0,2.2.3.0,,2016-06-17 14:50:40.030232,86099,176.0
640466242,640466242.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,2016-06-17 14:16:47.423861,slurm_multi,1466177561.0,0,6.0,main_w2_handler2,2738610,13193221,False,,7378367,slurm,,132112168.0,corral-repl,,0,no,,"""1fe50a48349611e6a4f7005056a51846""",0,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5739efd4cec89c86e'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""png""","""false""",32.0,,30907016,1466177387.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.3.0,2.2.3.0,,2016-06-17 15:32:43.516912,86099,174.0
584590995,584590995.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,2016-06-17 14:15:47.750890,slurm_multi,1466175989.0,0,6.0,main_w1_handler2,2738610,13193193,False,,7378191,slurm,,132112168.0,corral-repl,,0,no,,"""fc0c3bb4349511e69a45005056a51846""",0,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cb7e3dc15d2655de'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""png""","""false""",32.0,,30907016,1466175858.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.3.0,2.2.3.0,,2016-06-17 15:09:20.344330,86099,131.0
755877008,755877008.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,2016-06-17 14:16:36.759021,slurm_multi,1466175787.0,0,6.0,main_w2_handler2,2738610,13193215,False,,7378164,slurm,,132112168.0,corral-repl,,0,no,,"""1888f5d4349611e6b9a3005056a51846""",0,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cfef408af4a8a28a'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""png""","""false""",32.0,,30907016,1466175596.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.3.0,2.2.3.0,,2016-06-17 15:03:08.476153,86099,191.0
1078666195,1078666195.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,2016-06-17 14:17:02.757807,slurm_multi,1466177797.0,0,6.0,main_w2_handler2,2738610,13193228,False,,7378397,slurm,,132112168.0,corral-repl,,0,no,,"""28d1a972349611e6a37f005056a51846""",0,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fad898d3297e2981'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""png""","""false""",32.0,,30907016,1466177568.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.3.0,2.2.3.0,,2016-06-17 15:36:41.268739,86099,229.0
