create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.X_axis,parameters.Y_axis,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.my_title,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-08-08 15:10:27.561202,slurm_normal,1439046657.0,0,1.0,main_w1_handler0,2404121,10083378,False,,2477,txt,4360296.roundup,slurm,,132112168.0,corral-repl,,"""Text for X axis""","""Text for Y axis""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20720542,,"""My Figure""",32.0,,24585369,1439046652.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/plot_from_lda/plot_for_lda_output1/1.0.1,1.0.1,,2015-08-08 15:11:00.349257,,5.0
2015-08-24 12:57:48.971688,slurm_normal,1440421088.0,0,1.0,main_w2_handler0,2406289,10188305,False,,2477,txt,4457503.roundup,slurm,,132112168.0,corral-repl,,"""Text for X axis""","""Text for Y axis""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20887348,,"""My Figure""",32.0,,24649651,1440421083.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/plot_from_lda/plot_for_lda_output1/1.0.1,1.0.1,,2015-08-24 12:58:09.617408,,5.0
2015-09-25 04:16:33.948571,slurm_normal,1443154614.0,0,1.0,main_w2_handler1,2449551,10417725,False,,5412,txt,4696727.roundup,slurm,,132112168.0,corral-repl,,"""Text for X axis""","""Text for Y axis""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21258671,,"""My Figure""",32.0,,25363212,1443154610.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/plot_from_lda/plot_for_lda_output1/1.0.1,1.0.1,,2015-09-25 04:16:56.783179,69922.0,4.0
2015-09-25 03:45:05.422163,slurm_normal,1443152732.0,0,1.0,main_w1_handler2,2449551,10417615,False,,5161,txt,4696577.roundup,slurm,,132112168.0,corral-repl,,"""Text for X axis""","""Text for Y axis""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21258519,,"""My Figure""",32.0,,25363212,1443152721.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/plot_from_lda/plot_for_lda_output1/1.0.1,1.0.1,,2015-09-25 03:45:34.359221,69922.0,11.0
2015-09-28 09:23:19.815113,slurm_normal,1443432219.0,0,1.0,main_w1_handler2,2450765,10448459,False,,9479,txt,4726239.roundup,slurm,,132112168.0,corral-repl,,"""Text for X axis""","""Text for Y axis""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21304882,,"""My Figure""",32.0,,25363717,1443432214.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/plot_from_lda/plot_for_lda_output1/1.0.1,1.0.1,,2015-09-28 09:23:42.365634,,5.0
2015-09-29 06:52:12.224156,slurm_normal,1443509555.0,0,1.0,main_w1_handler2,2450765,10456741,False,,7582,txt,4733915.roundup,slurm,,132112168.0,corral-repl,,"""Text for X axis""","""Text for Y axis""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21318676,,"""My Figure""",32.0,,25363717,1443509551.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/plot_from_lda/plot_for_lda_output1/1.0.1,1.0.1,,2015-09-29 06:52:39.597975,,4.0
2016-06-29 05:07:55.718389,slurm_normal,1467176917.0,0,1.0,main_w1_handler1,2407870,13284472,False,,6582,txt,7474146.roundup,slurm,,132112168.0,corral-repl,,"""Text for X axis""","""Text for Y axis""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5419c66a8dda6d626'}]","""My Figure""",32.0,,30048218,1467176911.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/plot_from_lda/plot_for_lda_output1/1.0.1,1.0.1,,2016-06-29 05:08:38.358349,67737.0,6.0
2014-09-23 02:44:56.253247,roundup_single,1411440312.0,0,1.0,main_w1_handler0,2062344,7833855,False,,8238,txt,1818331,slurm,,132112264.0,corral-repl,,"""Text for X axis""","""Text for Y axis""","""/galaxy-repl/localdata/chrom/?.len""","""?""",16983310,,"""My Figure""",32.0,,17142056,1411440309.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/plot_from_lda/plot_for_lda_output1/1.0.1,1.0.1,,2014-09-23 02:45:14.351818,,3.0
2014-09-23 02:41:07.254618,roundup_single,1411440080.0,0,1.0,main_w2_handler0,2062344,7833845,False,,8238,txt,1818318,slurm,,132112264.0,corral-repl,,"""Text for X axis""","""Text for Y axis""","""/galaxy-repl/localdata/chrom/?.len""","""?""",16983255,,"""My Figure""",32.0,,17142056,1411440078.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/plot_from_lda/plot_for_lda_output1/1.0.1,1.0.1,,2014-09-23 02:41:21.427374,,2.0
2014-09-23 02:38:00.599868,roundup_single,1411439891.0,0,1.0,main_w2_handler1,2062344,7833838,False,,8238,txt,1818310,slurm,,132112264.0,corral-repl,,"""Text for X axis""","""Text for Y axis""","""/galaxy-repl/localdata/chrom/?.len""","""?""",16983255,,"""My Figure""",32.0,,17142056,1411439889.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/plot_from_lda/plot_for_lda_output1/1.0.1,1.0.1,,2014-09-23 02:38:13.017724,,2.0
