bamfiles,bamfiles1,bamfiles10,bamfiles10_filetype,bamfiles11,bamfiles11_filetype,bamfiles12,bamfiles12_filetype,bamfiles13,bamfiles13_filetype,bamfiles14,bamfiles14_filetype,bamfiles15,bamfiles15_filetype,bamfiles16,bamfiles16_filetype,bamfiles17,bamfiles17_filetype,bamfiles18,bamfiles18_filetype,bamfiles19,bamfiles19_filetype,bamfiles1_filetype,bamfiles2,bamfiles20,bamfiles20_filetype,bamfiles21,bamfiles21_filetype,bamfiles22,bamfiles22_filetype,bamfiles23,bamfiles23_filetype,bamfiles24,bamfiles24_filetype,bamfiles25,bamfiles25_filetype,bamfiles26,bamfiles26_filetype,bamfiles27,bamfiles27_filetype,bamfiles28,bamfiles28_filetype,bamfiles29,bamfiles29_filetype,bamfiles2_filetype,bamfiles3,bamfiles30,bamfiles30_filetype,bamfiles31,bamfiles31_filetype,bamfiles32,bamfiles32_filetype,bamfiles33,bamfiles33_filetype,bamfiles34,bamfiles34_filetype,bamfiles35,bamfiles35_filetype,bamfiles36,bamfiles36_filetype,bamfiles37,bamfiles37_filetype,bamfiles38,bamfiles38_filetype,bamfiles39,bamfiles39_filetype,bamfiles3_filetype,bamfiles4,bamfiles40,bamfiles40_filetype,bamfiles41,bamfiles41_filetype,bamfiles42,bamfiles42_filetype,bamfiles43,bamfiles43_filetype,bamfiles44,bamfiles44_filetype,bamfiles45,bamfiles45_filetype,bamfiles46,bamfiles46_filetype,bamfiles47,bamfiles47_filetype,bamfiles48,bamfiles48_filetype,bamfiles4_filetype,bamfiles5,bamfiles5_filetype,bamfiles6,bamfiles6_filetype,bamfiles7,bamfiles7_filetype,bamfiles8,bamfiles8_filetype,bamfiles9,bamfiles9_filetype,bamfiles_filetype,blackListFileName,blackListFileName1,blackListFileName1_filetype,blackListFileName_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.blackListFileName.values,parameters.advancedOpt.centerReads,parameters.advancedOpt.doExtendCustom.__current_case__,parameters.advancedOpt.doExtendCustom.doExtend,parameters.advancedOpt.ignoreDuplicates,parameters.advancedOpt.maxFragmentLength,parameters.advancedOpt.minFragmentLength,parameters.advancedOpt.minMappingQuality,parameters.advancedOpt.numberOfSamples,parameters.advancedOpt.plotTitle,parameters.advancedOpt.region,parameters.advancedOpt.samFlagExclude,parameters.advancedOpt.samFlagInclude,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipZeros,parameters.bamfiles.values,parameters.chromInfo,parameters.dbkey,parameters.outFileFormat,parameters.outRawCounts,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
3893873681,3893873681,,,,,,,,,,,,,,,,,,,,,bam,3819601207.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,2016-11-02 09:20:40.958801,slurm_multi,1478088935.0,0,6.0,main_w4_handler2,2872937,14230993,False,,8441817,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55db3ee9bde086108'}, {'src': 'hda', 'id': 'bbd44e69cb8906b50f4b84693fbfeb9e'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""png""","""false""",32.0,,33504987.0,1478085994.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.3.6.0,2.3.6.0,,2016-11-02 12:15:37.747205,85530,2941.0
2755440647,2755440647,,,,,,,,,,,,,,,,,,,,,bam,2766158002.0,,,,,,,,,,,,,,,,,,,,,bam,2277880338.0,,,,,,,,,,,,,,,,,,,,,bam,2639864356.0,,,,,,,,,,,,,,,,,,,bam,2559761585.0,bam,2536685850.0,bam,,,,,,,bam,,,,,,,2016-11-02 20:48:39.709664,slurm_multi,1478123878.0,0,6.0,main_w3_handler2,2878131,14236563,False,,8445607,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e48fab428b8ddd12'}, {'src': 'hda', 'id': 'bbd44e69cb8906b54137153537ff03cb'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5b68a9d6e8c2f60c5'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5e44202855cb98aa2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5cc5d710f15498e9b'}, {'src': 'hda', 'id': 'bbd44e69cb8906b512190c34efb85cbc'}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""png""","""false""",32.0,,33981638.0,1478123202.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.3.6.0,2.3.6.0,,2016-11-02 21:58:00.943597,93325,676.0
344768044,344768044,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,2017-03-20 21:26:23.971055,slurm_multi,1490050206.0,0,6.0,main_w3_handler2,3036782,15347958,False,,9487433,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 28847182}]","""/galaxy-repl/main/files/019/270/dataset_19270750.dat""","""USA300""","""png""","""false""",32.0,,35691169.0,1490046200.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.3.6.0,2.3.6.0,,2017-03-20 22:50:07.787003,19450,4006.0
143048605,143048605,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,2017-03-20 21:26:29.522614,slurm_multi,1490052637.0,0,6.0,main_w4_handler2,3036782,15347959,False,,9487913,slurm,,132111800.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 28847185}]","""/galaxy-repl/main/files/019/270/dataset_19270750.dat""","""USA300""","""png""","""false""",32.0,,35691169.0,1490051044.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.3.6.0,2.3.6.0,,2017-03-20 23:30:39.792045,19450,1593.0
1097344,1097344,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,28.0,len,2016-11-04 10:04:30.441296,slurm_multi,1478263982.0,0,6.0,main_w3_handler2,2878234,14250170,False,,8460567,slurm,,132111800.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ec30fd471efd30f0'}]","""/galaxy-repl/main/files/017/722/dataset_17722451.dat""","""?""","""png""","""true""",32.0,,34083809.0,1478263927.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.3.6.0,2.3.6.0,,2016-11-04 12:53:08.418142,67979,55.0
8434210,8434210,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,2017-01-12 17:56:07.614981,slurm_multi,1484244100.0,0,6.0,main_w4_handler2,2953631,14751497,False,,8916108,slurm,,132111800.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 27900366}]","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""png""","""false""",32.0,,35302746.0,1484244023.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.3.6.0,2.3.6.0,,2017-01-12 18:01:42.462884,97899,77.0
126830651,126830651,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,2017-03-20 21:26:38.586052,slurm_multi,1490054718.0,0,6.0,main_w4_handler2,3036782,15347960,False,,9488098,slurm,,132111800.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 28847190}]","""/galaxy-repl/main/files/019/270/dataset_19270750.dat""","""USA300""","""png""","""false""",32.0,,35691169.0,1490053211.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.3.6.0,2.3.6.0,,2017-03-21 00:05:20.014151,19450,1507.0
119294912,119294912,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,2017-03-21 05:19:54.421237,slurm_multi,1490074976.0,0,6.0,main_w4_handler2,3035311,15350008,False,,9489590,slurm,,132111800.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 28852243}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""png""","""true""",32.0,,36744927.0,1490074956.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.3.6.0,2.3.6.0,,2017-03-21 05:42:57.770749,102256,20.0
11863853180,11863853180,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,2016-11-05 21:43:22.509737,slurm_multi,1478382945.0,0,6.0,main_w4_handler2,2196193,14261192,False,,8469777,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bba451e3ca52e884'}]","""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""pdf""","""false""",32.0,,34062686.0,1478382335.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.3.6.0,2.3.6.0,,2016-11-05 21:55:47.583500,37892,610.0
10823364,10823364,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,28.0,len,2016-11-04 10:03:35.745240,slurm_multi,1478258004.0,0,6.0,main_w3_handler2,2878234,14250159,False,,8459354,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f07fa642b20a4aba'}]","""/galaxy-repl/main/files/017/722/dataset_17722451.dat""","""?""","""png""","""true""",32.0,,34083809.0,1478257966.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.3.6.0,2.3.6.0,,2016-11-04 11:13:27.485464,67979,38.0
