beds,beds1,beds1_filetype,beds2,beds2_filetype,beds3,beds3_filetype,beds4,beds4_filetype,beds5,beds5_filetype,beds6,beds6_filetype,beds7,beds7_filetype,beds8,beds8_filetype,beds_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,names|beds_0|input,names|beds_0|input_filetype,names|beds_1|input,names|beds_1|input_filetype,names|beds_2|input,names|beds_2|input_filetype,names|beds_3|input,names|beds_3|input_filetype,names|beds_4|input,names|beds_4|input_filetype,names|beds_5|input,names|beds_5|input_filetype,names|beds_6|input,names|beds_6|input_filetype,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.both,parameters.chromInfo,parameters.counts,parameters.dbkey,parameters.inputA.values,parameters.names.__current_case__,parameters.names.beds,parameters.names.beds.values,parameters.names.names_select,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
630.0,630.0,bed,,,,,,,,,,,,,,,bed,2018-01-02 04:23:13.834197,slurm_normal,1514867020.0,0,,1.0,main_w4_handler1,2943501,17927136,False,,158314123,gtf,12002682,slurm,,132112168.0,,,,,,,,,,,,,,,corral-repl,,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""false""","""hg19""","[{'src': 'hda', 'id': 33140248}]",1,,"[{'src': 'hda', 'id': 33132729}]",no,"""""",32.0,,42936989.0,1514866997.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.26.0.0,2.26.0.0,,2018-01-02 04:23:42.280086,97520.0,23.0
173380.0,173380.0,bed,,,,,,,,,,,,,,,bed,2017-10-26 05:14:33.902066,slurm_normal,1508994911.0,0,,1.0,main_w4_handler0,3300132,17221596,False,,2254651,gff3,11282800,slurm,,132112168.0,,,,,,,,,,,,,,,corral-repl,,,"""false""","""/galaxy-repl/main/files/021/866/dataset_21866892.dat""","""false""","""novo_ppy1""","[{'src': 'hda', 'id': 31890627}]",1,,"[{'src': 'hda', 'id': 31891679}]",no,"""""",32.0,,41530991.0,1508994907.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.26.0.0,2.26.0.0,,2017-10-26 05:15:12.427042,91348.0,4.0
645798.0,645798.0,bed,,,,,,,,,,,,,,,bed,2017-10-26 06:16:09.375542,slurm_normal,1508998597.0,0,,1.0,main_w4_handler0,3300132,17221908,False,,184975,bed,11283137,slurm,,132112168.0,,,,,,,,,,,,,,,corral-repl,,,"""false""","""/galaxy-repl/main/files/021/866/dataset_21866892.dat""","""false""","""novo_ppy1""","[{'src': 'hda', 'id': 31890955}]",1,,"[{'src': 'hda', 'id': 31891988}]",no,"""""",32.0,,41530991.0,1508998593.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.26.0.0,2.26.0.0,,2017-10-26 06:16:43.170977,91348.0,4.0
645798.0,645798.0,bed,,,,,,,,,,,,,,,bed,2017-10-26 06:23:22.618404,slurm_normal,1508999030.0,0,,1.0,main_w4_handler1,3300132,17222009,False,,184975,bed,11283221,slurm,,132112168.0,,,,,,,,,,,,,,,corral-repl,,,"""false""","""/galaxy-repl/main/files/021/866/dataset_21866892.dat""","""false""","""novo_ppy1""","[{'src': 'hda', 'id': 31890955}]",1,,"[{'src': 'hda', 'id': 31891988}]",no,"""""",32.0,,41530991.0,1508999025.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.26.0.0,2.26.0.0,,2017-10-26 06:23:55.621253,91348.0,5.0
22156025.0,22156025.0,bed,,,,,,,,,,,,,,,bed,2017-10-27 05:04:12.902110,slurm_normal,1509080683.0,0,,1.0,main_w4_handler1,3300132,17236475,False,,645798,bed,11296961,slurm,,132112168.0,,,,,,,,,,,,,,,corral-repl,,,"""false""","""/galaxy-repl/main/files/021/866/dataset_21866892.dat""","""false""","""novo_ppy1""","[{'src': 'hda', 'id': 31891988}]",1,,"[{'src': 'hda', 'id': 31894647}]",no,"""""",32.0,,41557999.0,1509080678.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.26.0.0,2.26.0.0,,2017-10-27 05:04:47.046637,91348.0,5.0
3555478705.0,3555478705.0,bed,,,,,,,,,,,,,,,bed,2017-10-28 09:03:14.715919,slurm_normal,1509181618.0,0,,1.0,main_w4_handler0,3301550,17249481,False,,609449919,vcf,11309093,slurm,,132112168.0,,,,,,,,,,,,,,,corral-repl,,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""false""","""hg19""","[{'src': 'hda', 'id': 31916368}]",1,,"[{'src': 'hda', 'id': 31916866}]",no,"""""",32.0,,41591596.0,1509181412.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.26.0.0,2.26.0.0,,2017-10-28 09:07:00.557169,114616.0,206.0
1373607.0,1373607.0,bed,,,,,,,,,,,,,,,bed,2017-10-30 08:03:17.127223,slurm_normal,1509350616.0,0,,1.0,main_w4_handler1,3219204,17261891,False,,353399,bed,11320792,slurm,,132112168.0,,,,,,,,,,,,,,,corral-repl,,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""false""","""hg19""","[{'src': 'hda', 'id': 31960757}]",1,,"[{'src': 'hda', 'id': 31960614}]",no,"""""",32.0,,39819334.0,1509350609.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.26.0.0,2.26.0.0,,2017-10-30 08:03:37.295710,110032.0,7.0
,,,,,,,,,,,,,,,,,,2017-10-30 21:06:31.255613,slurm_normal,1509397617.0,0,,1.0,main_w3_handler0,3305011,17269440,False,,10704612,bed,11329209,slurm,,132112168.0,,,,,,,,,,,,,,,corral-repl,,,"""true""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""true""","""mm10""","[{'src': 'hda', 'id': 31973114}]",0,[],,yes,"""""",32.0,,41625541.0,1509397603.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.26.0.0,2.26.0.0,,2017-10-30 21:06:59.048950,114774.0,14.0
,,,,,,,,,,,,,,,,,,2017-10-30 21:06:30.893771,slurm_normal,1509397635.0,0,,1.0,main_w4_handler1,3305011,17269438,False,,19770022,bed,11329211,slurm,,132112168.0,,,,,,,,,,,,,,,corral-repl,,,"""true""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""true""","""mm10""","[{'src': 'hda', 'id': 31973102}]",0,[],,yes,"""""",32.0,,41625541.0,1509397623.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.26.0.0,2.26.0.0,,2017-10-30 21:07:24.608588,114774.0,12.0
9676071.0,9676071.0,bed,,,,,,,,,,,,,,,bed,2017-10-31 01:34:24.852811,slurm_normal,1509413724.0,0,,1.0,main_w4_handler1,3305011,17271392,False,,9676071,bed,11331543,slurm,,132112168.0,,,,,,,,,,,,,,,corral-repl,,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""false""","""?""","[{'src': 'hda', 'id': 31977078}]",1,,"[{'src': 'hda', 'id': 31977078}]",no,"""""",32.0,,41625541.0,1509413711.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.26.0.0,2.26.0.0,,2017-10-31 01:35:31.727312,114774.0,13.0
