create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.fiveprime,parameters.input1,parameters.input1.values,parameters.minlength,parameters.mismatches,parameters.out_format1,parameters.reverse,parameters.tolower,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-07-16 07:58:00.921174,slurm_normal,1437033549.0,0.0,1.0,main_w1_handler0,2332173,9879010,False,,214349914,fasta,4169275.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20373818,,"""4""","""1""","""fasta""","""yes""","""no""",32.0,,23527205,1437033520.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-16 07:59:12.494407,64540.0,29.0
2015-07-16 08:06:55.103125,slurm_normal,1437034082.0,0.0,1.0,main_w1_handler1,2332173,9879042,False,,184625427,fasta,4169311.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20373912,,"""4""","""1""","""fasta""","""no""","""no""",32.0,,23527205,1437034048.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-16 08:08:06.699924,64540.0,34.0
2015-07-15 19:16:02.134616,slurm_normal,1436987837.0,0.0,1.0,main_w2_handler1,2332173,9875954,False,,231552274,fasta,4165966.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20369176,,"""5""","""3""","""fasta""","""yes""","""no""",32.0,,23485619,1436987792.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-15 19:17:28.679274,64540.0,45.0
2015-07-15 19:23:17.869214,slurm_normal,1436988269.0,0.0,1.0,main_w1_handler1,2332173,9876010,False,,215838755,fasta,4166032.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20369177,,"""4""","""1""","""fasta""","""yes""","""no""",32.0,,23485619,1436988231.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-15 19:24:31.989095,64540.0,38.0
2015-07-15 19:15:32.961334,slurm_normal,1436987815.0,0.0,1.0,main_w2_handler1,2332173,9875950,False,,231552274,fasta,4165963.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20369176,,"""4""","""1""","""fasta""","""yes""","""no""",32.0,,23485619,1436987777.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-15 19:17:00.731570,64540.0,38.0
2015-07-15 19:23:33.733918,slurm_normal,1436988315.0,0.0,1.0,main_w1_handler1,2332173,9876013,False,,215838755,fasta,4166039.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20369177,,"""5""","""3""","""fasta""","""yes""","""no""",32.0,,23485619,1436988248.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-15 19:25:18.398749,64540.0,67.0
2015-07-16 07:57:47.677136,slurm_normal,1437033532.0,0.0,1.0,main_w1_handler0,2332173,9879009,False,,230799226,fasta,4169272.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20373812,,"""4""","""1""","""fasta""","""yes""","""no""",32.0,,23527205,1437033500.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-16 07:58:54.577289,64540.0,32.0
2015-07-16 08:07:15.127548,slurm_normal,1437034099.0,0.0,1.0,main_w2_handler1,2332173,9879044,False,,155834686,fasta,4169313.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20373915,,"""4""","""1""","""fasta""","""no""","""no""",32.0,,23527205,1437034067.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-16 08:08:23.276223,64540.0,32.0
2015-07-16 09:09:42.724084,slurm_normal,1437037842.0,0.0,1.0,main_w2_handler1,2332173,9879521,False,,111727673,fasta,4169768.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20374507,,"""4""","""2""","""fasta""","""no""","""no""",32.0,,23527205,1437037818.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-16 09:11:18.873945,64540.0,24.0
2015-07-16 09:09:19.178100,slurm_normal,1437037837.0,0.0,1.0,main_w2_handler0,2332173,9879517,False,,168154789,fasta,4169763.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20374496,,"""4""","""2""","""fasta""","""no""","""no""",32.0,,23527205,1437037799.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-16 09:11:21.161030,64540.0,38.0
