create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.out_format1,parameters.step,parameters.window,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-25 13:12:26.950911,rodeo_normal,1427289189.0,0.0,1.0,main_w2_handler1,2248425,9032943,False,,24843221,txt,3318294.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18989481,,"""table""","""3""","""200""",32.0,,21988845,1427289163.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: tcode97/5.0.0,5.0.0,,2015-03-25 13:13:12.745518,61331.0,26.0
2015-11-03 21:38:04.101715,slurm_normal,1446586708.0,0.0,1.0,main_w1_handler1,2494311,10811278,False,,36983,fasta,5066629.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21862140,,"""table""","""3""","""200""",32.0,,26074369,1446586702.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: tcode97/5.0.0,5.0.0,,2015-11-03 21:38:33.083406,,6.0
2015-11-06 13:33:53.850683,slurm_normal,1446816847.0,0.0,1.0,main_w1_handler0,2497968,10834568,False,,866,fasta,5089615.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21900453,,"""table""","""3""","""200""",32.0,,26137089,1446816842.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: tcode97/5.0.0,5.0.0,,2015-11-06 13:34:10.238785,72824.0,5.0
2015-11-06 13:55:54.632779,slurm_normal,1446818176.0,0.0,1.0,main_w1_handler2,2497968,10834712,False,,866,fasta,5089745.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21900453,,"""table""","""3""","""200""",32.0,,26137089,1446818167.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: tcode97/5.0.0,5.0.0,,2015-11-06 13:56:20.134718,72824.0,9.0
2015-11-07 16:44:47.733797,slurm_normal,1446914699.0,0.0,1.0,main_w1_handler0,2498908,10841901,False,,1725,fasta,5096703.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/ce9.len""","""ce9""",21911488,,"""table""","""3""","""200""",32.0,,26152847,1446914695.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: tcode97/5.0.0,5.0.0,,2015-11-07 16:45:00.600418,72824.0,4.0
2017-04-10 09:18:46.983965,slurm_normal,1491816074.0,0.0,1.0,main_w4_handler1,3013389,15539213,False,,19187227,fasta,9664569.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28905865}]","""table""","""3""","""200""",32.0,,36327938,1491816036.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: tcode97/5.0.0,5.0.0,,2017-04-10 09:21:35.137765,,38.0
2016-04-08 19:47:37.258146,slurm_normal,1460144898.0,0.0,1.0,main_w1_handler1,2288868,12395154,False,,523,fasta,6591938.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",24138502,,"""table""","""3""","""200""",32.0,,28104400,1460144881.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: tcode97/5.0.0,5.0.0,,2016-04-08 19:48:22.242089,62515.0,17.0
2017-04-10 11:59:21.231196,slurm_normal,1491825599.0,0.0,1.0,main_w4_handler0,1995864,15540197,False,,19187227,fasta,9665489.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29148978}]","""table""","""3""","""200""",32.0,,37245771,1491825565.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: tcode97/5.0.0,5.0.0,,2017-04-10 12:00:00.390843,25840.0,34.0
2016-08-20 07:48:44.751670,slurm_normal,1471679403.0,0.0,1.0,main_w3_handler1,2771237,13689978,False,,22022680,fasta,7904994.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5058073cfc5a26772'}]","""table""","""3""","""200""",32.0,,31862173,1471679365.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: tcode97/5.0.0,5.0.0,,2016-08-20 07:50:04.935001,85672.0,38.0
2017-01-15 01:07:23.255987,slurm_normal,1484442452.0,0.0,1.0,main_w4_handler0,2798441,14769660,False,,435206,fasta,8932883.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27934199}]","""table""","""3""","""200""",32.0,,35332826,1484442447.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: tcode97/5.0.0,5.0.0,,2017-01-15 01:07:33.835928,35039.0,5.0
