chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.line_length,parameters.truncate_sequence_names_at_whitespaces,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-03-11 19:16:24.912809,slurm_normal_16gb,1457723862.0,0,1.0,main_w1_handler0,2630739,12109769,False,,132809741,fasta,6333380.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23802016,,"""100""","""False""",32.0,,28950391.0,1457723848.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.136.0,1.136.0,,2016-03-11 19:17:45.799845,,14.0
,,2017-02-22 01:01:27.559963,reserved,1487725457.0,0,1.0,main_w4_handler0,3004877,15101425,False,,3305933801,fasta,9256718.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 28453723}]","""80""","""true""",32.0,,36196859.0,1487725292.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.136.0,1.136.0,,2017-02-22 01:04:19.691707,5254.0,165.0
1168625.0,len,2016-03-12 17:23:58.498582,slurm_normal_16gb,1457803496.0,0,1.0,main_w1_handler1,2620070,12114706,False,,132809741,fasta,6337977.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/014/747/dataset_14747757.dat""","""?""",23809215,,"""100""","""False""",32.0,,28958993.0,1457803479.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.136.0,1.136.0,,2016-03-12 17:24:58.308831,79663.0,17.0
,,2016-06-22 01:19:32.286549,slurm_normal_16gb,1466558393.0,0,1.0,main_w1_handler1,2477259,13231056,False,,5621,fasta,7416151.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b523964a67f61e1a63'}]","""100""","""false""",32.0,,31012151.0,1466558389.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.136.0,1.136.0,,2016-06-22 01:19:55.149040,48100.0,4.0
,,2016-06-23 00:08:37.709932,slurm_normal_16gb,1466640540.0,0,1.0,main_w2_handler1,2602844,13242495,False,,143636,fasta,7428511.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b524ba27e2b0f7a840'}]","""100""","""true""",32.0,,29979496.0,1466640537.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.136.0,1.136.0,,2016-06-23 00:09:03.793112,83675.0,3.0
,,2017-04-13 15:25:47.460884,slurm_normal,1492097407.0,0,1.0,main_w4_handler1,3072065,15577437,False,,2463,fasta,9700032.roundup,slurm,,132112168.0,corral-repl,,"""749812c0205d11e7ac5b005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29205093}]","""80""","""true""",32.0,,,1492097331.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.136.0,1.136.0,,2017-04-13 15:34:52.217644,89797.0,76.0
,,2017-01-10 13:55:39.607203,slurm_normal,1484056576.0,0,1.0,main_w3_handler1,2951794,14723712,False,,247252778,fasta,8892400.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27866582}]","""70""","""false""",32.0,,35207911.0,1484056545.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.136.0,1.136.0,,2017-01-10 13:56:19.220617,,31.0
,,2017-01-10 14:38:52.374634,slurm_normal,1484059211.0,0,1.0,main_w3_handler1,2951794,14724043,False,,148803505,fasta,8892742.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27867064}]","""70""","""false""",32.0,,35207911.0,1484059156.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.136.0,1.136.0,,2017-01-10 14:40:27.660370,,55.0
,,2016-05-12 17:47:40.728047,slurm_normal_16gb,1463075304.0,0,1.0,main_w2_handler0,2014061,12874015,False,,20897,fasta,7073423.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5378c4b6eec3292a2'}]","""100""","""true""",32.0,,30173896.0,1463075286.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.136.0,1.136.0,,2016-05-12 17:48:26.253099,47654.0,18.0
,,2017-01-10 14:12:36.067391,slurm_normal,1484057616.0,0,1.0,main_w3_handler1,2951794,14723854,False,,194340263,fasta,8892550.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27866774}]","""70""","""false""",32.0,,35207911.0,1484057568.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_NormalizeFasta/1.136.0,1.136.0,,2017-01-10 14:13:40.958154,,48.0
