create_time,destination_id,end_epoch,exit_code,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,inputs,inputs1,inputs10,inputs10_filetype,inputs11,inputs11_filetype,inputs12,inputs12_filetype,inputs13,inputs13_filetype,inputs14,inputs14_filetype,inputs15,inputs15_filetype,inputs16,inputs16_filetype,inputs17,inputs17_filetype,inputs18,inputs18_filetype,inputs19,inputs19_filetype,inputs1_filetype,inputs2,inputs20,inputs20_filetype,inputs21,inputs21_filetype,inputs22,inputs22_filetype,inputs23,inputs23_filetype,inputs24,inputs24_filetype,inputs2_filetype,inputs3,inputs3_filetype,inputs4,inputs4_filetype,inputs5,inputs5_filetype,inputs6,inputs6_filetype,inputs7,inputs7_filetype,inputs8,inputs8_filetype,inputs9,inputs9_filetype,inputs_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.filler,parameters.genome.values,parameters.header,parameters.tag.__current_case__,parameters.tag.bedgraphs,parameters.tag.inputs.values,parameters.tag.tag_select,parameters.zero,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tag|bedgraphs_0|input,tag|bedgraphs_0|input1,tag|bedgraphs_0|input1_filetype,tag|bedgraphs_0|input_filetype,tag|bedgraphs_1|input,tag|bedgraphs_1|input1,tag|bedgraphs_1|input1_filetype,tag|bedgraphs_1|input_filetype,tag|bedgraphs_2|input,tag|bedgraphs_2|input1,tag|bedgraphs_2|input1_filetype,tag|bedgraphs_2|input_filetype,tag|bedgraphs_3|input,tag|bedgraphs_3|input1,tag|bedgraphs_3|input1_filetype,tag|bedgraphs_3|input_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-03-05 18:29:19.608359,slurm_normal,1488738570.0,0,1.0,1270,tabular,main_w3_handler1,3019460,15213252,False,,1253002.0,1253002.0,,,,,,,,,,,,,,,,,,,,,bedgraph,1251933.0,,,,,,,,,,,bedgraph,,,,,,,,,,,,,,,bedgraph,9362336.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""N/A""","[{'src': 'hda', 'id': 28625116}]","""false""",0,,"[{'src': 'hda', 'id': 28626231}, {'src': 'hda', 'id': 28626232}]",tag,"""true""",32.0,,35110906,1488738563.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.24.0,2.24.0,,2017-03-05 18:29:32.084873,78967.0,7.0
2016-09-09 14:28:31.294801,slurm_normal,1473431615.0,0,1.0,14324552,tabular,main_w3_handler0,2815344,13815823,False,,383875148.0,383875148.0,,,,,,,,,,,,,,,,,,,,,bedgraph,362115007.0,,,,,,,,,,,bedgraph,,,,,,,,,,,,,,,bedgraph,8037198.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/016/481/dataset_16481201.dat""","""SC5314_A19""","""0.0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5aa7ece40711df248'}]","""false""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c7ea429e9e5219fb'}, {'src': 'hda', 'id': 'bbd44e69cb8906b57f47494b16bb4645'}]",tag,"""true""",32.0,,32290113,1473431346.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.24.0,2.24.0,,2016-09-09 14:33:37.585902,77683.0,269.0
2016-09-09 14:28:21.301457,slurm_normal,1473431595.0,0,1.0,14324552,tabular,main_w4_handler1,2815344,13815821,False,,341409711.0,341409711.0,,,,,,,,,,,,,,,,,,,,,bedgraph,341858941.0,,,,,,,,,,,bedgraph,,,,,,,,,,,,,,,bedgraph,8037196.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/016/481/dataset_16481201.dat""","""SC5314_A19""","""0.0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5aa7ece40711df248'}]","""false""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b520241b8aca95c824'}, {'src': 'hda', 'id': 'bbd44e69cb8906b58388698c502909aa'}]",tag,"""true""",32.0,,32290113,1473431316.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.24.0,2.24.0,,2016-09-09 14:33:18.508825,77683.0,279.0
2016-09-12 14:18:01.749614,slurm_normal,1473690139.0,0,1.0,14324552,tabular,main_w4_handler0,2817744,13831763,False,,643135128.0,643135128.0,,,,,,,,,,,,,,,,,,,,,bedgraph,362115007.0,,,,,,,,,,,bedgraph,,,,,,,,,,,,,,,bedgraph,8053627.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/016/481/dataset_16481201.dat""","""SC5314_A19""","""0.0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c73d7930592d6742'}]","""false""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b548293b607731de3d'}, {'src': 'hda', 'id': 'bbd44e69cb8906b58f0fef6f92e3e2e9'}]",tag,"""true""",32.0,,32290113,1473689900.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.24.0,2.24.0,,2016-09-12 14:22:26.209292,77683.0,239.0
2016-09-12 14:17:50.411286,slurm_normal,1473690212.0,0,1.0,14324552,tabular,main_w3_handler1,2817744,13831761,False,,659447994.0,659447994.0,,,,,,,,,,,,,,,,,,,,,bedgraph,650541005.0,,,,,,,,,,,bedgraph,,,,,,,,,,,,,,,bedgraph,8053620.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/016/481/dataset_16481201.dat""","""SC5314_A19""","""0.0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c73d7930592d6742'}]","""false""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a4c8c16f298efd30'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5279cd420d4dcc225'}]",tag,"""true""",32.0,,32290113,1473689882.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.24.0,2.24.0,,2016-09-12 14:23:35.122727,77683.0,330.0
2016-09-12 11:19:32.778218,slurm_normal,1473679976.0,0,1.0,94926257,gtf,main_w3_handler1,2804648,13830271,False,,542324887.0,542324887.0,,,,,,,,,,,,,,,,,,,,,bedgraph,526141383.0,,,,,,,,,,,bedgraph,498922351.0,bedgraph,522955817.0,bedgraph,504701635.0,bedgraph,486902604.0,bedgraph,,,,,,,bedgraph,8052236.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""N/A""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e46f120e2e2d4fcc'}]","""false""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f965d6fced9ce728'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5efdecdf92f8d49eb'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5202fe891bc62771e'}, {'src': 'hda', 'id': 'bbd44e69cb8906b570f6fab063464c3b'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5ef10bb5d77a1fdce'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5bbbe9e4adc2f2aa0'}]",tag,"""false""",32.0,,32627016,1473679187.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.24.0,2.24.0,,2016-09-12 11:32:58.005076,79084.0,789.0
2016-09-13 10:43:07.700185,slurm_normal,1473763641.0,0,1.0,14324552,tabular,main_w3_handler0,2818854,13840500,False,,692309981.0,692309981.0,,,,,,,,,,,,,,,,,,,,,bedgraph,672614133.0,,,,,,,,,,,bedgraph,,,,,,,,,,,,,,,bedgraph,8063176.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/016/481/dataset_16481201.dat""","""SC5314_A19""","""0.0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d6533a7af40bd2b5'}]","""false""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b507ec97e45c9383c1'}, {'src': 'hda', 'id': 'bbd44e69cb8906b55cdb9b5ee249711b'}]",tag,"""true""",32.0,,32290113,1473763400.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.24.0,2.24.0,,2016-09-13 10:47:23.531261,77683.0,241.0
2016-09-13 10:15:20.652125,slurm_normal,1473761891.0,0,1.0,14324552,tabular,main_w4_handler1,2818854,13840323,False,,386458182.0,386458182.0,,,,,,,,,,,,,,,,,,,,,bedgraph,469885997.0,,,,,,,,,,,bedgraph,,,,,,,,,,,,,,,bedgraph,8063024.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/016/481/dataset_16481201.dat""","""SC5314_A19""","""0.0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d6533a7af40bd2b5'}]","""false""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e4d7041aeb7450c1'}, {'src': 'hda', 'id': 'bbd44e69cb8906b59be9f1683d69dc9b'}]",tag,"""true""",32.0,,32290113,1473761733.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.24.0,2.24.0,,2016-09-13 10:18:12.787445,77683.0,158.0
2016-09-13 10:19:08.125891,slurm_normal,1473762192.0,0,1.0,14324552,tabular,main_w4_handler1,2818854,13840361,False,,422104541.0,422104541.0,,,,,,,,,,,,,,,,,,,,,bedgraph,438163935.0,,,,,,,,,,,bedgraph,,,,,,,,,,,,,,,bedgraph,8063063.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/016/481/dataset_16481201.dat""","""SC5314_A19""","""0.0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d6533a7af40bd2b5'}]","""false""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f649a74218493fd0'}, {'src': 'hda', 'id': 'bbd44e69cb8906b581e5edec54498ea1'}]",tag,"""true""",32.0,,32290113,1473761986.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.24.0,2.24.0,,2016-09-13 10:23:14.172142,77683.0,206.0
2016-09-13 11:34:55.400176,slurm_normal,1473766856.0,0,1.0,14324552,tabular,main_w4_handler1,2818854,13840694,False,,692309981.0,692309981.0,,,,,,,,,,,,,,,,,,,,,bedgraph,680340684.0,,,,,,,,,,,bedgraph,,,,,,,,,,,,,,,bedgraph,8063392.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/016/481/dataset_16481201.dat""","""SC5314_A19""","""0.0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d6533a7af40bd2b5'}]","""false""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b507ec97e45c9383c1'}, {'src': 'hda', 'id': 'bbd44e69cb8906b548bf768fcec4835d'}]",tag,"""true""",32.0,,32290113,1473766510.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.24.0,2.24.0,,2016-09-13 11:40:59.250191,77683.0,346.0
