chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.aligned_reads_only,parameters.assume_sorted,parameters.chromInfo,parameters.dbkey,parameters.include_no_calls,parameters.inputFile,parameters.inputFile.values,parameters.pf_reads_only,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.validation_stringency,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-05-01 10:28:10.354382,slurm_normal_16gb,1462098964.0,0,1.0,main_w2_handler0,2690343,12710112,False,,9082397416,bam,6913555.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b507082e71c8b803c0'}]","""false""",0,Araly1,,cached,"""LENIENT""",32.0,,,,29378180,1462098515.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-05-01 10:36:10.497129,66141,449.0
,,2016-02-25 05:45:49.012997,slurm_normal_16gb,1456379862.0,0,1.0,main_w1_handler2,2607545,11935439,False,,1885498060,bam,6165411.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",23450408,,"""False""",1,23450401,,history,"""LENIENT""",32.0,381956675.0,fasta,,28320717,1456379608.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-02-25 05:57:45.411619,78493,254.0
,,2016-02-25 05:45:53.113470,slurm_normal_16gb,1456379594.0,0,1.0,main_w1_handler0,2607545,11935442,False,,2726032188,bam,6165403.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",23450423,,"""False""",1,23450401,,history,"""LENIENT""",32.0,381956675.0,fasta,,28320717,1456379468.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-02-25 05:53:17.484429,78493,126.0
,,2016-02-25 05:45:55.416073,slurm_normal_16gb,1456380147.0,0,1.0,main_w1_handler1,2607545,11935444,False,,2023423974,bam,6165449.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",23450433,,"""False""",1,23450401,,history,"""LENIENT""",32.0,381956675.0,fasta,,28320717,1456380018.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-02-25 06:02:29.765026,78493,129.0
,,2016-02-25 05:45:50.732656,slurm_normal_16gb,1456380276.0,0,1.0,main_w2_handler1,2607545,11935440,False,,1953252700,bam,6165460.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",23450413,,"""False""",1,23450401,,history,"""LENIENT""",32.0,381956675.0,fasta,,28320717,1456380157.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-02-25 06:04:39.686955,78493,119.0
,,2016-02-25 05:45:54.111209,slurm_normal_16gb,1456380010.0,0,1.0,main_w2_handler0,2607545,11935443,False,,1999945455,bam,6165441.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",23450428,,"""False""",1,23450401,,history,"""LENIENT""",32.0,381956675.0,fasta,,28320717,1456379873.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-02-25 06:00:14.887826,78493,137.0
,,2016-02-25 05:45:51.959038,slurm_normal_16gb,1456380466.0,0,1.0,main_w2_handler1,2607545,11935441,False,,1856668969,bam,6165472.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",23450418,,"""False""",1,23450401,,history,"""LENIENT""",32.0,381956675.0,fasta,,28320717,1456380293.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-02-25 06:07:51.744218,78493,173.0
,,2016-03-15 08:40:32.351437,slurm_normal_16gb,1458031333.0,0,1.0,main_w1_handler2,2634041,12138630,False,,119780202,bam,6356005.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""False""",23843227,,"""False""",0,hg19,,cached,"""LENIENT""",32.0,,,,28509455,1458031303.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-03-15 08:42:15.860979,78891,30.0
,,2016-03-15 08:59:18.302759,slurm_normal_16gb,1458032445.0,0,1.0,main_w2_handler0,2634041,12138700,False,,188671102,bam,6356132.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""False""",23843226,,"""False""",0,hg19,,cached,"""LENIENT""",32.0,,,,28509455,1458032411.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-03-15 09:00:48.838122,78891,34.0
,,2016-03-15 08:58:38.085626,slurm_normal_16gb,1458032393.0,0,1.0,main_w1_handler0,2634041,12138696,False,,119780202,bam,6356127.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""False""",23843227,,"""False""",0,hg19,,cached,"""LENIENT""",32.0,,,,28509455,1458032342.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-03-15 08:59:54.890017,78891,51.0
