BED,BED1,BED1_filetype,BED2,BED2_filetype,BED3,BED3_filetype,BED4,BED4_filetype,BED5,BED5_filetype,BED6,BED6_filetype,BED7,BED7_filetype,BED_filetype,bamfiles,bamfiles1,bamfiles10,bamfiles10_filetype,bamfiles11,bamfiles11_filetype,bamfiles12,bamfiles12_filetype,bamfiles13,bamfiles13_filetype,bamfiles14,bamfiles14_filetype,bamfiles15,bamfiles15_filetype,bamfiles16,bamfiles16_filetype,bamfiles17,bamfiles17_filetype,bamfiles18,bamfiles18_filetype,bamfiles19,bamfiles19_filetype,bamfiles1_filetype,bamfiles2,bamfiles20,bamfiles20_filetype,bamfiles21,bamfiles21_filetype,bamfiles22,bamfiles22_filetype,bamfiles23,bamfiles23_filetype,bamfiles24,bamfiles24_filetype,bamfiles25,bamfiles25_filetype,bamfiles26,bamfiles26_filetype,bamfiles27,bamfiles27_filetype,bamfiles28,bamfiles28_filetype,bamfiles29,bamfiles29_filetype,bamfiles2_filetype,bamfiles3,bamfiles30,bamfiles30_filetype,bamfiles31,bamfiles31_filetype,bamfiles32,bamfiles32_filetype,bamfiles33,bamfiles33_filetype,bamfiles34,bamfiles34_filetype,bamfiles35,bamfiles35_filetype,bamfiles36,bamfiles36_filetype,bamfiles37,bamfiles37_filetype,bamfiles38,bamfiles38_filetype,bamfiles39,bamfiles39_filetype,bamfiles3_filetype,bamfiles4,bamfiles40,bamfiles40_filetype,bamfiles41,bamfiles41_filetype,bamfiles42,bamfiles42_filetype,bamfiles43,bamfiles43_filetype,bamfiles44,bamfiles44_filetype,bamfiles45,bamfiles45_filetype,bamfiles4_filetype,bamfiles5,bamfiles5_filetype,bamfiles6,bamfiles6_filetype,bamfiles7,bamfiles7_filetype,bamfiles8,bamfiles8_filetype,bamfiles9,bamfiles9_filetype,bamfiles_filetype,blackListFileName,blackListFileName1,blackListFileName1_filetype,blackListFileName_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,multibam_conditional|multibam_repeats_0|bamfiles,multibam_conditional|multibam_repeats_0|bamfiles_filetype,multibam_conditional|multibam_repeats_1|bamfiles,multibam_conditional|multibam_repeats_1|bamfiles_filetype,multibam_conditional|multibam_repeats_2|bamfiles,multibam_conditional|multibam_repeats_2|bamfiles_filetype,multibam_conditional|multibam_repeats_3|bamfiles,multibam_conditional|multibam_repeats_3|bamfiles_filetype,multibam_conditional|multibam_repeats_4|bamfiles,multibam_conditional|multibam_repeats_4|bamfiles_filetype,multibam_conditional|multibam_repeats_5|bamfiles,multibam_conditional|multibam_repeats_5|bamfiles_filetype,object_store_id,param_filename,parameters.BED.values,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.Offset,parameters.advancedOpt.__current_case__,parameters.advancedOpt.alpha,parameters.advancedOpt.blackListFileName.values,parameters.advancedOpt.centerReads,parameters.advancedOpt.colors,parameters.advancedOpt.doExtendCustom.__current_case__,parameters.advancedOpt.doExtendCustom.doExtend,parameters.advancedOpt.ignoreDuplicates,parameters.advancedOpt.keepExons,parameters.advancedOpt.labels,parameters.advancedOpt.maxFragmentLength,parameters.advancedOpt.minFragmentLength,parameters.advancedOpt.minMappingQuality,parameters.advancedOpt.numPlotsPerRow,parameters.advancedOpt.perSample,parameters.advancedOpt.plotHeight,parameters.advancedOpt.plotTitle,parameters.advancedOpt.plotWidth,parameters.advancedOpt.regionLabels,parameters.advancedOpt.samFlagExclude,parameters.advancedOpt.samFlagInclude,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.variableScales,parameters.chromInfo,parameters.dbkey,parameters.multibam_conditional.__current_case__,parameters.multibam_conditional.bamfiles.values,parameters.multibam_conditional.multibam_repeats,parameters.multibam_conditional.orderMatters,parameters.multibam_conditional|multibam_repeats_0|bamfiles|__identifier__,parameters.outFileFormat,parameters.outRawCounts,parameters.region,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
17087,17087,bed,,,,,,,,,,,,,bed,2023369930.0,2023369930.0,,,,,,,,,,,,,,,,,,,,,bam,1695371947.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,2018-03-04 20:29:53.814340,slurm_normal,1520196097.0,0,7680.0,1.0,main_w3_handler0,3387981,18602730,False,,12697947,slurm,,132112168.0,,,,,,,,,,,,,corral-repl,,"[{'src': 'hda', 'id': 34201950}]",,,0.0,,,,,,,,,,,,,,,,,,,,,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,"[{'src': 'hda', 'id': 34201467}, {'src': 'hda', 'id': 34204441}]",,No,,"""png""","""false""","""""",32.0,,43121260.0,1520195402.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.5.0.0,2.5.0.0,,2018-03-04 20:41:39.731052,,695.0
17087,17087,bed,,,,,,,,,,,,,bed,2023369930.0,2023369930.0,,,,,,,,,,,,,,,,,,,,,bam,1695371947.0,,,,,,,,,,,,,,,,,,,,,bam,1625362571.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,2018-03-04 21:01:41.800566,slurm_normal,1520198399.0,0,7680.0,1.0,main_w4_handler1,3387981,18602997,False,,12698221,slurm,,132112168.0,,,,,,,,,,,,,corral-repl,,"[{'src': 'hda', 'id': 34201950}]",,,0.0,,,,,,,,,,,,,,,,,,,,,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,"[{'src': 'hda', 'id': 34201467}, {'src': 'hda', 'id': 34204441}, {'src': 'hda', 'id': 34204804}]",,No,,"""png""","""false""","""""",32.0,,43121260.0,1520197422.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.5.0.0,2.5.0.0,,2018-03-04 21:20:00.893489,,977.0
47689332,47689332,bed,,,,,,,,,,,,,bed,1946345390.0,1946345390.0,,,,,,,,,,,,,,,,,,,,,bam,1773305133.0,,,,,,,,,,,,,,,,,,,,,bam,1909156683.0,,,,,,,,,,,,,,,,,,,,,bam,2122149666.0,,,,,,,,,,,,,bam,1100950872.0,bam,1709632379.0,bam,2298048858.0,bam,2265099763.0,bam,,,bam,,,,,,,2017-10-25 13:33:11.796144,slurm_normal,1508946230.0,0,,1.0,main_w4_handler1,2717704,17212615,False,,11273148,slurm,,132112168.0,,,,,,,,,,,,,corral-repl,,"[{'src': 'hda', 'id': 31877194}]",,,0.0,,,,,,,,,,,,,,,,,,,,,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,"[{'src': 'hda', 'id': 31875848}, {'src': 'hda', 'id': 31875973}, {'src': 'hda', 'id': 31876069}, {'src': 'hda', 'id': 31876422}, {'src': 'hda', 'id': 31876711}, {'src': 'hda', 'id': 31876917}, {'src': 'hda', 'id': 31877088}, {'src': 'hda', 'id': 31877090}]",,No,,"""png""","""false""","""""",32.0,,40404253.0,1508938469.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.5.0.0,2.5.0.0,,2017-10-25 15:43:53.871007,85062.0,7761.0
38805,38805,bed,,,,,,,,,,,,,bed,700356413.0,700356413.0,421344948.0,bam,493322721.0,bam,483585614.0,bam,,,,,,,,,,,,,,,bam,396338754.0,,,,,,,,,,,,,,,,,,,,,bam,565307866.0,,,,,,,,,,,,,,,,,,,,,bam,404179945.0,,,,,,,,,,,,,bam,526056936.0,bam,500191194.0,bam,491277956.0,bam,343679203.0,bam,423168182.0,bam,bam,38805.0,38805.0,bed,bed,,,2018-01-03 14:52:29.872631,slurm_normal,1514993824.0,0,,1.0,main_w3_handler1,3373614,17937004,False,,12013064,slurm,,132112168.0,,,,,,,,,,,,,corral-repl,,"[{'src': 'hda', 'id': 33056747}]",,,1.0,0.9,"[{'src': 'hda', 'id': 33056747}]",false,,0.0,no,false,false,,0,0,1,4,true,20,,20,,,,yes,true,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,"[{'src': 'hdca', 'id': 95143}]",,No,,"""pdf""","""true""","""""",32.0,,42860508.0,1514991154.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.5.0.0,2.5.0.0,,2018-01-03 15:37:07.398614,78150.0,2670.0
17087,17087,bed,,,,,,,,,,,,,bed,2023369930.0,2023369930.0,,,,,,,,,,,,,,,,,,,,,bam,1695371947.0,,,,,,,,,,,,,,,,,,,,,bam,1625362571.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,2018-03-04 21:23:47.802337,slurm_normal,1520201119.0,0,7680.0,1.0,main_w4_handler1,3387981,18603200,False,,12698566,slurm,,132112168.0,,,,,,,,,,,,,corral-repl,,"[{'src': 'hda', 'id': 34201950}]",,,0.0,,,,,,,,,,,,,,,,,,,,,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,"[{'src': 'hda', 'id': 34201467}, {'src': 'hda', 'id': 34204441}, {'src': 'hda', 'id': 34204804}]",,No,,"""png""","""true""","""""",32.0,,43121260.0,1520200074.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.5.0.0,2.5.0.0,,2018-03-04 22:05:22.062091,,1045.0
11088816,11088816,bed,,,,,,,,,,,,,bed,4234944584.0,4234944584.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,2017-10-26 11:37:58.050866,slurm_normal,1509019186.0,0,,1.0,main_w3_handler0,3300422,17225717,False,,11287146,slurm,,132112168.0,,,,,,,,,,,,,corral-repl,,"[{'src': 'hda', 'id': 31896956}]",,,0.0,,,,,,,,,,,,,,,,,,,,,no,,"""/cvmfs/data.galaxyproject.org/managed/len/hg19_rCRS_pUC18_phiX174.len""","""hg19_rCRS_pUC18_phiX174""",0,"[{'src': 'hda', 'id': 31896705}]",,No,,"""png""","""true""","""""",32.0,,41537579.0,1509017891.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.5.0.0,2.5.0.0,,2017-10-26 11:59:47.893674,114535.0,1295.0
11088816,11088816,bed,,,,,,,,,,,,,bed,3060175521.0,3060175521.0,,,,,,,,,,,,,,,,,,,,,bam,4234944584.0,,,,,,,,,,,,,,,,,,,,,bam,3729160138.0,,,,,,,,,,,,,,,,,,,,,bam,3005505723.0,,,,,,,,,,,,,bam,,,,,,,,,,,bam,,,,,,,2017-10-27 03:06:16.663996,slurm_normal,1509077140.0,0,,1.0,main_w4_handler1,3300422,17235827,False,,11296287,slurm,,132112168.0,,,,,,,,,,,,,corral-repl,,"[{'src': 'hda', 'id': 31896956}]",,,0.0,,,,,,,,,,,,,,,,,,,,,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,"[{'src': 'hda', 'id': 31913664}, {'src': 'hda', 'id': 31913665}, {'src': 'hda', 'id': 31913666}, {'src': 'hda', 'id': 31913668}]",,No,,"""png""","""true""","""""",32.0,,41537579.0,1509073600.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.5.0.0,2.5.0.0,,2017-10-27 04:05:45.922180,114535.0,3540.0
80934,80934,bed,105888.0,bed,,,,,,,,,,,bed,2884371031.0,2884371031.0,,,,,,,,,,,,,,,,,,,,,bam,1830116321.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,2017-10-27 16:50:07.495944,slurm_normal,1509124459.0,0,,1.0,main_w4_handler0,2739523,17242422,False,,11302733,slurm,,132112168.0,,,,,,,,,,,,,corral-repl,,"[{'src': 'hda', 'id': 31899981}, {'src': 'hda', 'id': 31900034}]",,,0.0,,,,,,,,,,,,,,,,,,,,,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",0,"[{'src': 'hda', 'id': 28906389}, {'src': 'hda', 'id': 28906390}]",,No,,"""png""","""true""","""""",32.0,,40955948.0,1509123015.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.5.0.0,2.5.0.0,,2017-10-27 17:14:20.358756,36650.0,1444.0
2677,2677,bed,,,,,,,,,,,,,bed,493038566.0,493038566.0,,,,,,,,,,,,,,,,,,,,,bam,500058714.0,,,,,,,,,,,,,,,,,,,,,bam,3852448986.0,,,,,,,,,,,,,,,,,,,,,bam,3975340591.0,,,,,,,,,,,,,bam,,,,,,,,,,,bam,,,,,,,2017-10-31 16:24:32.741832,slurm_normal,1509469423.0,0,,1.0,main_w3_handler0,605821,17277716,False,,11338536,slurm,,132112168.0,,,,,,,,,,,,,corral-repl,,"[{'src': 'hda', 'id': 31984363}]",,,0.0,,,,,,,,,,,,,,,,,,,,,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",0,"[{'src': 'hda', 'id': 30901553}, {'src': 'hda', 'id': 30901693}, {'src': 'hda', 'id': 31501206}, {'src': 'hda', 'id': 31529511}]",,No,,"""png""","""true""","""""",32.0,,40497505.0,1509467082.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.5.0.0,2.5.0.0,,2017-10-31 17:03:45.270255,12956.0,2341.0
189,189,bed,,,,,,,,,,,,,bed,49027608.0,49027608.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,2017-11-01 11:56:07.516443,slurm_normal,1509537442.0,0,,1.0,main_w4_handler1,3237647,17284687,False,,11346104,slurm,,132112168.0,,,,,,,,,,,,,corral-repl,,"[{'src': 'hda', 'id': 32000494}]",,,0.0,,,,,,,,,,,,,,,,,,,,,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg_g1k_v37.len""","""hg_g1k_v37""",0,"[{'src': 'hda', 'id': 31043859}]",,No,,"""png""","""false""","""""",32.0,,40036218.0,1509537399.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.5.0.0,2.5.0.0,,2017-11-01 11:57:31.714240,58799.0,43.0
