bamfile,bamfile_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.bamfile,parameters.bamfile.values,parameters.chromInfo,parameters.dbkey,parameters.params.__current_case__,parameters.params.source_select,parameters.reference,parameters.reference.values,processor_count,reference,reference_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
1068207460,bam,,,2016-08-09 11:21:34.058230,slurm_normal,1470745316.0,0,,1.0,main_w1_handler1,2781316,13629117,False,,7842328.roundup,slurm,,132112168.0,corral-repl,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e790c9d8bf322605'}]","""/galaxy-repl/localdata/chrom/eschColi_K12.len""","""eschColi_K12""",0,pre_set,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5410f97dec20c75a6'}]",32.0,4708065,fasta,,32062278.0,1470742815.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes_wrapper/freebayes_wrapper/0.5.0,0.5.0,,2016-08-09 12:22:01.364073,87983.0,2501.0
137890287,bam,,,2016-08-25 10:04:17.213108,slurm_normal,1472119571.0,0,,1.0,main_w3_handler1,2801850,13716597,False,,7933578.roundup,slurm,,132112168.0,corral-repl,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b575a6bb10efc38b84'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,pre_set,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b552805b2d9705a9fe'}]",32.0,4485122,fasta,,32529355.0,1472119474.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes_wrapper/freebayes_wrapper/0.5.0,0.5.0,,2016-08-25 10:06:11.996764,,97.0
1538332,bam,,,2016-08-25 10:04:28.584536,slurm_normal,1472119613.0,0,,1.0,main_w3_handler1,2801850,13716598,False,,7933591.roundup,slurm,,132112168.0,corral-repl,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5980a93a0fd52fb4a'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,pre_set,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b552805b2d9705a9fe'}]",32.0,4485122,fasta,,32529355.0,1472119583.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes_wrapper/freebayes_wrapper/0.5.0,0.5.0,,2016-08-25 10:06:56.909222,,30.0
131446621,bam,,,2016-08-25 10:04:37.139889,slurm_normal,1472119689.0,0,,1.0,main_w4_handler0,2801850,13716599,False,,7933590.roundup,slurm,,132112168.0,corral-repl,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bba063e6e6edc239'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,pre_set,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b552805b2d9705a9fe'}]",32.0,4485122,fasta,,32529355.0,1472119580.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes_wrapper/freebayes_wrapper/0.5.0,0.5.0,,2016-08-25 10:08:11.059012,,109.0
289680866,bam,,,2016-11-01 13:02:30.707516,slurm_normal,1478012174.0,0,,1.0,main_w4_handler1,2875300,14224371,False,,8434427.roundup,slurm,,132112168.0,corral-repl,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59fa842464ca93344'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,pre_set,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b505c8b23de4fa981f'}]",32.0,137338124,fasta,,33961941.0,1478005354.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes_wrapper/freebayes_wrapper/0.5.0,0.5.0,,2016-11-01 14:56:17.743978,90340.0,6820.0
290326203,bam,,,2016-11-01 13:02:46.527248,slurm_normal,1478011623.0,0,,1.0,main_w4_handler1,2875300,14224373,False,,8434429.roundup,slurm,,132112168.0,corral-repl,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50658c3c39483d655'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,pre_set,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b505c8b23de4fa981f'}]",32.0,137338124,fasta,,33961941.0,1478005369.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes_wrapper/freebayes_wrapper/0.5.0,0.5.0,,2016-11-01 14:47:08.123418,90340.0,6254.0
20641090311,bam,22348.0,len,2016-11-04 19:11:26.864443,slurm_normal,1478340551.0,0,,1.0,main_w3_handler0,2871876,14255750,False,,8464264.roundup,slurm,,132112168.0,corral-repl,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b517e0bbdb2d1f17c3'}]","""/galaxy-repl/main/files/017/709/dataset_17709438.dat""","""?""",0,pre_set,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b542c1d076d382c440'}]",32.0,990744229,fasta,,33947225.0,1478288689.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes_wrapper/freebayes_wrapper/0.5.0,0.5.0,,2016-11-05 10:09:14.608967,74690.0,51862.0
290263415,bam,,,2016-10-10 08:25:28.859687,slurm_normal,1476093288.0,0,,1.0,main_w3_handler0,2848844,14042846,False,,8260268.roundup,slurm,,132112168.0,corral-repl,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5835f1d240d17ef91'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,pre_set,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5521d489fb91f6d93'}]",32.0,137338124,fasta,,33492556.0,1476088173.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes_wrapper/freebayes_wrapper/0.5.0,0.5.0,,2016-10-10 09:54:51.621515,90340.0,5115.0
51377,bam,,,2016-11-07 14:28:02.199473,slurm_normal,1478530097.0,0,,1.0,main_w4_handler0,2879222,14274854,False,,8483309.roundup,slurm,,132112168.0,corral-repl,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57ceab63afd290505'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,pre_set,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5742be73b8d605b59'}]",32.0,418342647,fasta,,33817569.0,1478530035.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes_wrapper/freebayes_wrapper/0.5.0,0.5.0,,2016-11-07 14:48:22.321861,92443.0,62.0
2618581,bam,,,2016-11-09 22:59:52.842269,slurm_normal,1478732456.0,0,,1.0,main_w3_handler0,2888528,14301138,False,,8508974.roundup,slurm,,132112168.0,corral-repl,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55a3df3ff8960ac20'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,pre_set,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58dd300abc02d06f3'}]",32.0,13851,fasta,,32480544.0,1478732394.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes_wrapper/freebayes_wrapper/0.5.0,0.5.0,,2016-11-09 23:00:58.002340,77853.0,62.0
