chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.brief,parameters.chromInfo,parameters.dbkey,parameters.gapextend,parameters.gapopen,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,parameters.input2,parameters.input2.values,parameters.out_format1,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-06-30 14:01:14.347418,slurm_normal,1435673074.0,0.0,,1.0,main_w1_handler0,2360228,9767280,False,,623,fasta,494738,fasta,4070083.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",20190445,,,20190402,,"""srs""",32.0,,23752412,1435673066.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: water107/5.0.0,5.0.0,,2015-06-30 14:04:37.278993,,8.0
,,2015-06-30 14:01:07.302198,slurm_normal,1435673403.0,0.0,,1.0,main_w2_handler1,2360228,9767267,False,,995,fasta,494738,fasta,4070152.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",20190430,,,20190402,,"""srs""",32.0,,23752412,1435673395.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: water107/5.0.0,5.0.0,,2015-06-30 14:10:05.419773,,8.0
,,2015-06-30 14:00:58.600512,slurm_normal,1435672986.0,0.0,,1.0,main_w1_handler0,2360228,9767254,False,,1469,fasta,494738,fasta,4070060.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",20190417,,,20190402,,"""srs""",32.0,,23752412,1435672975.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: water107/5.0.0,5.0.0,,2015-06-30 14:03:14.329824,,11.0
,,2015-06-30 14:01:09.864437,slurm_normal,1435673218.0,0.0,,1.0,main_w1_handler2,2360228,9767272,False,,1333,fasta,494738,fasta,4070104.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",20190435,,,20190402,,"""srs""",32.0,,23752412,1435673181.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: water107/5.0.0,5.0.0,,2015-06-30 14:07:02.073925,,37.0
,,2015-06-30 14:01:00.323115,slurm_normal,1435672932.0,0.0,,1.0,main_w2_handler0,2360228,9767259,False,,1807,fasta,494738,fasta,4070049.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",20190420,,,20190402,,"""srs""",32.0,,23752412,1435672919.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: water107/5.0.0,5.0.0,,2015-06-30 14:02:16.368528,,13.0
,,2015-06-30 14:00:57.489440,slurm_normal,1435672913.0,0.0,,1.0,main_w2_handler0,2360228,9767252,False,,2744,fasta,494738,fasta,4070042.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",20190413,,,20190402,,"""srs""",32.0,,23752412,1435672900.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: water107/5.0.0,5.0.0,,2015-06-30 14:01:56.750118,,13.0
,,2015-06-30 14:01:01.442026,slurm_normal,1435673172.0,0.0,,1.0,main_w2_handler0,2360228,9767261,False,,805,fasta,494738,fasta,4070100.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",20190423,,,20190402,,"""srs""",32.0,,23752412,1435673161.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: water107/5.0.0,5.0.0,,2015-06-30 14:06:16.418064,,11.0
,,2015-06-30 14:00:55.813859,slurm_normal,1435673044.0,0.0,,1.0,main_w1_handler2,2360228,9767249,False,,2545,fasta,494738,fasta,4070071.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",20190408,,,20190402,,"""srs""",32.0,,23752412,1435673031.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: water107/5.0.0,5.0.0,,2015-06-30 14:04:07.843888,,13.0
,,2015-06-30 14:01:11.966289,slurm_normal,1435672948.0,0.0,,1.0,main_w1_handler1,2360228,9767276,False,,981,fasta,494738,fasta,4070053.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",20190441,,,20190402,,"""srs""",32.0,,23752412,1435672939.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: water107/5.0.0,5.0.0,,2015-06-30 14:02:32.251356,,9.0
,,2015-06-30 14:00:56.319624,slurm_normal,1435673105.0,0.0,,1.0,main_w2_handler1,2360228,9767250,False,,1587,fasta,494738,fasta,4070088.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",20190410,,,20190402,,"""srs""",32.0,,23752412,1435673086.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: water107/5.0.0,5.0.0,,2015-06-30 14:05:09.014387,,19.0
