bigwigFile1,bigwigFile1_filetype,bigwigFile2,bigwigFile2_filetype,blackListFileName,blackListFileName1,blackListFileName1_filetype,blackListFileName_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.binSize,parameters.advancedOpt.blackListFileName.values,parameters.advancedOpt.plotTitle,parameters.advancedOpt.scaleFactor1,parameters.advancedOpt.scaleFactor2,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipNAs,parameters.bigwigFile1.values,parameters.bigwigFile2.values,parameters.chromInfo,parameters.comparison.__current_case__,parameters.comparison.comparison_select,parameters.comparison.pseudocount,parameters.dbkey,parameters.outFileFormat,parameters.region,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
35902697,bigwig,30236451,bigwig,,,,,2017-02-24 16:37:33.759521,slurm_multi,1487954386.0,0,6.0,main_w4_handler2,1746140,15132343,False,,9285964,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,no,,"[{'src': 'hda', 'id': 28500662}]","[{'src': 'hda', 'id': 28500611}]","""/galaxy-repl/localdata/chrom/mycoTube_H37RV.len""",1,ratio,1.0,"""mycoTube_H37RV""","""bigwig""","""""",32.0,,36024883.0,1487954364.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.3.6.0,2.3.6.0,,2017-02-24 16:39:48.024646,43307,22.0
0,bigwig,0,bigwig,,,,,2017-01-10 16:16:50.590414,slurm_multi,1484076466.0,0,6.0,main_w4_handler2,2946822,14726029,False,,8896323,slurm,,132112168.0,corral-repl,,0,no,,"""6629eb56d2b911e6a9ab005056a51846""",0.0,,,,,,no,,"[{'src': 'hda', 'id': 27870229}]","[{'src': 'hda', 'id': 27870225}]","""/galaxy-repl/localdata/chrom/hg38.len""",0,log2,1.0,"""hg38""","""bedgraph""","""""",32.0,,,1484075477.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.3.6.0,2.3.6.0,,2017-01-10 19:27:50.019239,94171,989.0
198504,bigwig,335432,bigwig,,,,,2017-03-07 10:37:54.893345,slurm_multi,1488883485.0,0,6.0,main_w4_handler2,3019460,15228246,False,,9376436,slurm,,132111800.0,corral-repl,,0,no,,,0.0,,,,,,no,,"[{'src': 'hda', 'id': 28637953}]","[{'src': 'hda', 'id': 28641344}]","""/galaxy-repl/localdata/chrom/mm9.len""",2,subtract,,"""mm9""","""bigwig""","""""",32.0,,36444096.0,1488883447.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.3.6.0,2.3.6.0,,2017-03-07 10:44:46.421117,78967,38.0
2296921,bigwig,2224267,bigwig,,,,,2017-01-10 16:39:44.427384,slurm_multi,1484082804.0,0,6.0,main_w3_handler2,2885758,14728198,False,,8897508,slurm,,132111800.0,corral-repl,,0,no,,"""fd1360ded36c11e696e8005056a51846""",0.0,,,,,,no,,"[{'src': 'hda', 'id': 27873720}]","[{'src': 'hda', 'id': 27873730}]","""/galaxy-repl/localdata/chrom/hg38.len""",0,log2,1.0,"""hg38""","""bedgraph""","""""",32.0,,,1484081695.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.3.6.0,2.3.6.0,,2017-01-10 21:13:26.441406,92002,1109.0
0,bigwig,2209618,bigwig,,,,,2017-01-10 16:37:02.484992,slurm_multi,1484084248.0,0,6.0,main_w3_handler2,2946822,14727663,False,,8898175,slurm,,132111800.0,corral-repl,,0,no,,"""a20b8d4ad2ba11e69a55005056a51846""",0.0,,,,,,no,,"[{'src': 'hda', 'id': 27872959}]","[{'src': 'hda', 'id': 27872955}]","""/galaxy-repl/localdata/chrom/hg38.len""",0,log2,1.0,"""hg38""","""bedgraph""","""""",32.0,,,1484083502.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.3.6.0,2.3.6.0,,2017-01-10 21:37:39.796949,94171,746.0
2470143,bigwig,2207024,bigwig,,,,,2017-01-10 16:39:46.487411,slurm_multi,1484085423.0,0,6.0,main_w4_handler2,2885758,14728201,False,,8898439,slurm,,132111800.0,corral-repl,,0,no,,"""fd1360ded36c11e696e8005056a51846""",0.0,,,,,,no,,"[{'src': 'hda', 'id': 27873715}]","[{'src': 'hda', 'id': 27873740}]","""/galaxy-repl/localdata/chrom/hg38.len""",0,log2,1.0,"""hg38""","""bedgraph""","""""",32.0,,,1484084657.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.3.6.0,2.3.6.0,,2017-01-10 21:57:04.670345,92002,766.0
12970094,bigwig,146336710,bigwig,,,,,2017-01-10 21:47:41.403623,slurm_multi,1484085629.0,0,6.0,main_w3_handler2,2947790,14734428,False,,8898670,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,no,,"[{'src': 'hda', 'id': 27882155}]","[{'src': 'hda', 'id': 27834902}]","""/galaxy-repl/localdata/chrom/?.len""",4,first,,"""?""","""bigwig""","""""",32.0,,35299389.0,1484085539.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.3.6.0,2.3.6.0,,2017-01-10 22:00:31.230108,72906,90.0
2296921,bigwig,2224267,bigwig,,,,,2017-01-10 16:39:59.198515,slurm_multi,1484085852.0,0,6.0,main_w4_handler2,2946822,14728239,False,,8898546,slurm,,132112168.0,corral-repl,,0,no,,"""57289908d2ba11e6ad88005056a51846""",0.0,,,,,,no,,"[{'src': 'hda', 'id': 27873810}]","[{'src': 'hda', 'id': 27873809}]","""/galaxy-repl/localdata/chrom/hg38.len""",0,log2,1.0,"""hg38""","""bedgraph""","""""",32.0,,,1484085145.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.3.6.0,2.3.6.0,,2017-01-10 22:04:21.368442,94171,707.0
20113540,bigwig,172526658,bigwig,,,,,2017-01-10 22:41:20.474769,slurm_multi,1484089206.0,0,6.0,main_w3_handler2,2924509,14734774,False,,8899729,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,no,,"[{'src': 'hda', 'id': 27710385}]","[{'src': 'hda', 'id': 27710386}]","""/galaxy-repl/localdata/chrom/ce10.len""",0,log2,1.0,"""ce10""","""bedgraph""","""""",32.0,,34984797.0,1484089146.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.3.6.0,2.3.6.0,,2017-01-10 23:00:08.706233,96632,60.0
25790775,bigwig,110766263,bigwig,,,,,2017-01-10 22:40:59.102513,slurm_multi,1484088640.0,0,6.0,main_w4_handler2,2924509,14734768,False,,8899636,slurm,,132111800.0,corral-repl,,0,no,,,0.0,,,,,,no,,"[{'src': 'hda', 'id': 27710383}]","[{'src': 'hda', 'id': 27710384}]","""/galaxy-repl/localdata/chrom/ce10.len""",0,log2,1.0,"""ce10""","""bedgraph""","""""",32.0,,34984797.0,1484088575.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.3.6.0,2.3.6.0,,2017-01-10 22:50:42.372798,96632,65.0
