corData,corData_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.corData.values,parameters.dbkey,parameters.outFileFormat,parameters.outFileNameData,parameters.plotTitle,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
1976948,deeptools_coverage_matrix,2017-01-09 20:58:58.978069,slurm_normal,1483995674.0,0,1.0,main_w4_handler0,2841033,14719546,False,,8888465.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 27858831}]","""hg19""","""png""","""false""","""Th2 dex merged (minus G4 48hr minus dex)""",32.0,,35278256,1483995649.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.6.0,2.3.6.0,,2017-01-09 21:01:16.898668,64365,25.0
212105271,deeptools_coverage_matrix,2017-02-22 02:41:38.737207,slurm_normal,1487733550.0,0,1.0,main_w3_handler1,2652459,15101984,False,,9257435.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","[{'src': 'hda', 'id': 28454445}]","""mm9""","""png""","""true""","""""",32.0,,36211348,1487733440.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.6.0,2.3.6.0,,2017-02-22 03:19:11.613961,81710,110.0
322321443,deeptools_coverage_matrix,2017-02-22 03:29:12.953382,slurm_normal,1487738969.0,0,1.0,main_w4_handler1,2652459,15102168,False,,9257799.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","[{'src': 'hda', 'id': 28454850}]","""mm9""","""png""","""true""","""""",32.0,,36211348,1487738845.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.6.0,2.3.6.0,,2017-02-22 04:49:31.673066,81710,124.0
1883245,deeptools_coverage_matrix,2017-01-10 11:09:20.752821,slurm_normal,1484046761.0,0,1.0,main_w3_handler1,2841033,14722865,False,,8891545.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 27865067}]","""hg19""","""png""","""false""","""Th2 dex merged (minusG4 48hr)""",32.0,,35288478,1484046743.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.6.0,2.3.6.0,,2017-01-10 11:12:43.730777,64365,18.0
2126137,deeptools_coverage_matrix,2017-01-10 16:04:32.974749,slurm_normal,1484069164.0,0,1.0,main_w4_handler0,2948965,14724701,False,,8894201.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","[{'src': 'hda', 'id': 27868017}]","""mm10""","""eps""","""true""","""JEC WT vs KO""",32.0,,35181128,1484067836.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.6.0,2.3.6.0,,2017-01-10 17:26:20.260484,97607,1328.0
2243852,deeptools_coverage_matrix,2017-01-10 17:32:22.576979,slurm_normal,1484070997.0,0,1.0,main_w3_handler0,2948965,14733121,False,,8895231.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","[{'src': 'hda', 'id': 27868192}]","""mm10""","""eps""","""true""","""CEC WT vs KO""",32.0,,35253944,1484070960.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.6.0,2.3.6.0,,2017-01-10 17:56:53.698901,97607,37.0
17622193,deeptools_coverage_matrix,2017-03-20 07:13:02.617549,slurm_normal,1489994123.0,0,1.0,main_w4_handler0,3031565,15340405,False,,9479970.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 28831707}]","""hg19""","""png""","""false""","""""",32.0,,36625641,1489994108.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.6.0,2.3.6.0,,2017-03-20 07:15:24.489610,102046,15.0
15511646,deeptools_coverage_matrix,2017-03-20 07:05:49.155042,slurm_normal,1489993657.0,0,1.0,main_w3_handler1,3031565,15340392,False,,9479948.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 28831674}]","""hg19""","""png""","""false""","""""",32.0,,36625641,1489993637.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.6.0,2.3.6.0,,2017-03-20 07:07:39.134373,102046,20.0
41807,deeptools_coverage_matrix,2017-01-10 21:43:46.957746,slurm_normal,1484085773.0,0,1.0,main_w4_handler1,1578492,14734399,False,,8898801.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 27882660}]","""?""","""png""","""true""","""""",32.0,,35288517,1484085684.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.6.0,2.3.6.0,,2017-01-10 22:02:58.924923,30453,89.0
3028468,deeptools_coverage_matrix,2017-02-22 07:06:55.136588,slurm_normal,1487747660.0,0,1.0,main_w4_handler0,2652459,15103114,False,,9258316.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","[{'src': 'hda', 'id': 28456062}]","""mm9""","""png""","""true""","""""",32.0,,36211348,1487747541.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.6.0,2.3.6.0,,2017-02-22 07:14:23.729129,81710,119.0
