create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-02-17 17:46:21.994354,slurm_normal_16gb,1455735244.0,0,,1.0,main_w2_handler1,2603144,11859290,False,,29767556,bam,6101066.roundup,slurm,,132112168.0,corral-repl,,"""4eb636d2d59e11e5a30c005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23393494,,,"""LENIENT""",32.0,,28423205.0,1455735203.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/1.126.0,1.126.0,,2016-02-17 18:54:17.319375,21007.0,41.0
2016-02-17 19:47:16.212361,slurm_normal_16gb,1455739901.0,0,,1.0,main_w1_handler0,2603275,11860478,False,,29767559,bam,6101705.roundup,slurm,,132112168.0,corral-repl,,"""37908b22d5af11e594d0005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23395428,,,"""LENIENT""",32.0,,28438821.0,1455739872.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/1.126.0,1.126.0,,2016-02-17 20:11:44.720814,8573.0,29.0
2016-02-20 03:34:35.105705,slurm_normal_16gb,1455939709.0,0,,1.0,main_w1_handler1,2606439,11882838,False,,29739650,bam,6122723.roundup,slurm,,132112168.0,corral-repl,,"""d1eca0c8d78211e5aeee005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23430576,,,"""LENIENT""",32.0,,28430072.0,1455939700.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/1.126.0,1.126.0,,2016-02-20 03:41:51.803868,78756.0,9.0
2016-02-20 16:16:00.847489,slurm_normal_16gb,1455985425.0,0,,1.0,main_w2_handler0,2606757,11884839,False,,31600780,bam,6124509.roundup,slurm,,132112168.0,corral-repl,,"""3207957ad7ed11e5ae6c005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23434329,,,"""LENIENT""",32.0,,26919315.0,1455985410.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/1.126.0,1.126.0,,2016-02-20 16:23:49.543935,75619.0,15.0
2016-02-21 06:02:35.785871,slurm_normal_16gb,1456035076.0,0,,1.0,main_w1_handler1,2599623,11887600,False,,29749299,bam,6126793.roundup,slurm,,132112168.0,corral-repl,,"""a8797a98d86011e5a4f2005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23440145,,,"""LENIENT""",32.0,,28359845.0,1456035053.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/1.126.0,1.126.0,,2016-02-21 06:11:18.146363,78342.0,23.0
2016-02-23 13:45:17.230918,slurm_normal_16gb,1456237656.0,0,,1.0,main_w1_handler0,2609601,11910381,False,,29739637,bam,6148690.roundup,slurm,,132112168.0,corral-repl,,"""9fbc7d18da3311e58eae005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23472881,,,"""LENIENT""",32.0,,28200911.0,1456237637.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/1.126.0,1.126.0,,2016-02-23 14:27:41.591392,78239.0,19.0
2016-02-26 11:20:46.084327,slurm_normal_16gb,1456486484.0,0,,1.0,main_w1_handler1,2613683,11949657,False,,29739636,bam,6182567.roundup,slurm,,132112168.0,corral-repl,,"""ebf157d2dc7a11e59b5e005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23526983,,,"""LENIENT""",32.0,,28636107.0,1456486473.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/1.126.0,1.126.0,,2016-02-26 11:34:47.072447,77871.0,11.0
2016-02-26 17:48:20.897977,slurm_normal_16gb,1456509426.0,0,,1.0,main_w1_handler0,2614091,11952775,False,,1842,bam,6186174.roundup,slurm,,132112168.0,corral-repl,,"""0b3faffedcb111e59b5e005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23531089,,,"""LENIENT""",32.0,,28645349.0,1456509423.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/1.126.0,1.126.0,,2016-02-26 17:57:12.559711,79179.0,3.0
2016-06-21 13:58:28.690593,slurm_normal_16gb,1466517961.0,0,,1.0,main_w1_handler1,2745800,13225147,False,,29739501,bam,7410062.roundup,slurm,,132112168.0,corral-repl,,"""34489a5c37b811e6912a005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59d8f17defeda06fe'}]",,"""LENIENT""",32.0,,30993196.0,1466517943.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/1.126.0,1.126.0,,2016-06-21 14:06:04.483931,85610.0,18.0
2016-03-02 14:27:19.345587,slurm_normal_16gb,1456929349.0,0,,1.0,main_w1_handler0,2618348,11994465,False,,29739641,bam,6223138.roundup,slurm,,132112168.0,corral-repl,,"""d7399672e08211e5bb86005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23608066,,,"""LENIENT""",32.0,,28442819.0,1456929336.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/1.126.0,1.126.0,,2016-03-02 14:35:56.722009,78813.0,13.0
