chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.fasta,parameters.fasta.values,parameters.fasta|__identifier__,parameters.input,parameters.input.values,parameters.name,parameters.split,parameters.strand,parameters.tab,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-04-14 15:55:51.466059,slurm_normal,1460649406.0,0,2451412943,fasta,,1.0,main_w1_handler2,2662078,12453560,False,,31766,bed,6650695.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/canFam3.len""","""canFam3""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5692d0fbae382d15e'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54c69da354d248a4d'}]","""true""","""false""","""false""","""false""",32.0,,29492516,1460649380.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.22.0,2.22.0,,2016-04-14 15:56:50.636858,,26.0
,,2016-09-21 16:33:30.391341,slurm_normal,1474475672.0,0,2793419363,fasta,,1.0,main_w3_handler1,2821524,13908201,False,,4549,bed,8130899.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/rn6.len""","""rn6""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53ebf71a216eecfc0'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a35d9d71855ca32c'}]","""false""","""false""","""false""","""false""",32.0,,32978475,1474475642.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.22.0,2.22.0,,2016-09-21 16:34:35.982044,,30.0
,,2016-04-15 01:43:05.500193,slurm_normal,1460684630.0,0,2918087538,fasta,,1.0,main_w2_handler1,2495761,12460091,False,,22557,bed,6655357.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b506257168bae91524'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e0d4b552342f03c5'}]","""false""","""false""","""false""","""false""",32.0,,29603150,1460684625.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.22.0,2.22.0,,2016-04-15 01:43:52.349925,64737.0,5.0
,,2016-04-15 01:47:55.598556,slurm_normal,1460684937.0,0,2918087538,fasta,,1.0,main_w1_handler2,2495761,12460117,False,,19707,bed,6655380.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b506257168bae91524'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56741a17179761a9b'}]","""false""","""false""","""false""","""false""",32.0,,29603150,1460684909.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.22.0,2.22.0,,2016-04-15 01:48:58.944771,64737.0,28.0
,,2016-04-15 13:40:41.381451,slurm_normal,1460727713.0,0,2451412943,fasta,,1.0,main_w1_handler1,2662078,12471786,False,,18256,bed,6659776.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/canFam3.len""","""canFam3""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5692d0fbae382d15e'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5053743fc62c8bd5d'}]","""true""","""false""","""true""","""false""",32.0,,29492516,1460727686.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.22.0,2.22.0,,2016-04-15 13:41:55.611906,,27.0
,,2016-04-15 10:00:35.771722,slurm_normal,1460714475.0,0,2451412943,fasta,,1.0,main_w2_handler1,2662078,12463958,False,,31766,bed,6658239.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/canFam3.len""","""canFam3""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5692d0fbae382d15e'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fd0797155fc060e8'}]","""true""","""false""","""true""","""false""",32.0,,29492516,1460714469.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.22.0,2.22.0,,2016-04-15 10:01:18.508330,,6.0
,,2016-04-15 15:06:35.712516,slurm_normal,1460733030.0,0,2918087538,fasta,,1.0,main_w1_handler2,2495761,12473886,False,,19862,bed,6661060.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b506257168bae91524'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59b83bc7c1280a28b'}]","""false""","""false""","""false""","""false""",32.0,,29498931,1460732938.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.22.0,2.22.0,,2016-04-15 15:10:32.908196,64737.0,92.0
,,2016-04-15 15:06:34.893741,slurm_normal,1460733156.0,0,2918087538,fasta,,1.0,main_w1_handler2,2495761,12473885,False,,19791,bed,6661048.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b506257168bae91524'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5caee06cc6ee12ff0'}]","""false""","""false""","""false""","""false""",32.0,,29498931,1460732908.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.22.0,2.22.0,,2016-04-15 15:12:39.059061,64737.0,248.0
,,2016-04-15 15:06:34.250455,slurm_normal,1460733025.0,0,2918087538,fasta,,1.0,main_w1_handler0,2495761,12473884,False,,19775,bed,6661049.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b506257168bae91524'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56a8e839847686d15'}]","""false""","""false""","""false""","""false""",32.0,,29498931,1460732908.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.22.0,2.22.0,,2016-04-15 15:10:27.433026,64737.0,117.0
,,2016-04-16 08:33:14.064497,slurm_normal,1460795638.0,0,2708009901,fasta,,1.0,main_w2_handler0,2672017,12482835,False,,1451072,bed,6671242.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a6d436ad67c0deea'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c50bb233a79f6e69'}]","""false""","""false""","""false""","""false""",32.0,,29636666,1460795624.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.22.0,2.22.0,,2016-04-16 08:34:00.924164,62093.0,14.0
