create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.infile,parameters.infile.values,parameters.infile|__identifier__,parameters.maxuniquesize,parameters.minuniquesize,parameters.sizein,parameters.sizeout,parameters.strand,parameters.topn,parameters.uc,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-12 11:49:36.687614,slurm_normal,1518436190.0,0,7680.0,1.0,main_w4_handler0,3426092,18348610,False,35069081,fasta,,12433162,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33805821}]",,"""""","""""","""false""","""false""","""plus""","""""","""false""",32.0,,43854181.0,1518436186.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_dereplication/1.9.7.0,1.9.7.0,,2018-02-12 11:49:51.623221,77009.0,4.0
2018-02-26 22:19:47.003019,slurm_normal,1519683727.0,0,7680.0,1.0,main_w4_handler0,3435022,18528682,False,11411774,fasta,,12624922,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 34084024}]",,"""""","""""","""false""","""false""","""plus""","""""","""false""",32.0,,44011991.0,1519683685.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_dereplication/1.9.7.0,1.9.7.0,,2018-02-26 22:22:09.624261,,42.0
2017-06-19 07:03:58.376047,slurm_normal,1497855865.0,0,,1.0,main_w4_handler1,3162423,16129573,False,1500870,fasta,,10209923.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30075940}]",,"""""","""""","""false""","""true""","""both""","""""","""false""",32.0,,37935860.0,1497855861.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_dereplication/1.9.7.0,1.9.7.0,,2017-06-19 07:04:28.434368,105601.0,4.0
2017-06-19 07:03:56.122436,slurm_normal,1497855872.0,0,,1.0,main_w3_handler1,3162423,16129569,False,1224088,fasta,,10209926.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30075936}]",,"""""","""""","""false""","""true""","""both""","""""","""false""",32.0,,37935860.0,1497855866.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_dereplication/1.9.7.0,1.9.7.0,,2017-06-19 07:04:35.011735,105601.0,6.0
2017-06-19 07:03:57.802768,slurm_normal,1497855888.0,0,,1.0,main_w3_handler1,3162423,16129572,False,994961,fasta,,10209929.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30075939}]",,"""""","""""","""false""","""true""","""both""","""""","""false""",32.0,,37935860.0,1497855884.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_dereplication/1.9.7.0,1.9.7.0,,2017-06-19 07:04:51.923246,105601.0,4.0
2017-06-19 07:03:55.038671,slurm_normal,1497855849.0,0,,1.0,main_w3_handler1,3162423,16129566,False,1261301,fasta,,10209919.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30075933}]",,"""""","""""","""false""","""true""","""both""","""""","""false""",32.0,,37935860.0,1497855845.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_dereplication/1.9.7.0,1.9.7.0,,2017-06-19 07:04:15.327841,105601.0,4.0
2017-06-19 07:03:54.522421,slurm_normal,1497855849.0,0,,1.0,main_w3_handler1,3162423,16129565,False,1120233,fasta,,10209918.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30075932}]",,"""""","""""","""false""","""true""","""both""","""""","""false""",32.0,,37935860.0,1497855845.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_dereplication/1.9.7.0,1.9.7.0,,2017-06-19 07:04:14.508573,105601.0,4.0
2016-04-26 21:21:58.645414,slurm_normal,1461705740.0,0,,1.0,main_w1_handler1,2660955,12630977,False,3891147,fasta,,6833327.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b502c1467360e19304'}]",,"""""","""""","""false""","""true""","""plus""","""""","""false""",32.0,,29849902.0,1461705736.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_dereplication/1.9.7.0,1.9.7.0,,2016-04-26 21:22:26.380606,82093.0,4.0
2016-04-26 21:21:59.044946,slurm_normal,1461705743.0,0,,1.0,main_w2_handler1,2660955,12630978,False,3219198,fasta,,6833329.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d430d11830367ab2'}]",,"""""","""""","""false""","""true""","""plus""","""""","""false""",32.0,,29849902.0,1461705739.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_dereplication/1.9.7.0,1.9.7.0,,2016-04-26 21:22:28.675211,82093.0,4.0
2016-09-08 05:50:20.484236,slurm_normal,1473313859.0,0,,1.0,main_w4_handler0,674631,13803549,False,126463804,fasta,,8024075.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54fe6247d812cbaa7'}]",,"""""","""""","""false""","""false""","""plus""","""""","""false""",32.0,,31465241.0,1473313836.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_dereplication/1.9.7.0,1.9.7.0,,2016-09-08 05:51:02.650346,15035.0,23.0
2016-09-08 03:38:55.380029,slurm_normal,1473305999.0,0,,1.0,main_w3_handler1,674631,13803125,False,89727591,fasta,,8023688.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5adc7a1d91ed99be9'}]",,"""""","""""","""false""","""false""","""plus""","""""","""false""",32.0,,31465241.0,1473305951.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_dereplication/1.9.7.0,1.9.7.0,,2016-09-08 03:40:02.025323,15035.0,48.0
