create_time,design,design_filetype,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,otu,otu_filetype,param_filename,parameters.aalpha,parameters.chromInfo,parameters.class,parameters.curv,parameters.dbkey,parameters.design.values,parameters.fboots,parameters.iters,parameters.lda,parameters.minc,parameters.norm,parameters.otu.values,parameters.sclass,parameters.strict,parameters.walpha,parameters.wilc,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-12-21 01:41:21.979528,230,mothur.design,reserved_normal,1513820498.0,0,1.0,main_w4_handler0,3280912,17866053,False,,11938092.roundup,slurm,,132112168.0,corral-repl,15949,mothur.shared,,"""0.05""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""false""","""?""","[{'src': 'hda', 'id': 31618538}]","""0.67""","""30""","""2.0""","""10""","""true""","[{'src': 'hda', 'id': 33025302}]","""""","""0""","""0.05""","""true""",32.0,,42691248,1513820494.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_lefse/mothur_lefse/1.36.1.0,1.36.1.0,,2017-12-21 01:41:42.683141,5254,4.0
2018-01-18 06:31:00.615043,230,mothur.design,slurm_normal,1516257068.0,0,1.0,main_w4_handler0,3395242,18068750,False,,12147275,slurm,,132112168.0,corral-repl,15542,mothur.shared,,"""0.05""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""false""","""?""","[{'src': 'hda', 'id': 33350072}]","""0.67""","""30""","""2.0""","""10""","""true""","[{'src': 'hda', 'id': 33364206}]","""""","""0""","""0.05""","""true""",32.0,,43244112,1516257063.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_lefse/mothur_lefse/1.36.1.0,1.36.1.0,,2018-01-18 06:31:09.643370,120071,5.0
