create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-01-09 21:24:55.294039,rodeo_normal,1420838723.0,0.0,1.0,main_w2_handler0,1925047,8523501,False,,104398,fasta,2445196.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18171257,,32.0,,19974181,1420838720.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: banana3/5.0.0,5.0.0,,2015-01-09 21:25:27.546854,9791.0,3.0
2015-01-09 21:41:17.476080,rodeo_normal,1420839695.0,0.0,1.0,main_w2_handler1,1925047,8523726,False,,22536,fasta,731023.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18171600,,2.0,,19974181,1420839691.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: banana3/5.0.0,5.0.0,,2015-01-09 21:41:39.350229,9791.0,4.0
2015-01-09 21:45:07.576333,rodeo_normal,1420839932.0,0.0,1.0,main_w2_handler0,1925047,8523741,False,,5453,fasta,2445346.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18171647,,32.0,,19974181,1420839925.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: banana3/5.0.0,5.0.0,,2015-01-09 21:45:40.424431,9791.0,7.0
2014-10-08 08:04:07.447772,roundup_single,1412755458.0,0.0,1.0,main_w1_handler1,1926809,7945963,False,,636,fasta,1923667,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17160738,,32.0,,17457440,1412755456.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: banana3/5.0.0,5.0.0,,2014-10-08 08:04:20.367935,7843.0,2.0
2014-11-10 16:21:46.941834,rodeo_normal,1415636516.0,0.0,1.0,main_w2_handler1,1908687,8136196,False,,278541,fasta,1973387.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17484839,,32.0,,17192791,1415636514.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: banana3/5.0.0,5.0.0,,2014-11-10 16:22:01.030553,11898.0,2.0
2014-11-10 16:21:57.159282,rodeo_normal,1415636527.0,0.0,1.0,main_w1_handler0,1908687,8136199,False,,225960,fasta,1973391.roundup,slurm,,132112068.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17484833,,32.0,,17192791,1415636525.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: banana3/5.0.0,5.0.0,,2014-11-10 16:22:13.470042,11898.0,2.0
2014-11-10 22:05:35.887852,rodeo_normal,1415657168.0,0.0,1.0,main_w2_handler1,1908687,8138874,False,,226935,fasta,1976885.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17484836,,32.0,,17192791,1415657150.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: banana3/5.0.0,5.0.0,,2014-11-10 22:06:13.344311,11898.0,18.0
2014-11-10 22:05:21.405837,rodeo_normal,1415657472.0,0.0,1.0,main_w2_handler1,1908687,8138872,False,,225960,fasta,1976883.roundup,slurm,,132112068.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17484833,,32.0,,17192791,1415657462.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: banana3/5.0.0,5.0.0,,2014-11-10 22:11:15.330470,11898.0,10.0
2014-11-14 06:36:19.385756,rodeo_normal,1415946991.0,0.0,1.0,main_w2_handler0,2115755,8165931,False,,8705,fasta,2010665.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17508478,,32.0,,18485951,1415946989.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: banana3/5.0.0,5.0.0,,2014-11-14 06:36:33.194665,55763.0,2.0
2015-02-19 08:44:48.895178,rodeo_normal,1424335498.0,0.0,1.0,main_w2_handler0,2200167,8764014,False,,33200766,fasta,2827138.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18537028,,32.0,,21293508,1424335496.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: banana3/5.0.0,5.0.0,,2015-02-19 08:45:00.183902,59755.0,2.0
2017-07-31 17:20:28.000609,slurm_normal,1501521641.0,0.0,1.0,main_w4_handler0,3205536,16470582,False,,62832,fasta,10538968.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 30699989}]",32.0,,39570999,1501521637.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: banana3/5.0.0,5.0.0,,2017-07-31 17:20:43.626731,30421.0,4.0
