chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.bam_paired_end_type.__current_case__,parameters.bam_paired_end_type.bam_paired_end_type_selector,parameters.bam_paired_end_type.force_se,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-10-31 19:38:20.094385,slurm_normal,1477963913.0,0,,1.0,main_w3_handler0,2876093,14220149,False,,1039439403,bam,8431828.roundup,slurm,,132112168.0,corral-repl,,,0,PE,false,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ee2e3e97ce82b479'}]",,32.0,,33019862.0,1477963567.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2016-11-01 01:31:56.807897,29303.0,346.0
,,2016-11-01 06:56:48.593575,slurm_normal,1477984201.0,0,,1.0,main_w3_handler1,2853250,14222643,False,,375401131,bam,8432833.roundup,slurm,,132112168.0,corral-repl,,"""5b6207bca00011e69946005056a51846""",0,PE,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5333803ed9ee983fb'}]",,32.0,,33650907.0,1477984074.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2016-11-01 07:10:05.138918,92137.0,127.0
,,2017-03-20 20:55:53.031065,slurm_normal,1490043644.0,0,,1.0,main_w3_handler1,2782999,15347528,False,,1058225822,bam,9487041.roundup,slurm,,132112168.0,corral-repl,,,1,SE,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28848254}]",,32.0,,36732397.0,1490043424.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2017-03-20 21:00:48.757033,75427.0,220.0
,,2017-03-20 20:55:24.978043,slurm_normal,1490043555.0,0,,1.0,main_w4_handler1,2782999,15347519,False,,945907877,bam,9487002.roundup,slurm,,132112168.0,corral-repl,,,1,SE,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28848245}]",,32.0,,36732397.0,1490043329.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2017-03-20 20:59:21.105721,75427.0,226.0
,,2017-03-20 20:55:42.223445,slurm_normal,1490043669.0,0,,1.0,main_w4_handler1,2782999,15347525,False,,1038397718,bam,9487012.roundup,slurm,,132112168.0,corral-repl,,,1,SE,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28848213}]",,32.0,,36732397.0,1490043349.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2017-03-20 21:01:12.718023,75427.0,320.0
,,2017-03-20 20:55:03.333911,slurm_normal,1490043682.0,0,,1.0,main_w3_handler0,2782999,15347518,False,,1039794924,bam,9487000.roundup,slurm,,132112168.0,corral-repl,,,1,SE,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28848153}]",,32.0,,36732397.0,1490043305.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2017-03-20 21:01:26.563915,75427.0,377.0
,,2016-11-01 11:17:36.457595,slurm_normal,1478006183.0,0,,1.0,main_w4_handler1,2853250,14223833,False,,2354132608,bam,8434419.roundup,slurm,,132112168.0,corral-repl,,"""c9b3f8dca02411e69011005056a52a46""",0,PE,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a1ac7e17b39e646e'}]",,32.0,,33650907.0,1478005260.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2016-11-01 13:16:25.653507,92137.0,923.0
,,2017-03-20 20:57:28.825371,slurm_normal,1490043855.0,0,,1.0,main_w3_handler0,2782999,15347680,False,,968785053,bam,9487063.roundup,slurm,,132112168.0,corral-repl,,,1,SE,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28848246}]",,32.0,,36732397.0,1490043652.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2017-03-20 21:04:21.914236,75427.0,203.0
,,2016-11-01 15:03:24.019370,slurm_normal,1478013062.0,0,,1.0,main_w4_handler1,2869911,14225347,False,,1534678113,bam,8435405.roundup,slurm,,132112168.0,corral-repl,,,0,PE,false,"""/galaxy-repl/localdata/chrom/hg38Patch2.len""","""hg38Patch2""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fd5dcf8c609df081'}]",,32.0,,33919661.0,1478012607.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2016-11-01 15:11:09.198217,89862.0,455.0
,,2017-03-20 20:57:14.966966,slurm_normal,1490043869.0,0,,1.0,main_w3_handler0,2782999,15347678,False,,1519953623,bam,9487057.roundup,slurm,,132112168.0,corral-repl,,,1,SE,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28848278}]",,32.0,,36732397.0,1490043563.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2017-03-20 21:04:35.972188,75427.0,306.0
