candidate,candidate_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.align,parameters.alignment.__current_case__,parameters.alignment.source,parameters.alignment.template.values,parameters.candidate.values,parameters.chromInfo,parameters.dbkey,parameters.reverse.__current_case__,parameters.reverse.flip,parameters.reverse.threshold,parameters.scoring.__current_case__,parameters.scoring.adjust,parameters.scoring.gapextend,parameters.scoring.gapopen,parameters.scoring.match,parameters.scoring.mismatch,parameters.search.__current_case__,parameters.search.ksize,parameters.search.method,processor_count,runner_name,session_id,start_epoch,state,swaptotal,template,template_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
164330793,fasta,,,2017-06-20 01:51:39.926585,slurm_normal,1497923587.0,0,1.0,main_w4_handler1,2885491,16138558,False,,10218294.roundup,slurm,,132112168.0,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 30077560}]","[{'src': 'hda', 'id': 30073413}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,,,,,2,,blast,32.0,,37775719,1497923519.0,ok,1023996.0,1564812819,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-06-20 01:53:09.159163,94144.0,68.0
1047,fasta,,,2017-04-10 11:26:46.562909,slurm_normal,1491823658.0,0,1.0,main_w3_handler0,1995864,15540023,False,,9665332.roundup,slurm,,132112168.0,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 29148240}]","[{'src': 'hda', 'id': 29148487}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,,,,,0,8,kmer,32.0,,37245771,1491823650.0,ok,1023996.0,12909378,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-04-10 11:28:00.484831,25840.0,8.0
131717,fasta,,,2017-03-25 07:32:00.250999,slurm_normal,1490427129.0,0,1.0,main_w3_handler1,3040505,15393730,False,,9529487.roundup,slurm,,132112168.0,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 28920538}]","[{'src': 'hda', 'id': 28920602}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,,,,,0,8,kmer,32.0,,36865503,1490427123.0,ok,1023996.0,411,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-03-25 07:32:11.719053,102522.0,6.0
736752432,fasta,,,2017-04-07 14:38:20.706467,slurm_normal,1491586867.0,0,1.0,main_w3_handler0,3063778,15521372,False,,9647626.roundup,slurm,,132112168.0,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 29119107}]","[{'src': 'hda', 'id': 29118975}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,,,,,0,8,kmer,32.0,,37191592,1491575903.0,ok,1023996.0,747991272,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-04-07 18:18:26.335805,97888.0,10964.0
1667,fasta,,,2017-03-28 05:44:43.820879,slurm_normal,1490723301.0,0,1.0,main_w3_handler0,3048561,15411855,False,,9547145.roundup,slurm,,132112168.0,corral-repl,,"""blast""",1,history,"[{'src': 'hda', 'id': 28949148}]","[{'src': 'hda', 'id': 28949090}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,1,yes,-1,-2,1,-1,2,,blast,32.0,,36921504,1490722997.0,ok,1023996.0,48993328,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-03-28 17:48:53.198333,,304.0
1786647379,fasta,,,2017-03-29 11:03:27.425214,slurm_normal,1490805641.0,0,1.0,main_w3_handler0,2952177,15423013,False,,9554989.roundup,slurm,,132112168.0,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 28967682}]","[{'src': 'hda', 'id': 28967369}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,,,,,0,8,kmer,32.0,,36949654,1490785411.0,ok,1023996.0,747991272,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-03-29 20:01:57.192272,97888.0,20230.0
240286945,fasta,,,2017-04-11 20:07:30.050863,slurm_normal,1491943277.0,0,1.0,main_w4_handler0,3060219,15559224,False,,9682883.roundup,slurm,,132112168.0,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 29176767}]","[{'src': 'hda', 'id': 29083543}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,,,,,0,8,kmer,32.0,,37276725,1491941259.0,ok,1023996.0,13670,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-04-11 20:42:48.289148,103439.0,2018.0
109918123,fasta,,,2017-03-30 07:31:48.042746,slurm_normal,1490860096.0,0,1.0,main_w4_handler0,3050702,15432351,False,,9564497.roundup,slurm,,132112168.0,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 28969786}]","[{'src': 'hda', 'id': 28982178}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,,,,,0,8,kmer,32.0,,36907121,1490859110.0,ok,1023996.0,324231169,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-03-30 08:00:46.477602,80831.0,986.0
201538796,fasta,,,2017-04-11 20:55:42.629309,slurm_normal,1491946921.0,0,1.0,main_w3_handler1,3060219,15559504,False,,9683233.roundup,slurm,,132112168.0,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 29176821}]","[{'src': 'hda', 'id': 29102135}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,,,,,0,8,kmer,32.0,,37276725,1491944154.0,ok,1023996.0,13671,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-04-11 21:49:23.869078,103439.0,2767.0
1786647379,fasta,,,2017-04-02 00:25:05.930636,slurm_normal,1491111446.0,0,1.0,main_w4_handler0,3051903,15459147,False,,9589419.roundup,slurm,,132112168.0,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 29022484}]","[{'src': 'hda', 'id': 29022488}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,,,,,0,8,kmer,32.0,,37043336,1491092733.0,ok,1023996.0,747991272,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-04-02 10:30:34.678676,97888.0,18713.0
350776043,fasta,,,2017-04-03 17:56:53.913868,slurm_normal,1491242643.0,0,1.0,main_w3_handler1,3056430,15474615,False,,9603543.roundup,slurm,,132112168.0,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 29039877}]","[{'src': 'hda', 'id': 29046580}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,,,,,0,8,kmer,32.0,,37076489,1491242218.0,ok,1023996.0,369,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-04-03 18:04:36.793705,103439.0,425.0
