chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.d,parameters.dbkey,parameters.dz,parameters.five,parameters.genome,parameters.genome.values,parameters.input,parameters.input.values,parameters.report.__current_case__,parameters.report.max,parameters.report.report_select,parameters.report.scale,parameters.report.zero_regions,parameters.split,parameters.strand,parameters.three,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-05-15 15:56:44.436522,slurm_normal,1463328931.0,0,1.0,293503194,gtf,main_w1_handler0,2675960,12902823,False,,8078464197,bam,7098040.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f1a39130dc340f1d'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f47055aa12c63a54'}]",0,,bg,1.0,false,"""true""","""""","""false""",32.0,,30248050.0,1463327942.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-05-15 16:15:34.453115,78081.0,989.0
,,2016-03-04 01:43:26.540198,slurm_normal,1457055934.0,0,1.0,2903656,tabular,main_w1_handler2,2620663,12016095,False,,329446048,bam,6245107.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/stapAure_MU50.len""","""False""","""stapAure_MU50""","""False""","""False""",23663386,,23663137,,0,,bg,1.0,False,"""False""","""""","""False""",32.0,,27453502.0,1457055891.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-03-04 01:45:35.812506,76799.0,43.0
,,2016-01-23 21:51:12.427471,slurm_normal,1453585972.0,0,1.0,6240864,gff,main_w2_handler0,2549611,11587415,False,,695433534,bam,5852919.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/caulCres.len""","""False""","""caulCres""","""False""","""False""",22773603,,22878120,,0,,bg,1.0,False,"""False""","""""","""False""",32.0,,27046423.0,1453585886.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-01-23 21:52:56.735182,75857.0,86.0
,,2016-05-24 20:40:43.660123,slurm_normal,1464122499.0,0,1.0,54877853,bed,main_w2_handler1,2716603,12977833,False,,54877853,bed,7165368.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""false""","""hg38""","""false""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5642a45bf587ddfa8'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5642a45bf587ddfa8'}]",0,,bg,1.0,true,"""false""","""""","""false""",32.0,,30405685.0,1464122474.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-05-24 20:41:41.697047,,25.0
,,2016-04-12 12:11:45.833097,slurm_normal,1460463958.0,0,1.0,4020,vcf,main_w1_handler2,2661026,12430020,False,,8299,bam,6630557.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""False""","""hg38""","""False""","""False""",24251808,,24270857,,1,300,hist,,,"""False""","""""","""False""",32.0,,29492858.0,1460463878.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-04-12 12:26:01.926946,82098.0,80.0
,,2016-04-12 12:07:39.031005,slurm_normal,1460464149.0,0,1.0,4020,vcf,main_w2_handler1,2661026,12429894,False,,8334,bam,6630598.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""False""","""hg38""","""False""","""False""",24251808,,24270752,,1,300,hist,,,"""False""","""""","""False""",32.0,,29492858.0,1460464125.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-04-12 12:29:12.024612,82098.0,24.0
,,2016-10-04 01:32:37.733273,slurm_normal,1475545078.0,0,1.0,153,tabular,main_w3_handler0,2661725,14001626,False,,1807340442,bam,8220589.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/014/978/dataset_14978812.dat""","""false""","""Arabidopsis_v1""","""false""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5efd1c910f82dcc4e'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59d91a8c92399da6e'}]",0,,bg,0.91,true,"""true""","""""","""false""",32.0,,31532520.0,1475544833.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-10-04 01:38:00.797085,73455.0,245.0
,,2016-05-31 21:55:23.038253,slurm_normal,1464732035.0,0,1.0,3137162640,tabular,main_w1_handler0,2723453,13034396,False,,1640392453,bam,7213907.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a13d88162497b92d'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ce14ad4bd9567d78'}]",0,,bg,0.022592156,false,"""true""","""""","""false""",32.0,,30383588.0,1464731791.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-05-31 22:00:37.079272,80466.0,244.0
,,2016-03-07 22:48:42.173456,slurm_normal,1457391234.0,0,1.0,401019944,bed,main_w1_handler2,2624475,12062196,False,,401019944,bed,6284564.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""False""","""sacCer3""","""False""","""False""",23728068,,23728068,,0,,bg,1.0,False,"""False""","""""","""False""",32.0,,28648787.0,1457391179.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-03-07 22:54:00.392954,54241.0,55.0
,,2016-05-02 15:18:59.547650,slurm_normal,1462202618.0,0,1.0,53827,tabular,main_w1_handler0,2686884,12734635,False,,2061299725,bam,6932819.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/015/594/dataset_15594567.dat""","""false""","""BAC_one_repeat_new_1""","""false""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57e34538247b39067'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c7d3e622a66afbc5'}]",0,,bg,1.0,true,"""false""","""""","""false""",32.0,,28293721.0,1462202459.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-05-02 15:23:41.411936,50472.0,159.0
