chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile1,inputFile1_filetype,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.filter_type.__current_case__,parameters.filter_type.filter,parameters.filter_type.read_list_file,parameters.inputFile,parameters.inputFile.values,parameters.validation_stringency,processor_count,read_list_file,read_list_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-11 18:47:16.625263,slurm_normal_single_16gb,1426099691.0,0,1.0,main_w2_handler1,2230304,8918802,False,,139209021,139209021.0,bam,bam,3112784.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,includeAligned,,"""18808229""",,"""LENIENT""",32.0,,,,21640389,1426099646.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FilterSamReads/1.126.0,1.126.0,,2015-03-11 18:48:16.585085,40413.0,45.0
,,2015-03-13 20:39:06.883328,slurm_normal_single_16gb,1426279159.0,0,1.0,main_w1_handler1,2179587,8945583,False,,1594,1594.0,bam,bam,3161562.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,includeAligned,,"""18852950""",,"""LENIENT""",32.0,,,,21785687,1426279156.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FilterSamReads/1.126.0,1.126.0,,2015-03-13 20:39:22.066584,57554.0,3.0
,,2017-07-07 08:12:51.270619,slurm_normal,1499415187.0,0,1.0,main_w4_handler1,3183597,16280128,False,,1770,1770.0,bam,bam,10350581.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,includeAligned,,,"[{'src': 'hda', 'id': 30344264}]","""LENIENT""",32.0,,,,39151753,1499415181.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FilterSamReads/1.126.0,1.126.0,,2017-07-07 08:13:09.423865,107174.0,6.0
,,2015-03-25 13:53:49.340423,slurm_normal_single_16gb,1427291858.0,0,1.0,main_w1_handler1,2239783,9033306,False,,1430788675,1430788675.0,sam,sam,3318676.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,includeAligned,,"""18989802""",,"""LENIENT""",32.0,,,,20933346,1427291665.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FilterSamReads/1.126.0,1.126.0,,2015-03-25 13:57:43.640335,59071.0,193.0
,,2015-03-25 20:20:56.770967,slurm_normal_single_16gb,1427315174.0,0,1.0,main_w2_handler1,2161037,9038766,False,,335839707,335839707.0,sam,sam,3324076.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,includeAligned,,"""18998444""",,"""LENIENT""",32.0,,,,22023072,1427314925.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FilterSamReads/1.126.0,1.126.0,,2015-03-25 20:26:18.390886,55517.0,249.0
,,2015-03-31 21:06:28.926929,slurm_normal_single_16gb,1427836254.0,0,1.0,main_w1_handler1,2251998,9106645,False,,402377198,402377198.0,bam,bam,3391950.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,includeAligned,,"""19092443""",,"""STRICT""",32.0,,,,22076587,1427836047.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FilterSamReads/1.126.0,1.126.0,,2015-03-31 21:11:02.737844,,207.0
,,2015-03-31 21:05:59.614924,slurm_normal_single_16gb,1427836027.0,0,1.0,main_w2_handler0,2251998,9106630,False,,139950986,139950986.0,bam,bam,3391934.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,includeAligned,,"""19092450""",,"""STRICT""",32.0,,,,22076587,1427835973.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FilterSamReads/1.126.0,1.126.0,,2015-03-31 21:07:10.018452,,54.0
,,2015-04-01 03:19:07.311546,slurm_normal_single_16gb,1427858368.0,0,1.0,main_w2_handler1,2256108,9109169,False,,2413396,2413396.0,sam,sam,3394730.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/790/dataset_10790205.dat""","""SalpinusMtGenome""",0,includeAligned,,"""19096684""",,"""LENIENT""",32.0,,,,22187414,1427858362.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FilterSamReads/1.126.0,1.126.0,,2015-04-01 03:19:30.833237,43765.0,6.0
,,2015-06-19 16:17:53.059213,slurm_normal_16gb,1434736579.0,0,1.0,main_w1_handler1,2346538,9693674,False,,182336162,182336162.0,sam,sam,4003003.roundup,slurm,,132112168.0,corral-repl,,"""b9ff8426169e11e58235005056a51846""","""/galaxy-repl/localdata/chrom/384.len""","""384""",1,excludeAligned,,"""20071413""",,"""LENIENT""",32.0,,,,23724390,1434736554.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FilterSamReads/1.126.0,1.126.0,,2015-06-19 17:56:22.077075,46265.0,25.0
,,2015-04-06 13:08:06.285490,slurm_normal_64gb,1428325737.0,0,1.0,main_w2_handler1,2253735,9149373,False,,21852791,21852791.0,bam,bam,3432244,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/papHam.len""","""papHam""",0,includeAligned,,"""19157675""",,"""LENIENT""",32.0,,,,22270999,1428325698.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FilterSamReads/1.126.0,1.126.0,,2015-04-06 13:09:02.093401,61657.0,39.0
