candidate,candidate_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.align,parameters.alignment.__current_case__,parameters.alignment.source,parameters.alignment.template.values,parameters.candidate.values,parameters.candidate|__identifier__,parameters.chromInfo,parameters.dbkey,parameters.reverse.__current_case__,parameters.reverse.flip,parameters.reverse.threshold,parameters.scoring.__current_case__,parameters.scoring.adjust,parameters.search.__current_case__,parameters.search.ksize,parameters.search.method,processor_count,runner_name,session_id,start_epoch,state,swaptotal,template,template_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
55863308,fasta,2017-12-15 07:48:58.924967,slurm_normal,1513324303.0,0,,1.0,main_w3_handler0,3362851,17815082,False,,11883659,slurm,,132112168.0,corral-repl,,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32930234}]","[{'src': 'hda', 'id': 32931285}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,no,,1,no,0,8,kmer,32.0,,42637395.0,1513324152.0,ok,1023996.0,367,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-12-15 07:51:47.305222,118505.0,151.0
55863308,fasta,2017-12-15 08:38:30.534561,slurm_normal,1513327186.0,0,,1.0,main_w4_handler1,3362851,17815250,False,,11883843,slurm,,132112168.0,corral-repl,,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32944816}]","[{'src': 'hda', 'id': 32931285}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,no,,1,no,0,8,kmer,32.0,,42637395.0,1513327122.0,ok,1023996.0,94,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-12-15 08:39:49.856346,118505.0,64.0
26132742,fasta,2018-03-02 04:46:34.185726,slurm_normal,1519966879.0,0,7680.0,1.0,main_w4_handler0,3447749,18576309,False,,12670578,slurm,,132112168.0,corral-repl,,,"""needleman""",1,history,"[{'src': 'hda', 'id': 34143080}]","[{'src': 'hda', 'id': 34162834}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,no,,1,no,0,8,kmer,32.0,,44116570.0,1519966004.0,ok,1023996.0,747991272,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2018-03-02 05:01:22.163748,122045.0,875.0
4929859,fasta,2017-10-06 19:32:16.445633,slurm_normal,1507318398.0,0,,1.0,main_w4_handler1,3278085,17043099,False,,11100385.roundup,slurm,,132112168.0,corral-repl,,,"""needleman""",1,history,"[{'src': 'hda', 'id': 31588455}]","[{'src': 'hda', 'id': 31589232}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,no,,1,no,0,8,kmer,32.0,,41097146.0,1507318341.0,ok,1023996.0,200975572,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-10-06 19:33:22.179381,112430.0,57.0
8773633,fasta,2017-11-15 16:03:51.528446,slurm_normal,1510762498.0,0,,1.0,main_w4_handler0,3307116,17470843,False,,11527966,slurm,,132112168.0,corral-repl,,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32100580}]","[{'src': 'hda', 'id': 32336393}]","""2_1.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,32.0,,41551881.0,1510762200.0,ok,1023996.0,561987659,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-11-15 16:17:28.700046,50169.0,298.0
4943160,fasta,2018-02-02 15:22:42.178564,slurm_normal,1517585037.0,0,,1.0,main_w3_handler0,3306412,18236460,False,,12316989,slurm,,132112168.0,corral-repl,,,"""needleman""",1,history,"[{'src': 'hda', 'id': 33635958}]","[{'src': 'hda', 'id': 33635882}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,32.0,,43637261.0,1517584977.0,ok,1023996.0,200975572,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2018-02-02 15:24:00.785527,114838.0,60.0
4929859,fasta,2017-10-06 10:50:47.469869,slurm_normal,1507287660.0,0,,1.0,main_w4_handler0,3277547,17038410,False,,11095550.roundup,slurm,,132112168.0,corral-repl,,,"""needleman""",1,history,"[{'src': 'hda', 'id': 31581318}]","[{'src': 'hda', 'id': 31581779}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,no,,1,no,0,8,kmer,32.0,,39823809.0,1507287607.0,ok,1023996.0,200975572,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-10-06 11:01:16.947364,29532.0,53.0
4929859,fasta,2017-12-17 09:02:21.680453,slurm_normal,1513501400.0,0,,1.0,main_w3_handler0,3368213,17828523,False,,11902022,slurm,,132112168.0,corral-repl,,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32969462}]","[{'src': 'hda', 'id': 32969551}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,no,,1,no,0,8,kmer,32.0,,42702488.0,1513501350.0,ok,1023996.0,200975572,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-12-17 09:03:22.467085,97420.0,50.0
181942,fasta,2017-10-04 20:56:09.449031,slurm_normal,1507150610.0,0,,1.0,main_w3_handler0,3269248,17026971,False,,11082726.roundup,slurm,,132112168.0,corral-repl,,,"""blast""",1,history,"[{'src': 'hda', 'id': 31557170}]","[{'src': 'hda', 'id': 31561924}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,32.0,,40904403.0,1507150591.0,ok,1023996.0,200694,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-10-04 20:57:00.368618,112385.0,19.0
181942,fasta,2017-10-04 21:07:21.274096,slurm_normal,1507151273.0,0,,1.0,main_w3_handler0,3269248,17027023,False,,11082781.roundup,slurm,,132112168.0,corral-repl,,,"""blast""",1,history,"[{'src': 'hda', 'id': 31557170}]","[{'src': 'hda', 'id': 31561924}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.3192,1,no,0,8,kmer,32.0,,40904403.0,1507151256.0,ok,1023996.0,200694,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-10-04 21:08:02.696608,112385.0,17.0
