create_time,destination_id,end_epoch,exit_code,fasta_in,fasta_in_filetype,galaxy_memory_mb,galaxy_slots,group_in,group_in_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.groupnames.__current_case__,parameters.groupnames.groups,parameters.groupnames.shared_in.values,parameters.groupnames.source,processor_count,runner_name,session_id,shared_in,shared_in_filetype,start_epoch,state,swaptotal,taxonomy_in,taxonomy_in_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-12-17 16:50:01.512560,slurm_normal,1513529416.0,0,28312.0,fasta,,1.0,3357.0,mothur.count_table,main_w4_handler1,3368213,17830793,False,,11904257,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,,32.0,,42702488,,,1513529411.0,ok,1023996.0,387446.0,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_groups/mothur_remove_groups/1.36.1.0,1.36.1.0,,2017-12-17 16:50:18.148626,97420.0,5.0
2017-12-18 20:24:27.072555,reserved_normal,1513628684.0,0,1101918.0,fasta,,1.0,227553.0,mothur.count_table,main_w3_handler1,3280912,17841454,False,,11915712.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,,32.0,,42691248,,,1513628676.0,ok,1023996.0,383849.0,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_groups/mothur_remove_groups/1.36.1.0,1.36.1.0,,2017-12-18 20:24:46.839513,5254.0,8.0
2017-10-06 12:02:01.665009,slurm_normal,1507291345.0,0,1101918.0,fasta,,1.0,3357.0,mothur.count_table,main_w3_handler0,3277547,17038913,False,,11096065.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,,32.0,,39823809,,,1507291339.0,ok,1023996.0,383719.0,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_groups/mothur_remove_groups/1.36.1.0,1.36.1.0,,2017-10-06 12:02:33.286238,29532.0,6.0
2017-10-06 20:59:58.632612,slurm_normal,1507323621.0,0,1101918.0,fasta,,1.0,227553.0,mothur.count_table,main_w3_handler0,3278085,17043583,False,,11100909.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,,32.0,,41097146,,,1507323616.0,ok,1023996.0,383857.0,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_groups/mothur_remove_groups/1.36.1.0,1.36.1.0,,2017-10-06 21:00:32.101171,112430.0,5.0
2017-10-24 08:08:46.791878,slurm_normal,1508832546.0,0,,,,1.0,20790773.0,mothur.groups,main_w3_handler0,3297472,17187854,False,,11248708,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,,32.0,,39887525,,,1508832536.0,ok,1023996.0,,,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_groups/mothur_remove_groups/1.36.1.0,1.36.1.0,,2017-10-24 08:09:08.996077,105062.0,10.0
2017-10-30 16:02:33.277528,slurm_normal,1509379386.0,0,,,,1.0,49136.0,mothur.count_table,main_w3_handler0,3304442,17266218,False,,11325308,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,,32.0,,39677360,,,1509379381.0,ok,1023996.0,,,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_groups/mothur_remove_groups/1.36.1.0,1.36.1.0,,2017-10-30 16:03:13.690960,654.0,5.0
2017-10-30 16:13:29.217516,slurm_normal,1509380076.0,0,341043.0,fasta,,1.0,49136.0,mothur.count_table,main_w4_handler1,3304442,17266323,False,,11325442,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,,32.0,,39677360,,,1509380071.0,ok,1023996.0,125438.0,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_groups/mothur_remove_groups/1.36.1.0,1.36.1.0,,2017-10-30 16:14:54.714777,654.0,5.0
2017-11-02 07:55:33.800854,slurm_normal,1509609355.0,0,,,,1.0,,,main_w4_handler1,3307905,17295445,False,,11357726,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1.0,['BF7_S9_L001_001'],"[{'src': 'hda', 'id': 32018293}]",shared,32.0,,41627267,4276.0,mothur.shared,1509609350.0,ok,1023996.0,,,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_groups/mothur_remove_groups/1.36.1.0,1.36.1.0,,2017-11-02 07:56:01.702663,36706.0,5.0
2017-11-02 08:01:23.532418,slurm_normal,1509609704.0,0,16716334.0,fasta,,1.0,2139790.0,mothur.count_table,main_w4_handler0,3307905,17295502,False,,11357821,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,,32.0,,41627267,,,1509609697.0,ok,1023996.0,3966920.0,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_groups/mothur_remove_groups/1.36.1.0,1.36.1.0,,2017-11-02 08:01:46.901662,36706.0,7.0
2017-11-04 14:50:36.307955,slurm_normal,1509807066.0,0,1105294.0,fasta,,1.0,228261.0,mothur.count_table,main_w4_handler1,3310785,17327452,False,,11389007,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,,32.0,,40381825,,,1509807061.0,ok,1023996.0,385196.0,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_groups/mothur_remove_groups/1.36.1.0,1.36.1.0,,2017-11-04 14:51:15.011916,94887.0,5.0
