create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.nlabel,parameters.plabel,parameters.ruler,parameters.width,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-04-17 00:29:36.412344,slurm_normal,1429230601.0,0.0,1.0,main_w2_handler1,2272964,9251087,False,,1680,fasta,12756.rodeo,slurm,,16332488.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",19323403,,"""yes""","""yes""","""yes""","""60""",2.0,,22536353,1429230595.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2015-04-17 00:30:04.900872,62153.0,6.0
2015-04-21 17:39:27.423388,slurm_normal,1429638460.0,0.0,1.0,main_w1_handler0,2276704,9291483,False,,1680,fasta,3603313.roundup,slurm,,132112168.0,corral-repl,,"""570605eae84d11e4955a005056a52a46""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",19404170,,"""yes""","""yes""","""yes""","""60""",32.0,,22536353,1429638456.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2015-04-21 17:48:03.766564,62153.0,4.0
2015-06-26 07:42:17.115388,slurm_normal,1435304642.0,0.0,1.0,main_w1_handler1,288224,9737912,False,,134794451,fasta,4043624,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20143012,,"""yes""","""yes""","""yes""","""60""",32.0,,23845059,1435304633.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2015-06-26 07:44:06.165132,2806.0,9.0
2015-07-30 08:32:50.637417,slurm_normal,1438245197.0,0.0,1.0,main_w1_handler1,1655773,10030983,False,,147597,fasta,4312226.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20624534,,"""yes""","""yes""","""yes""","""60""",32.0,,24184197,1438245191.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2015-07-30 08:33:20.637072,40506.0,6.0
2015-07-02 15:44:39.472998,slurm_normal,1435851912.0,0.0,1.0,main_w2_handler1,2350015,9782385,False,,1852457,fasta,4084687.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20213248,,"""yes""","""yes""","""yes""","""60""",32.0,,23833985,1435851908.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2015-07-02 15:45:17.661309,54884.0,4.0
2015-07-16 05:58:02.145565,slurm_normal,1437026323.0,0.0,1.0,main_w2_handler1,2372487,9878580,False,,17714,fasta,4168807.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20373141,,"""yes""","""yes""","""yes""","""60""",32.0,,23817536,1437026318.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2015-07-16 05:58:46.283936,65256.0,5.0
2015-09-07 22:58:01.583890,slurm_normal,1441666706.0,0.0,1.0,main_w1_handler2,2431022,10274238,False,,584945,fasta,4560406.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21034602,,"""yes""","""yes""","""yes""","""60""",32.0,,25061993,1441666702.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2015-09-07 22:58:29.013551,,4.0
2015-09-07 22:59:24.702019,slurm_normal,1441666792.0,0.0,1.0,main_w2_handler0,2431022,10274239,False,,584945,fasta,4560407.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21034602,,"""no""","""no""","""no""","""60""",32.0,,25061993,1441666787.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2015-09-07 22:59:53.812208,,5.0
2016-02-02 19:29:26.429697,slurm_normal,1454441414.0,0.0,1.0,main_w1_handler1,2570881,11685149,False,,88451740,fasta,5940886.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23073289,,"""yes""","""yes""","""yes""","""60""",32.0,,27553356,1454441408.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2016-02-02 19:30:28.476100,,6.0
2016-09-08 04:04:32.190846,slurm_normal,1473307489.0,0.0,1.0,main_w4_handler1,2796298,13803243,False,,2361,fasta,8023768.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56852fe5b41129c4b'}]","""yes""","""yes""","""yes""","""60""",32.0,,32766319,1473307486.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2016-09-08 04:04:50.387912,88711.0,3.0
