create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.clps,parameters.dbkey,parameters.img,parameters.input.values,parameters.name,parameters.slop,parameters.sort,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-05-04 07:56:50.942218,slurm_normal,1493884632.0,0,,1.0,main_w4_handler1,3096389,15744366,False,,39224156,bed,9853658.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""png""","[{'src': 'hda', 'id': 29450815}]","""false""","""0""","""base""",32.0,,37733644,1493884616.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtoigv/2.26.0.0,2.26.0.0,,2017-05-04 07:57:14.092506,,16.0
2017-05-09 10:00:13.086372,slurm_normal,1494324027.0,0,,1.0,main_w3_handler0,3094535,15788928,False,,213074,bed,9894833.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/017/914/dataset_17914164.dat""","""false""","""PbANKA_v29""","""png""","[{'src': 'hda', 'id': 29506141}]","""false""","""0""","""""",32.0,,37850696,1494324021.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtoigv/2.26.0.0,2.26.0.0,,2017-05-09 10:00:31.007026,90526.0,6.0
2017-06-22 10:28:19.624111,slurm_normal,1498127909.0,0,,1.0,main_w4_handler0,3029670,16162749,False,,3707059650,bed,10240467.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""false""","""hg38""","""png""","[{'src': 'hda', 'id': 30124474}]","""false""","""0""","""""",32.0,,38814961,1498127320.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtoigv/2.26.0.0,2.26.0.0,,2017-06-22 10:38:31.959459,101938.0,589.0
2017-05-30 18:09:12.359213,slurm_normal,1496167770.0,0,,1.0,main_w4_handler1,3128861,15971449,False,,5497675,bed,10068028.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/eschColi_K12.len""","""false""","""eschColi_K12""","""png""","[{'src': 'hda', 'id': 29821333}]","""false""","""0""","""""",32.0,,38240074,1496167765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtoigv/2.26.0.0,2.26.0.0,,2017-05-30 18:09:36.118664,106694.0,5.0
2017-04-11 01:35:52.968195,slurm_normal,1491874915.0,0,,1.0,main_w4_handler1,3065149,15548439,False,,829248567,bed,9673118.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""png""","[{'src': 'hda', 'id': 29160502}]","""false""","""0""","""position""",32.0,,37223162,1491874571.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtoigv/2.26.0.0,2.26.0.0,,2017-04-11 01:41:59.242646,103827.0,344.0
2017-04-10 17:09:57.021167,slurm_normal,1491844229.0,0,,1.0,main_w4_handler1,3067647,15543437,False,,2102769,bed,9668345.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/dm6.len""","""true""","""dm6""","""png""","[{'src': 'hda', 'id': 29153424}]","""true""","""0""","""""",32.0,,37254087,1491844213.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtoigv/2.26.0.0,2.26.0.0,,2017-04-10 17:10:34.674406,,16.0
2017-06-01 22:06:17.541697,slurm_normal,1496355942.0,0,,1.0,main_w3_handler1,3115227,15993535,False,,1459035206,bed,10088204.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""true""","""hg18""","""png""","[{'src': 'hda', 'id': 29651699}]","""false""","""0""","""""",32.0,,38028455,1496355365.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtoigv/2.26.0.0,2.26.0.0,,2017-06-01 22:25:44.611513,106112.0,577.0
2017-06-01 22:05:49.193259,slurm_normal,1496356247.0,0,,1.0,main_w3_handler0,3115227,15993530,False,,1149329134,bed,10088239.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""false""","""hg18""","""png""","[{'src': 'hda', 'id': 29651712}]","""false""","""0""","""""",32.0,,38028455,1496355848.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtoigv/2.26.0.0,2.26.0.0,,2017-06-01 22:30:53.458544,106112.0,399.0
2017-04-10 17:21:21.456743,slurm_normal,1491845330.0,0,,1.0,main_w4_handler0,3067647,15543543,False,,2102769,bed,9668511.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/dm6.len""","""false""","""dm6""","""svg""","[{'src': 'hda', 'id': 29153424}]","""false""","""100""","""base""",32.0,,37254087,1491845323.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtoigv/2.26.0.0,2.26.0.0,,2017-04-10 17:28:53.898007,,7.0
2017-06-02 14:42:47.438782,slurm_normal,1496415186.0,0,,1.0,main_w3_handler0,3115227,15999703,False,,1459035206,bed,10093924.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""true""","""hg18""","""png""","[{'src': 'hda', 'id': 29651699}]","""false""","""0""","""""",32.0,,38028455,1496414583.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bedtoigv/2.26.0.0,2.26.0.0,,2017-06-02 14:53:13.035692,106112.0,603.0
