create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.aligned_reads_only,parameters.assume_sorted,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.inputFile|__identifier__,parameters.pf_reads_only,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,parameters.validation_stringency,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-05-05 19:08:44.866296,slurm_normal_16gb,1430852958.0,0,1.0,main_w1_handler0,2294434,9402879,False,,45832014,bam,3733662.roundup,slurm,,132112168.0,corral-repl,,"""True""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19591591,,"""True""",0,hg19,cached,"""LENIENT""",32.0,,,,22890441,1430852938.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectBaseDistributionByCycle/1.126.0,1.126.0,,2015-05-05 19:09:24.887335,62631.0,20.0
2015-05-05 15:09:55.324516,slurm_normal_16gb,1430838774.0,0,1.0,main_w1_handler0,2294223,9400298,False,,53760788,bam,3731244.roundup,slurm,,132112168.0,corral-repl,,"""True""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19586886,,"""True""",0,hg19,cached,"""LENIENT""",32.0,,,,22890441,1430838623.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectBaseDistributionByCycle/1.126.0,1.126.0,,2015-05-05 15:13:05.357721,62631.0,151.0
2015-05-05 16:25:58.490663,slurm_normal_16gb,1430843310.0,0,1.0,main_w2_handler0,2294223,9401170,False,,35279391,bam,3732004.roundup,slurm,,132112168.0,corral-repl,,"""True""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19586892,,"""True""",0,hg19,cached,"""LENIENT""",32.0,,,,22890441,1430843188.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectBaseDistributionByCycle/1.126.0,1.126.0,,2015-05-05 16:28:41.942377,62631.0,122.0
2015-05-05 17:03:55.766759,slurm_normal_16gb,1430845502.0,0,1.0,main_w1_handler0,2294434,9401723,False,,53760788,bam,3732483.roundup,slurm,,132112168.0,corral-repl,,"""True""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19589526,,"""True""",0,hg19,cached,"""LENIENT""",32.0,,,,22890441,1430845455.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectBaseDistributionByCycle/1.126.0,1.126.0,,2015-05-05 17:05:08.519464,62631.0,47.0
2015-05-05 20:19:30.693797,slurm_normal_16gb,1430857455.0,0,1.0,main_w1_handler0,2294434,9403458,False,,561341310,bam,3734172.roundup,slurm,,132112168.0,corral-repl,,"""True""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19592242,,"""True""",0,hg19,cached,"""LENIENT""",32.0,,,,22890441,1430857202.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectBaseDistributionByCycle/1.126.0,1.126.0,,2015-05-05 20:24:23.435406,62631.0,253.0
2015-05-05 18:34:27.160486,slurm_normal_16gb,1430850968.0,0,1.0,main_w1_handler1,2294434,9402533,False,,72900550,bam,3733325.roundup,slurm,,132112168.0,corral-repl,,"""True""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19589816,"""BAB014RDFTA2KAPA.bam""","""True""",0,hg19,cached,"""LENIENT""",32.0,,,,22890441,1430850884.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectBaseDistributionByCycle/1.126.0,1.126.0,,2015-05-05 18:36:10.236685,62631.0,84.0
2015-05-05 18:34:29.596251,slurm_normal_16gb,1430851279.0,0,1.0,main_w1_handler0,2294434,9402534,False,,58963364,bam,3733410.roundup,slurm,,132112168.0,corral-repl,,"""True""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19589793,"""BAB014RDFTA1KAPA.bam""","""True""",0,hg19,cached,"""LENIENT""",32.0,,,,22890441,1430851244.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectBaseDistributionByCycle/1.126.0,1.126.0,,2015-05-05 18:41:24.452400,62631.0,35.0
2015-05-05 18:34:19.127420,slurm_normal_16gb,1430850960.0,0,1.0,main_w1_handler0,2294434,9402530,False,,64054529,bam,3733324.roundup,slurm,,132112168.0,corral-repl,,"""True""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19589850,"""BAB014RDFTA4KAPA.bam""","""True""",0,hg19,cached,"""LENIENT""",32.0,,,,22890441,1430850883.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectBaseDistributionByCycle/1.126.0,1.126.0,,2015-05-05 18:36:05.153106,62631.0,77.0
2015-05-05 18:34:35.992793,slurm_normal_16gb,1430851433.0,0,1.0,main_w1_handler0,2294434,9402537,False,,49071363,bam,3733433.roundup,slurm,,132112168.0,corral-repl,,"""True""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19589671,"""BAB014RD1406000.bam""","""True""",0,hg19,cached,"""LENIENT""",32.0,,,,22890441,1430851387.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectBaseDistributionByCycle/1.126.0,1.126.0,,2015-05-05 18:44:00.215836,62631.0,46.0
2015-05-05 18:34:46.631987,slurm_normal_16gb,1430851101.0,0,1.0,main_w2_handler1,2294434,9402542,False,,49365163,bam,3733337.roundup,slurm,,132112168.0,corral-repl,,"""True""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19589604,"""BAB014RD1329850.bam""","""True""",0,hg19,cached,"""LENIENT""",32.0,,,,22890441,1430850978.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectBaseDistributionByCycle/1.126.0,1.126.0,,2015-05-05 18:38:42.495722,62631.0,123.0
