chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_bams_0|input_bam,input_bams_0|input_bam_filetype,input_bams_10|input_bam,input_bams_10|input_bam_filetype,input_bams_11|input_bam,input_bams_11|input_bam_filetype,input_bams_12|input_bam,input_bams_12|input_bam_filetype,input_bams_13|input_bam,input_bams_13|input_bam_filetype,input_bams_14|input_bam,input_bams_14|input_bam_filetype,input_bams_15|input_bam,input_bams_15|input_bam_filetype,input_bams_16|input_bam,input_bams_16|input_bam_filetype,input_bams_17|input_bam,input_bams_17|input_bam_filetype,input_bams_18|input_bam,input_bams_18|input_bam_filetype,input_bams_19|input_bam,input_bams_19|input_bam_filetype,input_bams_1|input_bam,input_bams_1|input_bam_filetype,input_bams_20|input_bam,input_bams_20|input_bam_filetype,input_bams_21|input_bam,input_bams_21|input_bam_filetype,input_bams_22|input_bam,input_bams_22|input_bam_filetype,input_bams_23|input_bam,input_bams_23|input_bam_filetype,input_bams_24|input_bam,input_bams_24|input_bam_filetype,input_bams_25|input_bam,input_bams_25|input_bam_filetype,input_bams_26|input_bam,input_bams_26|input_bam_filetype,input_bams_27|input_bam,input_bams_27|input_bam_filetype,input_bams_28|input_bam,input_bams_28|input_bam_filetype,input_bams_29|input_bam,input_bams_29|input_bam_filetype,input_bams_2|input_bam,input_bams_2|input_bam_filetype,input_bams_30|input_bam,input_bams_30|input_bam_filetype,input_bams_31|input_bam,input_bams_31|input_bam_filetype,input_bams_32|input_bam,input_bams_32|input_bam_filetype,input_bams_33|input_bam,input_bams_33|input_bam_filetype,input_bams_34|input_bam,input_bams_34|input_bam_filetype,input_bams_35|input_bam,input_bams_35|input_bam_filetype,input_bams_3|input_bam,input_bams_3|input_bam_filetype,input_bams_4|input_bam,input_bams_4|input_bam_filetype,input_bams_5|input_bam,input_bams_5|input_bam_filetype,input_bams_6|input_bam,input_bams_6|input_bam_filetype,input_bams_7|input_bam,input_bams_7|input_bam_filetype,input_bams_8|input_bam,input_bams_8|input_bam_filetype,input_bams_9|input_bam,input_bams_9|input_bam_filetype,input_interval_repeat_0|input_intervals,input_interval_repeat_0|input_intervals_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.gatk_param_type.__current_case__,parameters.gatk_param_type.baq,parameters.gatk_param_type.baq_gap_open_penalty,parameters.gatk_param_type.default_base_qualities,parameters.gatk_param_type.disable_experimental_low_memory_sharding,parameters.gatk_param_type.downsampling_type.__current_case__,parameters.gatk_param_type.downsampling_type.downsampling_type_selector,parameters.gatk_param_type.gatk_param_type_selector,parameters.gatk_param_type.input_exclude_interval_repeat,parameters.gatk_param_type.input_interval_repeat,parameters.gatk_param_type.interval_merging,parameters.gatk_param_type.interval_set_rule,parameters.gatk_param_type.non_deterministic_random_seed,parameters.gatk_param_type.pedigree,parameters.gatk_param_type.pedigree_string_repeat,parameters.gatk_param_type.pedigree_validation_type,parameters.gatk_param_type.read_filter,parameters.gatk_param_type.read_group_black_list_repeat,parameters.gatk_param_type.use_original_qualities,parameters.gatk_param_type.validation_strictness,parameters.number,parameters.platform,parameters.read_group,parameters.reference_source.__current_case__,parameters.reference_source.input_bams,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,parameters.sample_file_repeat,parameters.sample_name_repeat,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-05-08 13:27:55.734169,slurm_normal,1431091744.0,0,1.0,main_w1_handler0,2269994,9429875,False,,26753597,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3757516.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",0,"[{'__index__': 0, 'input_bam': 19638124}]",hg_g1k_v37,cached,[],[],32.0,,,,22959690,1431091698.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-05-08 13:29:07.182124,62323,46.0
,,2015-06-01 19:25:36.287705,slurm_normal,1433186897.0,0,1.0,main_w2_handler1,723462,9575812,False,,587677751,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3888619.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",0,"[{'__index__': 0, 'input_bam': 19869197}]",hg_g1k_v37,cached,[],[],32.0,,,,23364590,1433186767.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-06-01 19:28:21.103955,4393,130.0
,,2015-06-07 16:45:15.866017,slurm_normal,1433703367.0,0,1.0,main_w1_handler0,2239793,9610530,False,,3399942,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3921799.roundup,slurm,,132112168.0,corral-repl,,"""8c1993260d3411e5a76f005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': 19936949}]",19893446,history,[],[],32.0,3199905909.0,fasta,,23230151,1433703279.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-06-07 18:58:58.252969,60995,88.0
,,2015-06-18 11:44:23.866663,slurm_normal,1434627951.0,0,1.0,main_w1_handler0,2347419,9681264,False,,153520,bam,231940.0,bam,191336.0,bam,218502.0,bam,237280.0,bam,205824.0,bam,190965.0,bam,166483.0,bam,209366.0,bam,188935.0,bam,201533.0,bam,165800.0,bam,202565.0,bam,222369.0,bam,206295.0,bam,239945.0,bam,122885.0,bam,193715.0,bam,252242.0,bam,212019.0,bam,207829.0,bam,198681.0,bam,129286.0,bam,193051.0,bam,201468.0,bam,151935.0,bam,169665.0,bam,276948.0,bam,186098.0,bam,161377.0,bam,159861.0,bam,131125.0,bam,172569.0,bam,60046.0,bam,167316.0,bam,167525.0,bam,,,3990763.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",0,"[{'__index__': 0, 'input_bam': 20050083}, {'__index__': 1, 'input_bam': 20050182}, {'__index__': 2, 'input_bam': 20050374}, {'__index__': 3, 'input_bam': 20050576}, {'__index__': 4, 'input_bam': 20050569}, {'__index__': 5, 'input_bam': 20050721}, {'__index__': 6, 'input_bam': 20050605}, {'__index__': 7, 'input_bam': 20051069}, {'__index__': 8, 'input_bam': 20051072}, {'__index__': 9, 'input_bam': 20050768}, {'__index__': 10, 'input_bam': 20050976}, {'__index__': 11, 'input_bam': 20050977}, {'__index__': 12, 'input_bam': 20051089}, {'__index__': 13, 'input_bam': 20051090}, {'__index__': 14, 'input_bam': 20051127}, {'__index__': 15, 'input_bam': 20051139}, {'__index__': 16, 'input_bam': 20051371}, {'__index__': 17, 'input_bam': 20051401}, {'__index__': 18, 'input_bam': 20051402}, {'__index__': 19, 'input_bam': 20051534}, {'__index__': 20, 'input_bam': 20051535}, {'__index__': 21, 'input_bam': 20051538}, {'__index__': 22, 'input_bam': 20051547}, {'__index__': 23, 'input_bam': 20051216}, {'__index__': 24, 'input_bam': 20051988}, {'__index__': 25, 'input_bam': 20051989}, {'__index__': 26, 'input_bam': 20051990}, {'__index__': 27, 'input_bam': 20051994}, {'__index__': 28, 'input_bam': 20051997}, {'__index__': 29, 'input_bam': 20051998}, {'__index__': 30, 'input_bam': 20050703}, {'__index__': 31, 'input_bam': 20051999}, {'__index__': 32, 'input_bam': 20052000}, {'__index__': 33, 'input_bam': 20052001}, {'__index__': 34, 'input_bam': 20052007}, {'__index__': 35, 'input_bam': 20052209}]",hg_g1k_v37,cached,[],[],32.0,,,,23696517,1434627923.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-06-18 11:45:55.528679,37866,28.0
,,2015-07-21 12:25:47.600096,slurm_normal,1437481589.0,0,1.0,main_w1_handler2,2383705,9926260,False,,9780741,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4213651.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",0,"[{'__index__': 0, 'input_bam': 20447847}]",hg_g1k_v37,cached,[],[],32.0,,,,23102447,1437481573.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-07-21 12:26:33.855435,63550,16.0
,,2015-07-21 12:25:44.767343,slurm_normal,1437481575.0,0,1.0,main_w1_handler1,2383705,9926259,False,,12895375,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4213649.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",0,"[{'__index__': 0, 'input_bam': 20447845}]",hg_g1k_v37,cached,[],[],32.0,,,,23102447,1437481563.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-07-21 12:26:20.979025,63550,12.0
,,2015-07-21 12:25:51.597824,slurm_normal,1437481586.0,0,1.0,main_w2_handler1,2383705,9926261,False,,9907166,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4213652.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",0,"[{'__index__': 0, 'input_bam': 20447849}]",hg_g1k_v37,cached,[],[],32.0,,,,23102447,1437481573.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-07-21 12:26:31.285662,63550,13.0
,,2015-07-23 23:04:01.582335,slurm_normal,1437692671.0,0,1.0,main_w1_handler1,2387359,9959882,False,,9875752,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4244459.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",0,"[{'__index__': 0, 'input_bam': 20507007}]",hg_g1k_v37,cached,[],[],32.0,,,,24252472,1437692658.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-07-23 23:04:34.391573,66663,13.0
,,2015-07-23 23:03:25.610021,slurm_normal,1437692741.0,0,1.0,main_w2_handler0,2387359,9959880,False,,13025923,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4244457.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",0,"[{'__index__': 0, 'input_bam': 20506955}]",hg_g1k_v37,cached,[],[],32.0,,,,24252472,1437692625.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-07-23 23:05:46.410558,66663,116.0
,,2015-07-23 23:04:16.748891,slurm_normal,1437692695.0,0,1.0,main_w1_handler2,2387359,9959883,False,,10003904,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4244461.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",0,"[{'__index__': 0, 'input_bam': 20507025}]",hg_g1k_v37,cached,[],[],32.0,,,,24252472,1437692681.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-07-23 23:05:01.366427,66663,14.0
