chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.tracks,parameters.tracks_0|input|__identifier__,parameters.tracks_1|input|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,tracks_0|input,tracks_0|input_filetype,tracks_10|input,tracks_10|input_filetype,tracks_11|input,tracks_11|input_filetype,tracks_12|input,tracks_12|input_filetype,tracks_13|input,tracks_13|input_filetype,tracks_14|input,tracks_14|input_filetype,tracks_15|input,tracks_15|input_filetype,tracks_16|input,tracks_16|input_filetype,tracks_17|input,tracks_17|input_filetype,tracks_18|input,tracks_18|input_filetype,tracks_19|input,tracks_19|input_filetype,tracks_1|input,tracks_1|input_filetype,tracks_20|input,tracks_20|input_filetype,tracks_21|input,tracks_21|input_filetype,tracks_22|input,tracks_22|input_filetype,tracks_23|input,tracks_23|input_filetype,tracks_24|input,tracks_24|input_filetype,tracks_25|input,tracks_25|input_filetype,tracks_26|input,tracks_26|input_filetype,tracks_2|input,tracks_2|input_filetype,tracks_3|input,tracks_3|input_filetype,tracks_4|input,tracks_4|input_filetype,tracks_5|input,tracks_5|input_filetype,tracks_6|input,tracks_6|input_filetype,tracks_7|input,tracks_7|input_filetype,tracks_8|input,tracks_8|input_filetype,tracks_9|input,tracks_9|input_filetype,update_time,user_id,runtime
,,2015-03-09 20:36:45.039870,rodeo_normal,1425933422.0,0,,1.0,main_w2_handler0,2224696,8901818,False,,3078537.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{""description"": ""User Supplied Track (from Galaxy)"", ""color"": ""0-0-0"", ""visibility"": ""1"", ""input"": 18794020, ""__index__"": 0, ""name"": ""User Track""}]",,,32.0,,21544493.0,1425933420.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ucsc_custom_track/build_ucsc_custom_track_1/1.0.0,1.0.0,,320.0,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-09 20:37:05.020667,,2.0
,,2015-03-10 03:13:06.846141,rodeo_normal,1425957198.0,0,,1.0,main_w2_handler1,2228645,8904027,False,,3083925.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{""description"": ""User Supplied Track (from Galaxy)"", ""color"": ""0-0-0"", ""visibility"": ""3"", ""input"": 18797054, ""__index__"": 0, ""name"": ""Overlapping CTCF""}, {""description"": ""User Supplied Track (from Galaxy)"", ""color"": ""255-0-0"", ""visibility"": ""3"", ""input"": 18797065, ""__index__"": 1, ""name"": ""Differentiated-specific CTCF""}, {""description"": ""User Supplied Track (from Galaxy)"", ""color"": ""0-0-255"", ""visibility"": ""3"", ""input"": 18797068, ""__index__"": 2, ""name"": ""Undifferentiated-specific CTCF""}]",,,32.0,,21251036.0,1425957194.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ucsc_custom_track/build_ucsc_custom_track_1/1.0.0,1.0.0,,26218.0,bed,,,,,,,,,,,,,,,,,,,,,11504.0,bed,,,,,,,,,,,,,,,2746.0,bed,,,,,,,,,,,,,,,2015-03-10 03:13:21.811845,59642.0,4.0
,,2015-03-11 14:25:43.965981,rodeo_normal,1426083958.0,0,,1.0,main_w1_handler1,1849378,8916679,False,,3109165.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""description"": ""User Supplied Track (from Galaxy)"", ""color"": ""0-0-0"", ""visibility"": ""1"", ""input"": 18815852, ""__index__"": 0, ""name"": ""User Track""}]",,,32.0,,21654243.0,1426083950.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ucsc_custom_track/build_ucsc_custom_track_1/1.0.0,1.0.0,,37210499.0,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-11 14:26:00.855143,46859.0,8.0
,,2015-03-11 18:21:01.776482,rodeo_normal,1426098071.0,0,,1.0,main_w2_handler1,2234515,8918554,False,,3112497.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",[],,,32.0,,21730048.0,1426098068.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ucsc_custom_track/build_ucsc_custom_track_1/1.0.0,1.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-11 18:21:13.479795,,3.0
,,2015-03-11 20:24:10.464711,rodeo_normal,1426105458.0,0,,1.0,main_w1_handler1,2233337,8920019,False,,3114911.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",[],,,32.0,,21700279.0,1426105455.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ucsc_custom_track/build_ucsc_custom_track_1/1.0.0,1.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-11 20:24:20.353538,,3.0
,,2015-03-12 06:37:16.212470,rodeo_normal,1426142247.0,0,,1.0,main_w1_handler1,2179106,8923238,False,,3121381.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{""description"": ""User Supplied Track (from Galaxy)"", ""color"": ""0-0-0"", ""visibility"": ""1"", ""input"": 18825398, ""__index__"": 0, ""name"": ""User Track""}]",,,32.0,,21744707.0,1426142244.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ucsc_custom_track/build_ucsc_custom_track_1/1.0.0,1.0.0,,321.0,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-12 06:37:29.520815,48540.0,3.0
,,2015-03-12 17:42:16.458444,rodeo_normal,1426182162.0,0,,1.0,main_w1_handler0,1936676,8934845,False,,3142987.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","[{""description"": ""User Supplied Track (from Galaxy)"", ""color"": ""0-0-0"", ""visibility"": ""2"", ""input"": 18839118, ""__index__"": 0, ""name"": ""16-15hr GRH ChIP-seq""}, {""description"": ""User Supplied Track (from Galaxy)"", ""color"": ""255-0-0"", ""visibility"": ""2"", ""input"": 15873510, ""__index__"": 1, ""name"": ""3hr ZLD ChIP-seq""}]",,,32.0,,20357536.0,1426182154.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ucsc_custom_track/build_ucsc_custom_track_1/1.0.0,1.0.0,,141687981.0,wig,,,,,,,,,,,,,,,,,,,,,91676762.0,wig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-12 17:42:43.870739,44999.0,8.0
,,2015-03-12 21:01:07.262149,rodeo_normal,1426194087.0,0,,1.0,main_w2_handler0,2104786,8936745,False,,3146803.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/009/564/dataset_9564686.dat""","""156405_v1""","[{""description"": ""User Supplied Track (from Galaxy)"", ""color"": ""0-255-0"", ""visibility"": ""1"", ""input"": 18841917, ""__index__"": 0, ""name"": ""User Track""}, {""description"": ""User Supplied Track (from Galaxy)"", ""color"": ""0-0-255"", ""visibility"": ""1"", ""input"": 18841914, ""__index__"": 1, ""name"": ""User Track""}]",,,32.0,,21525027.0,1426194082.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ucsc_custom_track/build_ucsc_custom_track_1/1.0.0,1.0.0,,740432.0,wig,,,,,,,,,,,,,,,,,,,,,592771.0,wig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-12 21:01:33.041098,52881.0,5.0
,,2015-03-12 21:45:22.418129,rodeo_normal,1426196800.0,0,,1.0,main_w2_handler1,2104786,8937224,False,,3148234.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""description"": ""User Supplied Track (from Galaxy)"", ""color"": ""0-0-0"", ""visibility"": ""1"", ""input"": 18842495, ""__index__"": 0, ""name"": ""User Track""}]",,,32.0,,21525027.0,1426196792.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ucsc_custom_track/build_ucsc_custom_track_1/1.0.0,1.0.0,,530778.0,interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-12 21:46:44.653225,52881.0,8.0
,,2015-03-12 22:12:22.458533,rodeo_normal,1426198353.0,0,,1.0,main_w2_handler1,216838,8937367,False,,3148685.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{""description"": ""User Supplied Track (from Galaxy)"", ""color"": ""0-0-0"", ""visibility"": ""1"", ""input"": 18842582, ""__index__"": 0, ""name"": ""chr22 exon""}, {""description"": ""User Supplied Track (from Galaxy)"", ""color"": ""0-255-0"", ""visibility"": ""1"", ""input"": 18842219, ""__index__"": 1, ""name"": ""chr22 SNP""}, {""description"": ""User Supplied Track (from Galaxy)"", ""color"": ""255-0-0"", ""visibility"": ""1"", ""input"": 18842590, ""__index__"": 2, ""name"": ""chr22 top100 exon-snp""}]",,,32.0,,21752148.0,1426198348.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ucsc_custom_track/build_ucsc_custom_track_1/1.0.0,1.0.0,,684854.0,bed,,,,,,,,,,,,,,,,,,,,,7690336.0,bed,,,,,,,,,,,,,,,6539.0,bed,,,,,,,,,,,,,,,2015-03-12 22:12:35.796008,1589.0,5.0
