bamInput,bamInput_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.MNase,parameters.advancedOpt.__current_case__,parameters.advancedOpt.centerReads,parameters.advancedOpt.doExtendCustom.__current_case__,parameters.advancedOpt.doExtendCustom.doExtend,parameters.advancedOpt.doExtendCustom.extendReadsValue,parameters.advancedOpt.filterRNAstrand,parameters.advancedOpt.ignoreDuplicates,parameters.advancedOpt.ignoreForNormalization,parameters.advancedOpt.minMappingQuality,parameters.advancedOpt.samFlagExclude,parameters.advancedOpt.samFlagInclude,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipNAs,parameters.advancedOpt.smoothLength,parameters.bamInput,parameters.bamInput.values,parameters.binSize,parameters.chromInfo,parameters.dbkey,parameters.outFileFormat,parameters.region,parameters.scaling.__current_case__,parameters.scaling.effectiveGenomeSize.__current_case__,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.scaling.scaleFactor,parameters.scaling.type,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
122386695,bam,,,2017-11-25 19:30:19.410755,slurm_multi,1511640633.0,0,,6.0,main_w4_handler2,3339630,17580195,False,,11642795,slurm,,132112168.0,corral-repl,,0.0,no,"""07398760d21711e79288005056ba2773""",false,1,false,0.0,no,,reverse,false,,1,,,yes,false,,,"[{'src': 'hda', 'id': 32528259}]","""1""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,32.0,,,1511639565.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2017-11-25 20:10:45.377153,81608.0,1068.0
154097773,bam,,,2017-11-25 19:30:13.911571,slurm_multi,1511639506.0,0,,6.0,main_w4_handler2,3339630,17580188,False,,11642690,slurm,,132112168.0,corral-repl,,0.0,no,"""07398760d21711e79288005056ba2773""",false,1,false,0.0,no,,reverse,false,,1,,,yes,false,,,"[{'src': 'hda', 'id': 32528256}]","""1""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,32.0,,,1511638347.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2017-11-25 19:51:48.298263,81608.0,1159.0
8102539,bam,,,2017-11-25 19:30:20.423719,slurm_multi,1511640814.0,0,,6.0,main_w4_handler2,3339630,17580197,False,,11642799,slurm,,132112168.0,corral-repl,,0.0,no,"""07398760d21711e79288005056ba2773""",false,1,false,0.0,no,,forward,false,,1,,,yes,false,,,"[{'src': 'hda', 'id': 32528260}]","""1""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,32.0,,,1511639659.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2017-11-25 20:13:46.736482,81608.0,1155.0
154097773,bam,,,2017-11-25 19:30:13.240394,slurm_multi,1511639558.0,0,,6.0,main_w3_handler2,3339630,17580187,False,,11642700,slurm,,132112168.0,corral-repl,,0.0,no,"""07398760d21711e79288005056ba2773""",false,1,false,0.0,no,,forward,false,,1,,,yes,false,,,"[{'src': 'hda', 'id': 32528256}]","""1""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,32.0,,,1511638435.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2017-11-25 19:52:42.681993,81608.0,1123.0
122386695,bam,,,2017-11-25 19:30:18.484728,slurm_multi,1511639654.0,0,,6.0,main_w4_handler2,3339630,17580194,False,,11642701,slurm,,132112168.0,corral-repl,,0.0,no,"""07398760d21711e79288005056ba2773""",false,1,false,0.0,no,,forward,false,,1,,,yes,false,,,"[{'src': 'hda', 'id': 32528259}]","""1""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,32.0,,,1511638435.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2017-11-25 19:54:16.696063,81608.0,1219.0
203852988,bam,,,2017-11-25 19:30:16.590352,slurm_multi,1511641942.0,0,,6.0,main_w3_handler2,3339630,17580191,False,,11643038,slurm,,132112168.0,corral-repl,,0.0,no,"""07398760d21711e79288005056ba2773""",false,1,false,0.0,no,,reverse,false,,1,,,yes,false,,,"[{'src': 'hda', 'id': 32528258}]","""1""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,32.0,,,1511640830.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2017-11-25 20:32:23.313998,81608.0,1112.0
203852988,bam,,,2017-11-25 19:30:16.023578,slurm_multi,1511641781.0,0,,6.0,main_w3_handler2,3339630,17580190,False,,11643022,slurm,,132112168.0,corral-repl,,0.0,no,"""07398760d21711e79288005056ba2773""",false,1,false,0.0,no,,forward,false,,1,,,yes,false,,,"[{'src': 'hda', 'id': 32528258}]","""1""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,32.0,,,1511640667.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2017-11-25 20:29:51.742940,81608.0,1114.0
8102539,bam,,,2017-11-25 19:30:21.379359,slurm_multi,1511642960.0,0,,6.0,main_w3_handler2,3339630,17580200,False,,11643129,slurm,,132112168.0,corral-repl,,0.0,no,"""07398760d21711e79288005056ba2773""",false,1,false,0.0,no,,reverse,false,,1,,,yes,false,,,"[{'src': 'hda', 'id': 32528260}]","""1""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,32.0,,,1511641837.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2017-11-25 20:49:32.671464,81608.0,1123.0
154099157,bam,,,2018-02-05 14:37:14.048840,slurm_multi,1517843078.0,0,,6.0,main_w4_handler2,3339630,18258505,False,,12340268,slurm,,132112168.0,corral-repl,,0.0,no,"""09ac05ec0a8211e8a923005056ba2773""",false,1,false,0.0,no,,reverse,false,,1,,,yes,false,,,"[{'src': 'hda', 'id': 33675293}]","""1""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,32.0,,,1517841701.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2018-02-05 15:04:39.125839,81608.0,1377.0
154099157,bam,,,2018-02-05 14:37:13.537576,slurm_multi,1517843054.0,0,,6.0,main_w4_handler2,3339630,18258504,False,,12340260,slurm,,132112168.0,corral-repl,,0.0,no,"""09ac05ec0a8211e8a923005056ba2773""",false,1,false,0.0,no,,forward,false,,1,,,yes,false,,,"[{'src': 'hda', 'id': 33675293}]","""1""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,32.0,,,1517841644.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2018-02-05 15:04:15.521345,81608.0,1410.0
203853122,bam,,,2018-02-05 14:37:14.838707,slurm_multi,1517844213.0,0,,6.0,main_w4_handler2,3339630,18258509,False,,12340538,slurm,,132112168.0,corral-repl,,0.0,no,"""09ac05ec0a8211e8a923005056ba2773""",false,1,false,0.0,no,,reverse,false,,1,,,yes,false,,,"[{'src': 'hda', 'id': 33675294}]","""1""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,32.0,,,1517843081.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2018-02-05 15:23:50.411834,81608.0,1132.0
203853122,bam,,,2018-02-05 14:37:14.622549,slurm_multi,1517844884.0,0,,6.0,main_w4_handler2,3339630,18258507,False,,12340535,slurm,,132111800.0,corral-repl,,0.0,no,"""09ac05ec0a8211e8a923005056ba2773""",false,1,false,0.0,no,,forward,false,,1,,,yes,false,,,"[{'src': 'hda', 'id': 33675294}]","""1""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,32.0,,,1517843068.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2018-02-05 15:48:02.852120,81608.0,1816.0
8105589,bam,,,2018-02-05 14:37:19.242812,slurm_multi,1517848504.0,0,,6.0,main_w4_handler2,3339630,18258516,False,,12341100,slurm,,132111800.0,corral-repl,,0.0,no,"""09ac05ec0a8211e8a923005056ba2773""",false,1,false,0.0,no,,forward,false,,1,,,yes,false,,,"[{'src': 'hda', 'id': 33675296}]","""1""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,32.0,,,1517846942.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.2.0,2.2.2.0,,2018-02-05 16:35:15.696118,81608.0,1562.0
